Name,Position,Team,Age,Height,Height_i,Weight,College,Salary,Points,Rebounds,Assists
Jake Layman,SF,Minnesota Timberwolves,27,"6' 8""",6.8,209,Maryland,3940185.0,5.1,1.5,0.6
Jaden McDaniels,PF,Minnesota Timberwolves,20,"6' 9""",6.9,185,Washington,2063280.0,6.8,3.7,1.1
Jordan McLaughlin,PG,Minnesota Timberwolves,25,"5' 11""",5.11,185,USC,,5.0,2.1,3.8
Jaylen Nowell,SG,Minnesota Timberwolves,22,"6' 4""",6.4,201,Washington,1782621.0,9.0,2.3,1.5
Josh Okogie,SF,Minnesota Timberwolves,23,"6' 4""",6.4,213,Georgia Tech,4087904.0,5.4,2.6,1.1
Taurean Prince,PF,Minnesota Timberwolves,27,"6' 7""",6.7,218,Baylor,13000000.0,9.5,3.5,1.9
Naz Reid,C,Minnesota Timberwolves,22,"6' 9""",6.9,264,LSU,1782621.0,11.2,4.6,1.0
D'Angelo Russell,PG,Minnesota Timberwolves,25,"6' 4""",6.4,193,Ohio State,30013500.0,19.0,2.6,5.8
Karl-Anthony Towns,C,Minnesota Timberwolves,25,"6' 11""",6.11,248,Kentucky,31650600.0,24.8,10.6,4.5
Jarred Vanderbilt,PF,Minnesota Timberwolves,22,"6' 9""",6.9,214,Kentucky,,5.4,5.8,1.2
Darius Bazley,PF,Oklahoma City Thunder,21,"6' 8""",6.8,208,,2513040.0,13.7,7.2,1.8
Charlie Brown Jr.,F,Oklahoma City Thunder,24,"6' 6""",6.6,199,Saint Joseph's,1701593.0,4.4,1.9,1.0
Charlie Brown Jr.,SF,Oklahoma City Thunder,24,"6' 6""",6.6,199,Saint Joseph's,,4.4,1.9,1.0
Gabriel Deck,SF,Oklahoma City Thunder,26,"6' 6""",6.6,231,,3676852.0,8.4,4.0,2.4
Luguentz Dort,SF,Oklahoma City Thunder,22,"6' 3""",6.3,215,Arizona State,1782621.0,14.0,3.6,1.7
Derrick Favors,C,Oklahoma City Thunder,30,"6' 9""",6.9,265,Georgia Tech,9720900.0,5.4,5.5,0.6
Josh Giddey,SG,Oklahoma City Thunder,18,"6' 8""",6.8,205,,5988000.0,,,
Shai Gilgeous-Alexander,SG,Oklahoma City Thunder,23,"6' 6""",6.6,180,Kentucky,5495532.0,23.7,4.7,5.9
Josh Hall,SF,Oklahoma City Thunder,20,"6' 9""",6.9,190,Moravian,,4.1,2.8,1.3
Jaylen Hoard,SF,Oklahoma City Thunder,22,"6' 8""",6.8,216,Wake Forest,,6.1,3.4,1.3
Ty Jerome,SG,Oklahoma City Thunder,24,"6' 5""",6.5,195,Virginia,2412840.0,10.7,2.8,3.6
Vit Krejci,F,Oklahoma City Thunder,21,"6' 8""",6.8,195,,,,,
Theo Maledon,PG,Oklahoma City Thunder,20,"6' 4""",6.4,175,,2000000.0,10.1,3.2,3.5
Tre Mann,PG,Oklahoma City Thunder,20,"6' 3""",6.3,178,Florida,2901240.0,,,
Mike Muscala,C,Oklahoma City Thunder,30,"6' 10""",6.1,240,Bucknell,3365385.0,9.7,3.8,0.8
Svi Mykhailiuk,SG,Oklahoma City Thunder,24,"6' 7""",6.7,205,Kansas,,8.5,2.5,1.7
Aleksej Pokusevski,PF,Oklahoma City Thunder,19,"7' 0""",7.0,190,,3113160.0,8.2,4.7,2.2
Jeremiah Robinson-Earl,PF,Oklahoma City Thunder,20,"6' 8""",6.8,242,Villanova,2000000.0,,,
Isaiah Roby,C,Oklahoma City Thunder,23,"6' 8""",6.8,230,Nebraska,1782621.0,8.7,5.6,1.8
Aaron Wiggins,SG,Oklahoma City Thunder,22,"6' 5""",6.5,190,Maryland,,,,
Kenrich Williams,SF,Oklahoma City Thunder,26,"6' 6""",6.6,210,TCU,2000000.0,8.0,4.1,2.3
Keljin Blevins,SF,Portland Trail Blazers,25,"6' 4""",6.4,200,Montana State,,0.7,0.6,0.2
Greg Brown,PF,Portland Trail Blazers,20,"6' 9""",6.9,205,Texas,925258.0,,,
Robert Covington,PF,Portland Trail Blazers,30,"6' 7""",6.7,209,Tennessee State,12975471.0,8.5,6.7,1.7
CJ Elleby,SG,Portland Trail Blazers,21,"6' 6""",6.6,200,Washington State,1517981.0,2.3,1.1,0.3
Harry Giles III,PF,Portland Trail Blazers,23,"6' 11""",6.11,240,Duke,,2.8,3.5,0.8
Rondae Hollis-Jefferson,SF,Portland Trail Blazers,26,"6' 6""",6.6,217,Arizona,,2.5,2.4,1.2
T.J. Leaf,PF,Portland Trail Blazers,24,"6' 10""",6.1,222,UCLA,,1.7,0.7,0.1
Damian Lillard,PG,Portland Trail Blazers,31,"6' 2""",6.2,195,Weber State,39344900.0,28.8,4.2,7.5
Nassir Little,SF,Portland Trail Blazers,21,"6' 5""",6.5,220,North Carolina,2316240.0,4.6,2.7,0.5
CJ McCollum,SG,Portland Trail Blazers,29,"6' 3""",6.3,190,Lehigh,30864198.0,23.1,3.9,4.7
Ben McLemore,SG,Portland Trail Blazers,28,"6' 3""",6.3,195,Kansas,1669178.0,7.7,1.9,0.7
Larry Nance Jr.,PF,Portland Trail Blazers,28,"6' 7""",6.7,245,Wyoming,10690909.0,9.3,6.7,3.1
Jusuf Nurkic,C,Portland Trail Blazers,27,"6' 11""",6.11,290,,12000000.0,11.5,9.0,3.4
Norman Powell,SF,Portland Trail Blazers,28,"6' 3""",6.3,215,UCLA,15517241.0,18.6,3.1,1.9
Anfernee Simons,SG,Portland Trail Blazers,22,"6' 3""",6.3,181,,3938818.0,7.8,2.2,1.4
Tony Snell,SF,Portland Trail Blazers,29,"6' 6""",6.6,213,New Mexico,1669178.0,5.3,2.4,1.3
Trendon Watford,F,Portland Trail Blazers,20,"6' 9""",6.9,240,LSU,,,,
Cody Zeller,C,Portland Trail Blazers,28,"6' 11""",6.11,240,Indiana,1669178.0,9.4,6.8,1.8
Udoka Azubuike,C,Utah Jazz,21,"6' 10""",6.1,280,Kansas,2075880.0,1.1,0.9,0.0
Bojan Bogdanovic,SF,Utah Jazz,32,"6' 7""",6.7,226,,18700000.0,17.0,3.9,1.9
Jarrell Brantley,PF,Utah Jazz,25,"6' 5""",6.5,250,Charleston,1669178.0,2.3,1.0,0.5
Jared Butler,SG,Utah Jazz,21,"6' 3""",6.3,195,Baylor,925258.0,,,
Jordan Clarkson,PG,Utah Jazz,29,"6' 4""",6.4,194,Missouri,12420000.0,18.4,4.0,2.5
Mike Conley,PG,Utah Jazz,33,"6' 1""",6.1,175,Ohio State,21000000.0,16.2,3.5,6.0
Trent Forrest,SG,Utah Jazz,23,"6' 4""",6.4,210,Florida State,,2.9,1.5,1.5
Rudy Gay,SF,Utah Jazz,35,"6' 8""",6.8,250,Connecticut,5890000.0,11.4,4.8,1.4
Rudy Gobert,C,Utah Jazz,29,"7' 1""",7.1,258,,35344828.0,14.3,13.5,1.3
Elijah Hughes,SF,Utah Jazz,23,"6' 5""",6.5,215,Syracuse,1517981.0,1.7,0.5,0.3
Ersan Ilyasova,PF,Utah Jazz,34,"6' 9""",6.9,235,,,3.8,1.7,0.2
Joe Ingles,SG,Utah Jazz,33,"6' 8""",6.8,220,,13036364.0,12.1,3.6,4.7
Donovan Mitchell,SG,Utah Jazz,25,"6' 1""",6.1,215,Louisville,28103500.0,26.4,4.4,5.2
Juwan Morgan,SF,Utah Jazz,24,"6' 7""",6.7,232,Indiana,,1.2,1.0,0.3
Royce O'Neale,PF,Utah Jazz,28,"6' 4""",6.4,226,Baylor,8800000.0,7.0,6.8,2.5
Olumiye Oni,SG,Utah Jazz,24,"6' 5""",6.5,206,Yale,1782621.0,,,
Eric Paschall,F,Utah Jazz,24,"6' 6""",6.6,255,Villanova,1782621.0,9.5,3.2,1.3
Hassan Whiteside,C,Utah Jazz,32,"7' 0""",7.0,265,Marshall,1669178.0,8.1,6.0,0.6
