Date,Team,Acquired,Relinquished,Notes
2017-01-08,Heat,Hassan Whiteside,,returned to lineup
2017-01-08,Lakers,,Ron Artest,placed on IL
2017-01-08,Magic,C.J. Wilcox,,activated from IL
2017-01-08,Pistons,Aron Baynes,,returned to lineup
2017-01-08,Pistons,Michael Gbinije,,returned to lineup
2017-01-08,Raptors,Patrick Patterson,,returned to lineup
2017-01-08,Rockets,Bobby Brown,,activated from IL
2017-01-08,Rockets,,Kyle Wiltjer,placed on IL
2017-01-08,Lakers,Ivica Zubac,,activated from IL
2017-01-09,Bulls,,Denzel Valentine,placed on IL
2017-01-09,Bulls,Paul Zipser,,activated from IL
2017-01-09,Hornets,,Cody Zeller,illness (DTD)
2017-01-09,Knicks,,Mindaugas Kuzminskas,illness (DTD)
2017-01-09,Knicks,,Mindaugas Kuzminskas,placed on IL
2017-01-09,Knicks,Maurice N'dour,,activated from IL
2017-01-09,Mavericks,,Nicolas Brussino,placed on IL
2017-01-09,Nets,,Trevor Booker,bruised left hip (DTD)
2017-01-09,Pelicans,,Omer Asik,placed on IL
2017-01-09,Pelicans,Cheick Diallo,,activated from IL
2017-01-09,Rockets,,Eric Gordon,sore left big toe (DTD)
2017-01-10,Bucks,,Steve Novak,placed on IL
2017-01-10,Bucks,Giannis Antetokounmpo,,returned to lineup
2017-01-10,Bucks,Miles Plumlee,,returned to lineup
2017-01-10,Bucks,Rashad Vaughn,,activated from IL
2017-01-10,Bulls,,Dwyane Wade,rest (DTD)
2017-01-10,Bulls,,Jimmy Butler,placed on IL with illness
2017-01-10,Bulls,,Nikola Mirotic,placed on IL with flu / strep throat
2017-01-10,Bulls,Denzel Valentine,,activated from IL
2017-01-10,Heat,Luke Babbitt,,returned to lineup
2017-01-10,Lakers,,Ivica Zubac,placed on IL
2017-01-10,Lakers,Ron Artest,,activated from IL
2017-01-10,Magic,,Serge Ibaka,sore right shoulder (DTD)
2017-01-10,Nets,,Trevor Booker,placed on IL with bruised left hip
2017-01-10,Pistons,,Jon Leuer,sore right knee (DTD)
2017-01-10,Spurs,,LaMarcus Aldridge,gastroenteritis (DTD)
2017-01-10,Spurs,David Lee,,returned to lineup
2017-01-10,Timberwolves,,Zach LaVine,bruised left hip (DTD)
2017-01-10,Warriors,,Klay Thompson,placed on IL for rest
2017-01-10,Warriors,James McAdoo ,,activated from IL
2017-01-10,Wizards,,Tomas Satoransky,illness (DTD)
2017-01-10,Hornets,Nicolas Batum,,activated from IL
2017-01-10,Hornets,,Nicolas Batum,hyperextended/strained right knee (DTD)
2017-01-10,Nets,Chris McCullough,,activated from IL
2017-01-11,Celtics,,Amir Johnson,sprained left ankle (DTD)
2017-01-11,Celtics,,Avery Bradley,strained Achilles (DTD)
2017-01-11,Celtics,,Jaylen Brown,sprained right ankle (DTD)
2017-01-11,Clippers,Austin Rivers,,returned to lineup
2017-01-11,Grizzlies,Deyonta Davis,,activated from IL
2017-01-11,Knicks,,Maurice N'dour,placed on IL
2017-01-11,Knicks,Mindaugas Kuzminskas,,activated from IL
2017-01-11,Mavericks,,Andrew Bogut,strained right hamstring (DTD)
2017-01-11,Pelicans,,Anthony Davis,placed on IL with bruised left hip
2017-01-11,Rockets,,Eric Gordon,placed on IL with sore left big toe
2017-01-11,Thunder,,Semaj Christon,placed on IL
2017-01-11,Thunder,Kyle Singler,,activated from IL
2017-01-11,Timberwolves,,Zach LaVine,placed on IL with bruised left hip
2017-01-12,Bucks,Michael Beasley,,activated from IL
2017-01-12,Bulls,,Denzel Valentine,flu (DTD)
2017-01-12,Bulls,Dwyane Wade,,returned to lineup
2017-01-12,Hornets,,Jeremy Lamb,sore foot (DTD)
2017-01-12,Knicks,,Kristaps Porzingis,placed on IL with sore left Achilles
2017-01-12,Lakers,,Ron Artest,placed on IL
2017-01-12,Lakers,Ivica Zubac,,activated from IL
2017-01-12,Nets,Trevor Booker,,activated from IL
2017-01-12,Nuggets,,Alonzo Gee,placed on IL
2017-01-12,Nuggets,,Darrell Arthur,placed on IL with sore left knee
2017-01-12,Nuggets,Gary Harris,,returned to lineup
2017-01-12,Nuggets,Nikola Jokic,,returned to lineup
2017-01-12,Pelicans,Omer Asik,,activated from IL
2017-01-12,Spurs,LaMarcus Aldridge,,returned to lineup
2017-01-12,Warriors,,James McAdoo ,placed on IL
2017-01-12,Warriors,Klay Thompson,,activated from IL
2017-01-12,Knicks,Maurice N'dour,,activated from IL
2017-01-12,Nets,,Chris McCullough,placed on IL
2017-01-13,Blazers,,Moe Harkless,strained left calf (DTD)
2017-01-13,Celtics,Amir Johnson,,returned to lineup
2017-01-13,Celtics,Jaylen Brown,,returned to lineup
2017-01-13,Grizzlies,,Wade Baldwin IV,placed on IL
2017-01-13,Grizzlies,Deyonta Davis,,activated from IL
2017-01-13,Hawks,Mike Dunleavy Jr.,,activated from IL
2017-01-13,Heat,,Willie Reed,bruised sternum (DTD)
2017-01-13,Hornets,Cody Zeller,,returned to lineup
2017-01-13,Hornets,Nicolas Batum,,returned to lineup
2017-01-13,Magic,Serge Ibaka,,returned to lineup
2017-01-13,Nets,,Isaiah Whitehead,placed on IL with knee injury
2017-01-13,Nets,Chris McCullough,,activated from IL
2017-01-13,Pistons,,Kentavious Caldwell-Pope,placed on IL with strained rotator cuff in left shoulder / rest
2017-01-13,Pistons,,Michael Gbinije,arm injury (DTD)
2017-01-13,Pistons,Reggie Bullock,,activated from IL
2017-01-13,Raptors,,Patrick Patterson,sore left knee (DTD)
2017-01-13,Rockets,Eric Gordon,,activated from IL
2017-01-13,Spurs,,Dejounte Murray,sprained right ankle (DTD)
2017-01-13,76ers,,Richaun Holmes,placed on IL with concussion
2017-01-14,Bulls,Denzel Valentine,,returned to lineup
2017-01-14,Bulls,Jimmy Butler,,activated from IL
2017-01-14,Jazz,,Joe Johnson,placed on IL for rest
2017-01-14,Jazz,Raul Neto,,activated from IL
2017-01-14,Lakers,,Luol Deng,placed on IL with sprained right wrist
2017-01-14,Lakers,Ron Artest,,activated from IL
2017-01-14,Magic,,Evan Fournier,sore right foot / heel (DTD)
2017-01-14,Pelicans,,Alex Ajinca,placed on IL
2017-01-14,Pelicans,Anthony Davis,,activated from IL
2017-01-14,Spurs,,Dejounte Murray,placed on IL with sprained right ankle
2017-01-14,Spurs,,Patty Mills,tightness in left calf (DTD)
2017-01-14,Suns,,Brandon Knight,sprained right wrist (DTD)
2017-01-14,Wizards,Tomas Satoransky,,returned to lineup
2017-01-14,Spurs,Bryn Forbes,,activated from IL
2017-01-15,Bulls,,Dwyane Wade,rest (DTD)
2017-01-15,Hawks,,Mike Muscala,sore/sprained left ankle (DTD)
2017-01-15,Jazz,,Rodney Hood,bruised right knee (DTD)
2017-01-15,Mavericks,,Andrew Bogut,placed on IL with strained right hamstring
2017-01-15,Nets,,Brook Lopez,placed on IL for rest
2017-01-15,Nets,Isaiah Whitehead,,activated from IL
2017-01-15,Rockets,,Chinanu Onuaku,placed on IL
2017-01-15,Rockets,Clint Capela,,activated from IL
2017-01-15,Timberwolves,Zach LaVine,,activated from IL
2017-01-15,Mavericks,Nicolas Brussino,,activated from IL
2017-01-16,76ers,,Nerlens Noel,sprained left ankle (DTD)
2017-01-16,76ers,,T.J. McConnell,sprained right wrist (DTD)
2017-01-16,Blazers,Moe Harkless,,returned to lineup
2017-01-16,Celtics,Avery Bradley,,activated from IL
2017-01-16,Celtics,Avery Bradley,,returned to lineup
2017-01-16,Hawks,,Dwight Howard,rest (DTD)
2017-01-16,Jazz,,Rodney Hood,placed on IL with bruised right knee
2017-01-16,Jazz,Joe Johnson,,activated from IL
2017-01-16,Knicks,,Lance Thomas,fractured orbital bone (out indefinitely)
2017-01-16,Knicks,,Lance Thomas,placed on IL with fractured orbital bone
2017-01-16,Knicks,Marshall Plumlee,,activated from IL
2017-01-16,Nuggets,,Gary Harris,sprained right ankle (DTD)
2017-01-16,Pelicans,,Cheick Diallo,placed on IL
2017-01-16,Pelicans,Alex Ajinca,,activated from IL
2017-01-16,Suns,,Jared Dudley,dizziness (DTD)
2017-01-16,Suns,,Tyson Chandler,gastroenteritis (DTD)
2017-01-16,Thunder,,Steven Adams,concussion (DTD)
2017-01-16,Warriors,,Anderson Varejao,placed on IL
2017-01-16,Warriors,James McAdoo ,,activated from IL
2017-01-17,Blazers,,Ed Davis ,sprained left ankle (DTD)
2017-01-17,Bulls,,Taj Gibson,placed on IL with sore left ankle
2017-01-17,Bulls,Dwyane Wade,,returned to lineup
2017-01-17,Bulls,Nikola Mirotic,,activated from IL
2017-01-17,Heat,Willie Reed,,returned to lineup
2017-01-17,Kings,,Omri Casspi,strained right calf (DTD)
2017-01-17,Nets,,Chris McCullough,placed on IL
2017-01-17,Nets,Brook Lopez,,activated from IL
2017-01-17,Nuggets,,Gary Harris,placed on IL
2017-01-17,Nuggets,Alonzo Gee,,activated from IL
2017-01-17,Rockets,,Ryan Anderson,flu (DTD)
2017-01-17,Rockets,Clint Capela,,activated from IL
2017-01-17,Spurs,Patty Mills,,returned to lineup
2017-01-17,Clippers,,Chris Paul,torn ligament in left thumb (DTD)
2017-01-17,Clippers,,Chris Paul,surgery on left thumb to repair torn ligament (out indefinitely)
2017-01-18,76ers,Nerlens Noel,,returned to lineup
2017-01-18,76ers,T.J. McConnell,,returned to lineup
2017-01-18,Celtics,,Avery Bradley,sore right Achilles (DTD)
2017-01-18,Hawks,,Mike Muscala,placed on IL with sore/sprained left ankle
2017-01-18,Kings,,Omri Casspi,placed on IL with strained right calf
2017-01-18,Kings,,Ty Lawson,sprained left ankle (DTD)
2017-01-18,Kings,Skal Labissiere,,activated from IL
2017-01-18,Knicks,,Joakim Noah,placed on IL with sprained left ankle
2017-01-18,Magic,,Jodie Meeks,dislocated right thumb (DTD)
2017-01-18,Pistons,,Jon Leuer,placed on IL with bone bruise in right knee
2017-01-18,Pistons,Michael Gbinije,,activated from IL
2017-01-18,Raptors,,Lucas Nogueira,placed on IL with concussion
2017-01-18,Raptors,Jared Sullinger,,activated from IL
2017-01-18,Warriors,,David West,fractured left thumb (DTD)
2017-01-18,Warriors,,James McAdoo ,placed on IL
2017-01-18,Warriors,Anderson Varejao,,activated from IL
2017-01-18,Kings,,Rudy Gay,torn left Achilles tendon (out for season)
2017-01-18,Knicks,Kristaps Porzingis,,activated from IL
2017-01-18,Knicks,,Kristaps Porzingis,sore left Achilles (DTD)
2017-01-19,Cavaliers,,Kevin Love,sore lower back (DTD)
2017-01-19,Heat,,Justise Winslow,placed on IL recovering from surgery on right shoulder to repair torn labrum (out for season)
2017-01-19,Nuggets,,Danilo Gallinari,sprained right ankle (DTD)
2017-01-19,Nuggets,Gary Harris,,activated from IL
2017-01-19,Spurs,, Tony Parker,sore left foot (DTD)
2017-01-19,Spurs,,Bryn Forbes,placed on IL
2017-01-19,Spurs,,Pau Gasol,fractured left ring finger (DTD)
2017-01-19,Spurs,Dejounte Murray,,activated from IL
2017-01-19,Suns,Brandon Knight,,returned to lineup
2017-01-19,Suns,Jared Dudley,,returned to lineup
2017-01-19,Suns,Tyson Chandler,,returned to lineup
2017-01-19,Kings,,Rudy Gay,surgery to repair torn left Achilles tendon (out for season)
2017-01-20,76ers,,Joel Embiid,bruised left knee (DTD)
2017-01-20,Blazers,Ed Davis ,,returned to lineup
2017-01-20,Bulls,,Isaiah Canaan,placed on IL
2017-01-20,Bulls,Taj Gibson,,activated from IL
2017-01-20,Grizzlies,,Chandler Parsons,rest (DTD)
2017-01-20,Jazz,,Rodney Hood,placed on IL
2017-01-20,Kings,,Rudy Gay,placed on IL recovering from surgery to repair torn left Achilles tendon (out for season)
2017-01-20,Kings,Giorgios Papagiannis ,,activated from IL
2017-01-20,Kings,Ty Lawson,,returned to lineup
2017-01-20,Magic,,C.J. Wilcox,tendinitis in knee / left Achilles tendon (DTD)
2017-01-20,Mavericks,,Jose Barea ,strained left calf (DTD)
2017-01-20,Pelicans,,Alex Ajinca,placed on IL
2017-01-20,Pelicans,Cheick Diallo,,activated from IL
2017-01-20,Raptors,,Patrick Patterson,placed on IL with sore left knee
2017-01-20,Raptors,Delon Wright,,activated from IL
2017-01-20,Rockets,Ryan Anderson,,returned to lineup
2017-01-20,Spurs,,Pau Gasol,surgery on left ring finger to repair fracture (out indefinitely)
2017-01-20,Warriors,,David West,placed on IL with fractured left thumb
2017-01-20,Warriors,James McAdoo ,,activated from IL
2017-01-20,Hornets,Christian Wood,,activated from IL
2017-01-21,76ers,,Joel Embiid,rest (DTD)
2017-01-21,Blazers,,Ed Davis ,sprained left ankle (DTD)
2017-01-21,Cavaliers,Kevin Love,,returned to lineup
2017-01-21,Celtics,,Avery Bradley,placed on IL with sore/strained right Achilles
2017-01-21,Celtics,,Demetrius Jackson,illness (DTD)
2017-01-21,Celtics,,Jonas Jerebko,placed on IL with illness
2017-01-21,Celtics,James Young,,activated from IL
2017-01-21,Grizzlies,,Troy Daniels,sprained MCL in right knee (DTD)
2017-01-21,Grizzlies,Chandler Parsons,,returned to lineup
2017-01-21,Heat,,Tyler Johnson,sprained/strained left shoulder (DTD)
2017-01-21,Hornets,,Jeremy Lamb,placed on IL with sore foot
2017-01-21,Jazz,Rodney Hood,,activated from IL
2017-01-21,Knicks,,Marshall Plumlee,placed on IL
2017-01-21,Knicks,Joakim Noah,,activated from IL
2017-01-21,Lakers,,D'Angelo Russell,strained left calf / sprained ligament in right knee (DTD)
2017-01-21,Nets,,Joe Harris,sprained left ankle (DTD)
2017-01-21,Nuggets,,Gary Harris,placed on IL
2017-01-21,Nuggets,Danilo Gallinari,,returned to lineup
2017-01-21,Nuggets,Darrell Arthur,,activated from IL
2017-01-21,Pistons,,Michael Gbinije,placed on IL with arm injury
2017-01-21,Pistons,Jon Leuer,,activated from IL
2017-01-21,Rockets,,Ryan Anderson,illness (DTD)
2017-01-21,Spurs,,Pau Gasol,placed on IL recovering from surgery on left ring finger to repair fracture
2017-01-21,Spurs,Bryn Forbes,,activated from IL
2017-01-21,Celtics,Tyler Zeller,,activated from IL
2017-01-21,Celtics,,Tyler Zeller,sinus infection (DTD)
2017-01-21,76ers,Richaun Holmes,,activated from IL
2017-01-22,Lakers,,D'Angelo Russell,placed on IL with strained left calf / sprained ligament in right knee
2017-01-22,Lakers,,Ron Artest,placed on IL
2017-01-22,Lakers,Larry Nance Jr.,,activated from IL
2017-01-22,Lakers,Luol Deng,,activated from IL
2017-01-22,Magic,,Jodie Meeks,placed on IL with dislocated right thumb (DTD)
2017-01-22,Mavericks,,Jose Barea ,strained left calf (DTD)
2017-01-22,Nuggets,,Emmanuel Mudiay,placed on IL with sore lower back
2017-01-22,Nuggets,Gary Harris,,activated from IL
2017-01-22,Raptors,,Delon Wright,placed on IL with right shoulder injury
2017-01-22,Raptors,,DeMar DeRozan,sprained right ankle (DTD)
2017-01-22,Raptors,Lucas Nogueira,,activated from IL
2017-01-22,Raptors,Patrick Patterson,,activated from IL
2017-01-22,Spurs,,Manu Ginobili,sore back / back spasms (DTD)
2017-01-22,Suns,,Dragan Bender,sore right ankle (DTD)
2017-01-22,Timberwolves,,Ricky Rubio,sore hip (DTD)
2017-01-22,Timberwolves,,Ricky Rubio,placed on IL for personal reasons
2017-01-22,Warriors,,Shaun Livingston,placed on IL for rest
2017-01-22,Warriors,Damian Jones,,activated from IL
2017-01-23,Celtics,,Gerald Green ,illness (DTD)
2017-01-23,Hornets,,Brian Roberts,illness (DTD)
2017-01-23,Mavericks,,Wes Matthews Jr.,strained right hip (DTD)
2017-01-23,Nets,,Joe Harris,placed on IL with sprained left ankle
2017-01-23,Pacers,,Aaron Brooks,placed on IL with sore right knee
2017-01-23,Pelicans,,Anthony Davis,placed on IL with bruised right quadriceps
2017-01-23,Pelicans,Alex Ajinca,,activated from IL
2017-01-23,Pistons,,Henry Ellenson,placed on IL
2017-01-23,Pistons,Kentavious Caldwell-Pope,,activated from IL
2017-01-23,Rockets,Ryan Anderson,,returned to lineup
2017-01-23,Spurs,,Kawhi Leonard,sore left hand (DTD)
2017-01-23,Thunder,Steven Adams,,returned to lineup
2017-01-23,Warriors,,Andre Iguodala,placed on IL for rest
2017-01-23,Warriors,Shaun Livingston,,activated from IL
2017-01-23,Nets,Chris McCullough,,activated from IL
2017-01-23,Pacers,Rakeem Christmas,,activated from IL
2017-01-24,76ers,,Jahlil Okafor,sore right knee (DTD)
2017-01-24,Celtics,,Gerald Green ,placed on IL with illness
2017-01-24,Celtics,Jonas Jerebko,,activated from IL
2017-01-24,Celtics,Tyler Zeller,,activated from IL
2017-01-24,Clippers,Blake Griffin,,activated from IL
2017-01-24,Magic,,D.J. Augustine,sprained right ankle (DTD)
2017-01-24,Magic,,Jodie Meeks,surgery on dislocated right thumb (out indefinitely)
2017-01-24,Raptors,,DeMar DeRozan,placed on IL with sprained right ankle
2017-01-24,Raptors,Lucas Nogueira,,activated from IL
2017-01-24,Raptors,Patrick Patterson,,returned to lineup
2017-01-24,Spurs,, Tony Parker,placed on IL with sore left foot
2017-01-24,Spurs,,Jonathon Simmons,sprained right wrist (DTD)
2017-01-24,Spurs,Manu Ginobili,,returned to lineup
2017-01-24,Suns,,Jared Dudley,placed on IL with flu
2017-01-24,Suns,Derrick Jones Jr.,,activated from IL
2017-01-24,Timberwolves,Ricky Rubio,,activated from IL
2017-01-24,76ers,Joel Embiid,,returned to lineup
2017-01-24,76ers,,Joel Embiid,bruised left knee (DTD)
2017-01-25,Blazers,,Ed Davis ,sprained wrist / left ankle injury (DTD)
2017-01-25,Blazers,,Moe Harkless,strained left calf (DTD)
2017-01-25,Blazers,,Tim Quarterman,sprained left ankle (DTD)
2017-01-25,Celtics,,Demetrius Jackson,placed on IL with illness
2017-01-25,Celtics,Gerald Green ,,activated from IL
2017-01-25,Grizzlies,,Chandler Parsons,sore left knee (DTD)
2017-01-25,Grizzlies,,JaMychal Green,sore left knee (DTD)
2017-01-25,Hornets,,Cody Zeller,placed on IL with bruised quadriceps
2017-01-25,Hornets,Brian Roberts,,returned to lineup
2017-01-25,Hornets,Jeremy Lamb,,activated from IL
2017-01-25,Mavericks,,Deron Williams,sprained left big toe (DTD)
2017-01-25,Mavericks,,Jose Barea ,placed on IL with strained hamstring
2017-01-25,Mavericks,Andrew Bogut,,activated from IL
2017-01-25,Pelicans,,Cheick Diallo,placed on IL
2017-01-25,Pelicans,Anthony Davis,,activated from IL
2017-01-25,Rockets,,Eric Gordon,sore lower back / back spasms (DTD)
2017-01-25,Warriors,,Damian Jones,placed on IL
2017-01-25,Warriors,Andre Iguodala,,activated from IL
2017-01-26,Jazz,,Raul Neto,placed on IL
2017-01-26,Jazz,Rodney Hood,,activated from IL
2017-01-26,Lakers,,Julius Randle,illness (DTD)
2017-01-26,Mavericks,,Deron Williams,placed on IL with sprained left big toe
2017-01-26,Mavericks,,Dirk Nowitzki,rest (DTD)
2017-01-26,Pacers,,Kevin Seraphin,placed on IL with sore left knee
2017-01-26,Pacers,Aaron Brooks,,activated from IL
2017-01-26,Suns,,Dragan Bender,placed on IL with sore right ankle
2017-01-26,Suns,Jared Dudley,,activated from IL
2017-01-26,Thunder,,Enes Kanter,fractured right arm / hand (out indefinitely)
2017-01-26,Mavericks,A.J. Hammons,,activated from IL
2017-01-27,76ers,Joel Embiid,,returned to lineup
2017-01-27,Blazers,,Ed Davis ,placed on IL with sprained left wrist
2017-01-27,Blazers,Tim Quarterman,,activated from IL
2017-01-27,Cavaliers,Richard Jefferson,,returned to lineup
2017-01-27,Celtics,,Al Horford,groin injury (DTD)
2017-01-27,Celtics,,Al Horford,placed on IL with sore left groin
2017-01-27,Grizzlies,,Jarell Martin,placed on IL
2017-01-27,Grizzlies,Brandan Wright,,activated from IL
2017-01-27,Grizzlies,Chandler Parsons,,returned to lineup
2017-01-27,Grizzlies,JaMychal Green,,returned to lineup
2017-01-27,Hawks,Mike Muscala,,activated from IL
2017-01-27,Heat,,Hassan Whiteside,ankle injury (DTD)
2017-01-27,Hornets,Jeremy Lamb,,activated from IL
2017-01-27,Magic,,C.J. Wilcox,left ankle / Achilles tendinitis (DTD)
2017-01-27,Magic,,Evan Fournier,sore right foot (DTD)
2017-01-27,Magic,D.J. Augustine,,returned to lineup
2017-01-27,Nets,,Brook Lopez,rest (DTD)
2017-01-27,Nets,,Caris LeVert,rest (DTD)
2017-01-27,Nets,,Trevor Booker,illness (DTD)
2017-01-27,Nuggets,,Nikola Jokic,strained left hip flexor (DTD)
2017-01-27,Spurs,,Jonathon Simmons,placed on IL with sprained right wrist
2017-01-27,Spurs, Tony Parker,,activated from IL
2017-01-27,Spurs,Kawhi Leonard,,returned to lineup
2017-01-27,Thunder,,Enes Kanter,surgery on right arm / hand to repair fracture (out indefinitely)
2017-01-27,Celtics,Demetrius Jackson,,returned to lineup
2017-01-27,Pistons,Michael Gbinije,,activated from IL
2017-01-28,Clippers,,Chris Paul,placed on IL recoverimg from surgery on left thumb to repair torn ligament
2017-01-28,Grizzlies,,Deyonta Davis,left foot injury (DTD)
2017-01-28,Grizzlies,Troy Daniels,,returned to lineup
2017-01-28,Hawks,,Thabo Sefolosha,groin injury (DTD)
2017-01-28,Heat,Hassan Whiteside,,returned to lineup
2017-01-28,Hornets,,Jeremy Lamb,metatarsal inflammation (DTD)
2017-01-28,Knicks,,Derrick Rose,sprained left ankle (DTD)
2017-01-28,Nets,Brook Lopez,,returned to lineup
2017-01-28,Nets,Caris LeVert,,returned to lineup
2017-01-28,Nets,Trevor Booker,,returned to lineup
2017-01-29,76ers,,Joel Embiid,rest (DTD)
2017-01-29,Blazers,,Tim Quarterman,placed on IL
2017-01-29,Blazers,Moe Harkless,,returned to lineup
2017-01-29,Bulls,,Taj Gibson,placed on IL with sore left ankle
2017-01-29,Bulls,Isaiah Canaan,,activated from IL
2017-01-29,Hawks,,Thabo Sefolosha,placed on IL with groin injury (DTD)
2017-01-29,Knicks,,Derrick Rose,placed on IL with sprained left ankle
2017-01-29,Knicks,Marshall Plumlee,,activated from IL
2017-01-29,Magic,,C.J. Wilcox,left Achilles tendinitis (DTD)
2017-01-29,Mavericks,Dirk Nowitzki,,returned to lineup
2017-01-29,Mavericks,Wes Matthews Jr.,,returned to lineup
2017-01-29,Raptors,DeMar DeRozan,,activated from IL
2017-01-29,Rockets,Eric Gordon,,returned to lineup
2017-01-29,Thunder,,Enes Kanter,placed on IL recovering from surgery on right arm / hand to repair fracture
2017-01-29,Thunder,Semaj Christon,,activated from IL
2017-01-29,Warriors,,Stephen Curry,placed on IL with stomach flu
2017-01-29,Warriors,Damian Jones,,activated from IL
2017-01-29,Blazers,Ed Davis ,,activated from IL
2017-01-29,Blazers,Tim Quarterman,,returned to lineup
2017-01-29,Blazers,,Ed Davis ,left wrist injury
2017-01-29,Raptors,,Bruno Caboclo,placed on IL
2017-01-30,76ers,,Joel Embiid,bruised left knee (out for season)
2017-01-30,76ers,Jahlil Okafor,,returned to lineup
2017-01-30,Cavaliers,,Kevin Love,lower back spasms (DTD)
2017-01-30,Celtics,Al Horford,,activated from IL
2017-01-30,Grizzlies,,Deyonta Davis,placed on IL with left foot injury
2017-01-30,Grizzlies,Brandan Wright,,activated from IL
2017-01-30,Grizzlies,Wade Baldwin IV,,activated from IL
2017-01-30,Heat,Tyler Johnson,,returned to lineup
2017-01-30,Lakers,,Julius Randle,pneumonia (DTD)
2017-01-30,Magic,Evan Fournier,,returned to lineup
2017-01-30,Mavericks,,Andrew Bogut,strained right hamstring (DTD)
2017-01-31,Hornets,Jeremy Lamb,,returned to lineup
2017-01-31,Knicks,,Kristaps Porzingis,illness (DTD)
2017-01-31,Lakers,,Julius Randle,placed on IL with pneumonia
2017-01-31,Lakers,D'Angelo Russell,,activated from IL
2017-01-31,Nuggets,,Will Barton,sore left ankle (DTD)
2017-01-31,Pelicans,,Tyreke Evans,left ankle injury (DTD)
2017-01-31,Raptors,,DeMar DeRozan,placed on IL with sore right ankle
2017-01-31,Raptors,Delon Wright,,activated from IL
2017-01-31,Spurs,,Bryn Forbes,placed on IL
2017-01-31,Spurs,Jonathon Simmons,,returned to lineup
2017-02-01,76ers,,Robert Covington,bruised right hand/wrist (DTD)
2017-02-01,Bucks,,Rashad Vaughn,placed on IL
2017-02-01,Bucks,Steve Novak,,activated from IL
2017-02-01,Bulls,,Denzel Valentine,placed on IL
2017-02-01,Bulls,Taj Gibson,,activated from IL
2017-02-01,Celtics,,Kelly Olynyk,sore/strained left shoulder (DTD)
2017-02-01,Grizzlies,,Wade Baldwin IV,placed on IL
2017-02-01,Grizzlies,Deyonta Davis,,activated from IL
2017-02-01,Jazz,,Derrick Favors,placed on IL
2017-02-01,Jazz,,Rodney Hood,hyperextended right knee (DTD)
2017-02-01,Jazz,Raul Neto,,activated from IL
2017-02-01,Knicks,Kristaps Porzingis,,returned to lineup
2017-02-01,Nets,,Chris McCullough,placed on IL
2017-02-01,Nets,Joe Harris,,activated from IL
2017-02-01,Nuggets,,Nikola Jokic,placed on IL with strained left hip flexor
2017-02-01,Nuggets,,Will Barton,placed on IL with sore left ankle
2017-02-01,Nuggets,Emmanuel Mudiay,,activated from IL
2017-02-01,Pacers,,Georges Niang,placed on IL
2017-02-01,Pacers,,Rakeem Christmas,placed on IL with right groin injury
2017-02-01,Pacers,Kevin Seraphin,,activated from IL
2017-02-01,Pacers,Rodney Stuckey,,activated from IL
2017-02-01,Pelicans,Tyreke Evans,,returned to lineup
2017-02-01,Suns,,Jared Dudley,placed on IL with illness
2017-02-01,Suns,,Ronnie Price,placed on IL
2017-02-01,Suns,Dragan Bender,,activated from IL
2017-02-01,Thunder,,Alex Abrines,placed on IL with back spasms
2017-02-01,Thunder,Josh Huestis,,activated from IL
2017-02-01,Warriors,,Shaun Livingston,strained back (DTD)
2017-02-01,Warriors,,Zaza Pachulia,strained right rotator cuff (DTD)
2017-02-01,Warriors,Stephen Curry,,activated from IL
2017-02-02,76ers,,Joel Embiid,rest (DTD)
2017-02-02,76ers,,Nerlens Noel,upper respiratory infection (DTD)
2017-02-02,Kings,,Garrett Temple,torn left hamstring (DTD)
2017-02-02,Lakers,,Thomas Robinson,placed on IL
2017-02-02,Lakers,Julius Randle,,activated from IL
2017-02-02,Nuggets,,Danilo Gallinari,strained groin (DTD)
2017-02-02,Pacers,,Rodney Stuckey,sprained right ankle (DTD)
2017-02-02,Spurs,,LaMarcus Aldridge,placed on IL with sore right knee
2017-02-02,Spurs,Bryn Forbes,,activated from IL
2017-02-02,Warriors,,Draymond Green,bruised left shoulder (DTD)
2017-02-02,Warriors,,Shaun Livingston,placed on IL with strained back
2017-02-02,Warriors,,Zaza Pachulia,placed on IL with strained right rotator cuff
2017-02-03,Blazers,Ed Davis ,,returned to lineup
2017-02-03,Bulls,,Jimmy Butler,bruised right heel (DTD)
2017-02-03,Celtics,Kelly Olynyk,,returned to lineup
2017-02-03,Hornets,,Ramon Sessions,torn lateral meniscus in left knee (out indefinitely)
2017-02-03,Kings,,Arron Afflalo,illness (DTD)
2017-02-03,Lakers,,Julius Randle,illness (DTD)
2017-02-03,Mavericks,,Andrew Bogut,placed on IL with strained right hamstring
2017-02-03,Mavericks,,Devin Harris,illness (DTD)
2017-02-03,Nuggets,,Danilo Gallinari,placed on IL with strained groin
2017-02-03,Nuggets,,Johnny O'Bryant III,placed on IL
2017-02-03,Nuggets,Nikola Jokic,,activated from IL
2017-02-03,Nuggets,Will Barton,,activated from IL
2017-02-03,Pacers,,Rodney Stuckey,placed on IL with sprained right ankle
2017-02-03,Pacers,Georges Niang,,activated from IL
2017-02-03,Rockets,,Nene Hilario ,sore groin (DTD)
2017-02-03,Suns,,Dragan Bender,placed on IL with right ankle injury
2017-02-03,Suns,Ronnie Price,,activated from IL
2017-02-03,Timberwolves,,Adreian Payne,thrombocytopenia (blood disorder) (DTD)
