Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit
Patrolman,Herman Corn,Automobile crash,"Sunday, June 8, 1958",1958,June,Sunday,"New York City Police Department, NY",New York,0
Chief of Police,Eddis Floyd Martin,Vehicle pursuit,"Friday, June 13, 1958",1958,June,Friday,"Penn Township Police Department, PA",Pennsylvania,0
Deputy Sheriff,Dillard Willingham,Struck by vehicle,"Saturday, June 14, 1958",1958,June,Saturday,"Walker County Sheriff's Office, AL",Alabama,0
Deputy Sheriff,Len Burt Adams,Gunfire,"Monday, June 16, 1958",1958,June,Monday,"Escambia County Sheriff's Office, FL",Florida,0
Policeman,Thomas Scebbi,Gunfire,"Friday, June 20, 1958",1958,June,Friday,"Los Angeles Police Department, CA",California,0
Patrolman,Benjamin Kyle Smith,Gunfire,"Monday, June 23, 1958",1958,June,Monday,"Texas Department of Public Safety - Texas Highway Patrol, TX",Texas,0
Patrolman,Salvatore Patti,Heart attack,"Wednesday, June 25, 1958",1958,June,Wednesday,"Passaic Police Department, NJ",New Jersey,0
Deputy Sheriff,Millard Brock,Gunfire,"Sunday, June 29, 1958",1958,June,Sunday,"Leslie County Sheriff's Office, KY",Kentucky,0
Patrolman,Emil A. Newberg,Gunfire,"Monday, June 30, 1958",1958,June,Monday,"Pawtucket Police Department, RI",Rhode Island,0
Detective Lieutenant,Thomas Truesdale,Gunfire,"Monday, June 30, 1958",1958,June,Monday,"Pawtucket Police Department, RI",Rhode Island,0
Undersheriff,Guy Argel Fuller,Heart attack,"Tuesday, July 1, 1958",1958,July,Tuesday,"Grand Traverse County Sheriff's Office, MI",Michigan,0
Lieutenant,Leonard N. Brown,Gunfire,"Monday, July 7, 1958",1958,July,Monday,"Maryland State Police, MD",Maryland,0
Police Officer,Paul J. Simard,Gunfire,"Monday, July 7, 1958",1958,July,Monday,"Lewiston Police Department, ME",Maine,0
Deputy Marshal,Gus Gill,Gunfire,"Saturday, July 12, 1958",1958,July,Saturday,"Mandeville Police Department, LA",Louisiana,0
Deputy Marshal,Jake Galloway,Gunfire,"Saturday, July 12, 1958",1958,July,Saturday,"Mandeville Police Department, LA",Louisiana,0
Detective Sergeant,William Hans Jurgens,Gunfire,"Wednesday, July 16, 1958",1958,July,Wednesday,"Davenport Police Department, IA",Iowa,0
Peace Officer,Robert Earl Cox,Automobile crash,"Saturday, July 19, 1958",1958,July,Saturday,"Chula Vista Police Department, CA",California,0
Patrolman,Arlo Slagle,Gunfire,"Sunday, July 20, 1958",1958,July,Sunday,"Ludington Police Department, MI",Michigan,0
Trooper,Duane F. Nichols,Vehicular assault,"Thursday, July 24, 1958",1958,July,Thursday,"Nebraska State Patrol, NE",Nebraska,0
Policeman,Joseph William Bennett,Automobile crash,"Saturday, July 26, 1958",1958,July,Saturday,"Los Angeles Police Department, CA",California,0
Officer,Louis E. Spry,Vehicle pursuit,"Saturday, July 26, 1958",1958,July,Saturday,"Norfolk Police Department, VA",Virginia,0
Railroad Detective,Herbert Mitchell Gash,Gunfire,"Tuesday, July 29, 1958",1958,July,Tuesday,"Southern Railway Police Department, RR",United States,0
Officer,Robert J. Morey,Gunfire,"Friday, August 8, 1958",1958,August,Friday,"San Francisco Police Department, CA",California,0
Deputy Sheriff,Conley Potter,Gunfire,"Friday, August 8, 1958",1958,August,Friday,"Letcher County Sheriff's Office, KY",Kentucky,0
Patrolman,Robert Lee Kirk,Heart attack,"Friday, August 8, 1958",1958,August,Friday,"Fairmont Police Department, WV",West Virginia,0
Patrolman,"Austin Eugene Vanover, Sr.",Motorcycle crash,"Wednesday, August 13, 1958",1958,August,Wednesday,"Henderson Police Department, KY",Kentucky,0
Officer,Barry Ronald Rosekind,Vehicle pursuit,"Thursday, August 14, 1958",1958,August,Thursday,"San Francisco Police Department, CA",California,0
Trooper,Ermon Boyce Cox,Gunfire,"Sunday, August 17, 1958",1958,August,Sunday,"Arkansas State Police, AR",Arkansas,0
Turnkey,Patrick J. Fogarty,Assault,"Sunday, August 17, 1958",1958,August,Sunday,"Lewis County Sheriff's Office, NY",New York,0
Reserve Deputy Sheriff,Robert Riley,Automobile crash,"Sunday, August 17, 1958",1958,August,Sunday,"Lane County Sheriff's Office, OR",Oregon,0
Trooper,Stephen R. Gyurke,Struck by vehicle,"Sunday, August 24, 1958",1958,August,Sunday,"Pennsylvania State Police, PA",Pennsylvania,0
Officer,William C. Long,Gunfire (Inadvertent),"Sunday, August 31, 1958",1958,August,Sunday,"San Francisco Police Department, CA",California,0
Agent,Arthur T. Fadness,Heart attack,"Sunday, August 31, 1958",1958,August,Sunday,"Wisconsin Department of Revenue - Alcohol and Tobacco Enforcement, WI",Wisconsin,0
Officer,Henry T. Stephens,Gunfire,"Friday, September 5, 1958",1958,September,Friday,"Salisbury Police Department, MD",Maryland,0
Patrolman,Harry Boyd Ray,Gunfire,"Sunday, September 7, 1958",1958,September,Sunday,"South Carolina Highway Patrol, SC",South Carolina,0
Patrolman,Ernest E. Eichhorn,Vehicular assault,"Tuesday, September 16, 1958",1958,September,Tuesday,"Washington State Patrol, WA",Washington,0
Police Officer,Robert K. Nelson,Motorcycle crash,"Friday, September 19, 1958",1958,September,Friday,"Baltimore City Police Department, MD",Maryland,0
Deputy Sheriff,Lester John Miller,Automobile crash,"Friday, September 19, 1958",1958,September,Friday,"Schuyler County Sheriff's Department, NY",New York,0
Lieutenant,Donald J. Gillis,Gunfire,"Saturday, September 20, 1958",1958,September,Saturday,"Los Angeles County Sheriff's Department, CA",California,0
Patrolman,Edward Samuel Virden,Gunfire,"Sunday, September 21, 1958",1958,September,Sunday,"Prescott Police Department, AR",Arkansas,0
Deputy Sheriff,"Harold Addison Reis, Jr.",Vehicular assault,"Tuesday, September 23, 1958",1958,September,Tuesday,"Los Angeles County Sheriff's Department, CA",California,0
Trooper,Leo S. Burakowski,Automobile crash,"Wednesday, September 24, 1958",1958,September,Wednesday,"Illinois State Police, IL",Illinois,0
Officer,Richard Armijo,Motorcycle crash,"Tuesday, September 30, 1958",1958,September,Tuesday,"Albuquerque Police Department, NM",New Mexico,0
Patrolman,"William Lawrence Long, Sr.",Automobile crash,"Saturday, October 4, 1958",1958,October,Saturday,"Louisville Police Department, KY",Kentucky,0
Trooper,Herbert C. Bush,Automobile crash,"Saturday, October 11, 1958",1958,October,Saturday,"Kentucky State Police, KY",Kentucky,0
Officer,"Joseph F. Johnston, Jr.",Vehicular assault,"Sunday, October 12, 1958",1958,October,Sunday,"California Highway Patrol, CA",California,0
Deputy,Kenneth Harvey Johnson,Vehicle pursuit,"Monday, October 13, 1958",1958,October,Monday,"Ramsey County Sheriff's Department, MN",Minnesota,0
Police Officer,Stanley Tex Pitakos,Gunfire,"Thursday, October 16, 1958",1958,October,Thursday,"Newport Police Department, KY",Kentucky,0
Patrolman,James V. Timpona,Struck by streetcar,"Thursday, October 16, 1958",1958,October,Thursday,"Pittsburgh Bureau of Police, PA",Pennsylvania,0
Police Officer,Leonard Claude Tribble,Motorcycle crash,"Saturday, October 18, 1958",1958,October,Saturday,"West Miami Police Department, FL",Florida,0
Detective Sergeant,Gene Tilford Nash,Gunfire,"Monday, October 20, 1958",1958,October,Monday,"Los Angeles Police Department, CA",California,0
District Supervisor,Corwin Marcus Starry,Automobile crash,"Sunday, November 2, 1958",1958,November,Sunday,"Florida State Beverage Department, FL",Florida,0
Officer,Raymond J. McMaster,Gunfire,"Sunday, November 9, 1958",1958,November,Sunday,"Boulder Police Department, CO",Colorado,0
Officer,Lester G. Myers,Motorcycle crash,"Thursday, November 13, 1958",1958,November,Thursday,"Metropolitan Police Department, DC",District of Columbia,0
Chief of Police,Denzil O. Lockard,Struck by vehicle,"Friday, November 14, 1958",1958,November,Friday,"Rivesville Police Department, WV",West Virginia,0
Police Officer,"Frank Henderson Wall, Jr.",Gunfire,"Tuesday, November 18, 1958",1958,November,Tuesday,"Augusta Police Department, GA",Georgia,0
Patrolman,Henry N. Brownie Russell,Automobile crash,"Wednesday, November 19, 1958",1958,November,Wednesday,"South Dakota Highway Patrol, SD",South Dakota,0
Officer,Robert B. Heberlie,Vehicular assault,"Saturday, November 22, 1958",1958,November,Saturday,"California Highway Patrol, CA",California,0
Patrol Officer,Frank D. Romano,Heart attack,"Saturday, November 22, 1958",1958,November,Saturday,"Waterbury Police Department, CT",Connecticut,0
Police Officer,Charles Bernoskie,Gunfire,"Friday, November 28, 1958",1958,November,Friday,"Rahway Police Department, NJ",New Jersey,0
Officer,Russell C. Scott,Struck by vehicle,"Friday, November 28, 1958",1958,November,Friday,"Wichita Falls Police Department, TX",Texas,0
Trooper,Ronald E. Gray,Automobile crash,"Monday, December 1, 1958",1958,December,Monday,"New Jersey State Police, NJ",New Jersey,0
Deputy High Constable,Robert Marmaduke Johnson,Gunfire (Inadvertent),"Friday, December 5, 1958",1958,December,Friday,"Richmond High Constable's Office, VA",Virginia,0
Detective,William McCaffery,Gunfire (Inadvertent),"Saturday, December 13, 1958",1958,December,Saturday,"Jersey City Police Department, NJ",New Jersey,0
Policeman,Jose Nunez-Kiles,Gunfire,"Thursday, December 18, 1958",1958,December,Thursday,"Puerto Rico Police Department, PR",Puerto Rico,0
Officer,Louis O. Cochran,Vehicular assault,"Monday, December 22, 1958",1958,December,Monday,"Arizona Department of Public Safety, AZ",Arizona,0
Police Officer,"Richard H. Duvall, Jr.",Gunfire (Inadvertent),"Sunday, January 11, 1959",1959,January,Sunday,"Baltimore City Police Department, MD",Maryland,0
Sheriff,Elvin Elbert Patrick,Gunfire,"Saturday, January 17, 1959",1959,January,Saturday,"Whitley County Sheriff's Office, KY",Kentucky,0
Trooper,John Richard Barter,Gunfire,"Thursday, January 29, 1959",1959,January,Thursday,"Oklahoma Highway Patrol, OK",Oklahoma,0
Patrolman,Michael Talkowsky,Gunfire,"Saturday, January 31, 1959",1959,January,Saturday,"New York City Police Department, NY",New York,0
Private,Bobby G. Padgett,Gunfire,"Wednesday, February 4, 1959",1959,February,Wednesday,"Alexandria Police Department, VA",Virginia,0
Officer,Herbert F. Dimon,Motorcycle crash,"Saturday, February 7, 1959",1959,February,Saturday,"California Highway Patrol, CA",California,0
Deputy Sheriff,Joe Cecil Clark,Automobile crash,"Wednesday, February 18, 1959",1959,February,Wednesday,"Tulsa County Sheriff's Office, OK",Oklahoma,0
Police Officer,Max R. Oldham,Vehicular assault,"Saturday, February 21, 1959",1959,February,Saturday,"Albuquerque Police Department, NM",New Mexico,0
Chief of Police,Carl Ahlstrand,Struck by vehicle,"Sunday, February 22, 1959",1959,February,Sunday,"Hanover Park Police Department, IL",Illinois,0
Trooper,John Henry Powell,Struck by vehicle,"Friday, February 27, 1959",1959,February,Friday,"Indiana State Police, IN",Indiana,0
Chief of Police,Amos Morris,Gunfire,"Saturday, February 28, 1959",1959,February,Saturday,"Mannington Police Department, WV",West Virginia,0
Detective,Jose L. Castellanos,Gunfire,"Thursday, March 5, 1959",1959,March,Thursday,"Los Angeles Police Department, CA",California,0
Deputy Sheriff,Jimmie M. Biggs,Aircraft accident,"Wednesday, March 11, 1959",1959,March,Wednesday,"Woodbury County Sheriff's Office, IA",Iowa,0
Patrolman,Robert Michael Forrest,Heart attack,"Thursday, March 12, 1959",1959,March,Thursday,"New York City Police Department, NY",New York,0
Deputy Sheriff,Victor Cusworth,Automobile crash,"Sunday, March 15, 1959",1959,March,Sunday,"Kittitas County Sheriff's Office, WA",Washington,0
Deputy Sheriff,Ronald R. Dick Rhodes,Automobile crash,"Sunday, March 15, 1959",1959,March,Sunday,"Kittitas County Sheriff's Office, WA",Washington,0
Police Officer,C. E. Branon,Vehicular assault,"Friday, March 20, 1959",1959,March,Friday,"Houston Police Department, TX",Texas,0
Police Officer,"Festus Alvah Tatum, Jr.",Motorcycle crash,"Saturday, March 28, 1959",1959,March,Saturday,"West Palm Beach Police Department, FL",Florida,0
Game Warden,Clarence Lester Brown,Automobile crash,"Friday, April 3, 1959",1959,April,Friday,"California Department of Fish and Wildlife, CA",California,0
Game Warden,Ezra L. Brewer,Drowned,"Saturday, April 4, 1959",1959,April,Saturday,"Mississippi Department of Wildlife, Fisheries and Parks, MS",Mississippi,0
Policeman,Charles Emerson Bogardus,Gunfire,"Monday, April 6, 1959",1959,April,Monday,"Los Angeles Police Department, CA",California,0
Patrolman,Lawrence M. O'Neal,Gunfire,"Tuesday, April 7, 1959",1959,April,Tuesday,"Doerun Police Department, GA",Georgia,0
Deputy Warden,Theodore Rothe,Gunfire,"Thursday, April 16, 1959",1959,April,Thursday,"Montana Department of Corrections - State Prison, MT",Montana,0
Conservation Officer,James Brady McClain,Automobile crash,"Tuesday, April 28, 1959",1959,April,Tuesday,"Kentucky Department of Fish and Wildlife Resources, KY",Kentucky,0
Patrolman,Fred Parker,Vehicle pursuit,"Wednesday, April 29, 1959",1959,April,Wednesday,"Clayton County Police Department, GA",Georgia,0
Patrolman,Mitchell A. Stone,Gunfire,"Wednesday, April 29, 1959",1959,April,Wednesday,"Chicago Police Department, IL",Illinois,0
Officer,Harold K. Shelton,Gunfire,"Sunday, May 3, 1959",1959,May,Sunday,"Metropolitan Police Department, DC",District of Columbia,0
Policeman,Gilbert N. Reyes,Motorcycle crash,"Monday, May 4, 1959",1959,May,Monday,"Los Angeles Police Department, CA",California,0
Patrolman,Ezra Foreman,Gunfire,"Monday, May 4, 1959",1959,May,Monday,"Crowley Police Department, LA",Louisiana,0
Sergeant,William F. Herkal,Gunfire,"Monday, May 11, 1959",1959,May,Monday,"Minneapolis Police Department, MN",Minnesota,0
Patrolman,Harry J. Hafner,Motorcycle crash,"Monday, May 11, 1959",1959,May,Monday,"New York City Police Department, NY",New York,0
Chief Deputy Sheriff,Leonard Paul Taylor,Automobile crash,"Monday, May 11, 1959",1959,May,Monday,"McNairy County Sheriff's Office, TN",Tennessee,0
Deputy Sheriff,Oran Randal Blasingame,Automobile crash,"Monday, May 11, 1959",1959,May,Monday,"McNairy County Sheriff's Office, TN",Tennessee,0
Chief of Police,Pierre A. Pete Harnois,Gunfire,"Thursday, May 14, 1959",1959,May,Thursday,"Westbrook Police Department, ME",Maine,0
Patrolman,Henry C. Yonce,Automobile crash,"Tuesday, May 19, 1959",1959,May,Tuesday,"South Carolina Highway Patrol, SC",South Carolina,0
Detective Sergeant,Leroy King,Gunfire,"Wednesday, May 20, 1959",1959,May,Wednesday,"Lafayette Police Department, LA",Louisiana,0
Captain,Harold Abadie,Gunfire,"Wednesday, May 20, 1959",1959,May,Wednesday,"Lafayette Police Department, LA",Louisiana,0
Officer,Loy H. Walton,Struck by vehicle,"Wednesday, May 20, 1959",1959,May,Wednesday,"Fort Worth Police Department, TX",Texas,0
Deputy Sheriff,William Jackson Litz,Struck by train,"Saturday, May 23, 1959",1959,May,Saturday,"San Bernardino County Sheriff's Department, CA",California,0
Trooper,Ronald J. Donahue,Gunfire,"Saturday, May 23, 1959",1959,May,Saturday,"New York State Police, NY",New York,0
Sergeant,Charles Sea,Gunfire,"Sunday, May 24, 1959",1959,May,Sunday,"Jacksonville Police Department, FL",Florida,0
Sheriff,James Rufus Lauer,Gunfire,"Wednesday, May 27, 1959",1959,May,Wednesday,"Northumberland County Sheriff's Office, PA",Pennsylvania,0
Corporal,Joe R. Massey,Gunfire,"Sunday, May 31, 1959",1959,May,Sunday,"Greensboro Police Department, NC",North Carolina,0
Sheriff,"Thomas Elisha Bebber, Sr.",Gunfire,"Tuesday, June 2, 1959",1959,June,Tuesday,"Alexander County Sheriff's Office, NC",North Carolina,0
Patrolman,Tom L. Roland,Automobile crash,"Thursday, June 4, 1959",1959,June,Thursday,"Bowie Police Department, TX",Texas,0
Police Officer,James Francis Kane,Gunfire,"Friday, June 5, 1959",1959,June,Friday,"Philadelphia Police Department, PA",Pennsylvania,0
Deputy Sheriff,"Julian Lee Powers, Jr.",Gunfire,"Monday, June 8, 1959",1959,June,Monday,"Lee County Sheriff's Office, NC",North Carolina,0
Deputy Sheriff,James Russell Johnson,Vehicle pursuit,"Friday, June 12, 1959",1959,June,Friday,"Mille Lacs County Sheriff's Office, MN",Minnesota,0
Police Officer,Joe Reynolds,Gunfire,"Sunday, June 14, 1959",1959,June,Sunday,"Augusta Police Department, GA",Georgia,0
Police Officer,Alfred V. Sandquist,Vehicular assault,"Thursday, June 18, 1959",1959,June,Thursday,"St. Paul Police Department, MN",Minnesota,0
Patrolman,Raymond Charles Perkins,Gunfire,"Thursday, June 18, 1959",1959,June,Thursday,"Matewan Police Department, WV",West Virginia,0
Deputy Sheriff,Mackay C. Jewkes,Automobile crash,"Thursday, June 25, 1959",1959,June,Thursday,"Salt Lake County Sheriff's Office, UT",Utah,0
Chief of Police,William Page Mason,Gunfire,"Saturday, June 27, 1959",1959,June,Saturday,"Ravenna Police Department, KY",Kentucky,0
Constable,"Henry Clay Jones, Jr.",Gunfire,"Monday, June 29, 1959",1959,June,Monday,"Bell County Constable's Office, KY",Kentucky,0
Chief of Police,Deo C. Waldron,Struck by vehicle,"Sunday, July 12, 1959",1959,July,Sunday,"Hallock Police Department, MN",Minnesota,0
Matron,Lucille Helm,Automobile crash,"Monday, July 13, 1959",1959,July,Monday,"Madera County Sheriff's Office, CA",California,0
Sergeant,George Harvey Terry,Automobile crash,"Monday, July 13, 1959",1959,July,Monday,"Madera County Sheriff's Office, CA",California,0
Lieutenant,Ivan H. Hayes,Heart attack,"Saturday, July 18, 1959",1959,July,Saturday,"New Hampshire State Police, NH",New Hampshire,0
Police Officer,Lucas Ervin Whatley,Struck by vehicle,"Monday, July 20, 1959",1959,July,Monday,"Hawkins Police Department, TX",Texas,0
Officer,George E. Kallemeyn,Motorcycle crash,"Tuesday, July 21, 1959",1959,July,Tuesday,"California Highway Patrol, CA",California,0
Corrections Officer,Charles Jesse Baker,Accidental,"Tuesday, July 21, 1959",1959,July,Tuesday,"Texas Department of Criminal Justice - Correctional Institutions Division, TX",Texas,0
Sheriff,"John Sidney Jack Hunter, Sr.",Gunfire,"Friday, July 24, 1959",1959,July,Friday,"Haywood County Sheriff's Office, TN",Tennessee,0
Patrolman,"Leroy Warren, Jr.",Vehicle pursuit,"Saturday, July 25, 1959",1959,July,Saturday,"Springfield Police Department, OH",Ohio,0
Police Officer,Ronald I. English,Vehicle pursuit,"Monday, July 27, 1959",1959,July,Monday,"Detroit Police Department, MI",Michigan,0
Trooper,Clarence Uen Swain,Automobile crash,"Saturday, August 1, 1959",1959,August,Saturday,"Illinois State Police, IL",Illinois,0
Police Officer,Eugene Albert Doran,Gunfire,"Wednesday, August 5, 1959",1959,August,Wednesday,"Hillsborough Police Department, CA",California,0
Police Officer,James Ray,Automobile crash,"Friday, August 7, 1959",1959,August,Friday,"Gering Police Department, NE",Nebraska,0
Patrolman,Donald Everett DeSues,Explosion,"Friday, August 7, 1959",1959,August,Friday,"Roseburg Police Department, OR",Oregon,0
Police Officer,Joseph Anthony Reiss,Fall,"Saturday, August 8, 1959",1959,August,Saturday,"Philadelphia Police Department, PA",Pennsylvania,0
Trooper,Hurfu L. Duckworth,Gunfire,"Wednesday, August 19, 1959",1959,August,Wednesday,"Mississippi Department of Public Safety - Mississippi Highway Patrol, MS",Mississippi,0
Deputy Sheriff,Joe Phillips,Gunfire,"Friday, August 21, 1959",1959,August,Friday,"Scott County Sheriff's Office, TN",Tennessee,0
Sergeant,William Robert Lewis,Motorcycle crash,"Sunday, August 23, 1959",1959,August,Sunday,"Torrance Police Department, CA",California,0
Police Officer,John W. Suttle,Struck by vehicle,"Sunday, August 23, 1959",1959,August,Sunday,"Houston Police Department, TX",Texas,0
Police Officer,Edwin Edwards,Vehicular assault,"Thursday, August 27, 1959",1959,August,Thursday,"Logan City Police Department, UT",Utah,0
Chief Deputy,Alma P. Sorensen,Vehicular assault,"Thursday, August 27, 1959",1959,August,Thursday,"Cache County Sheriff's Office, UT",Utah,0
Officer,Charles J. Busby,Vehicular assault,"Friday, August 28, 1959",1959,August,Friday,"Atlanta Police Department, GA",Georgia,0
Trooper,Albert W. Souden,Gunfire,"Thursday, September 3, 1959",1959,September,Thursday,"Michigan State Police, MI",Michigan,0
Investigator,George Giambiasi,Automobile crash,"Friday, September 4, 1959",1959,September,Friday,"Illinois Department of Conservation - Division of Law Enforcement, IL",Illinois,0
Deputy Sheriff,Frank Buzynski,Vehicle pursuit,"Friday, September 4, 1959",1959,September,Friday,"Knox County Sheriff's Office, ME",Maine,0
Deputy Sheriff,"Frank E. Ross, Jr.",Vehicle pursuit,"Friday, September 4, 1959",1959,September,Friday,"Knox County Sheriff's Office, ME",Maine,0
Sheriff,Marion F. Simpson,Automobile crash,"Friday, September 4, 1959",1959,September,Friday,"Madison County Sheriff's Office, MS",Mississippi,0
Policeman,Rosendo Torres-Pabon,Gunfire,"Friday, September 4, 1959",1959,September,Friday,"Puerto Rico Police Department, PR",Puerto Rico,0
Patrolman,Douglas Eugene Cantrill,Gunfire,"Monday, September 7, 1959",1959,September,Monday,"Davis Police Department, CA",California,0
Patrolman,Woodrow W. Nalley,Gunfire,"Monday, September 7, 1959",1959,September,Monday,"Easley Police Department, SC",South Carolina,0
Chief of Police,Daniel W. Guldin,Heart attack,"Thursday, September 10, 1959",1959,September,Thursday,"North Coventry Township Police Department, PA",Pennsylvania,0
Deputy Sheriff,Larry E. Dano,Automobile crash,"Monday, September 14, 1959",1959,September,Monday,"Jefferson County Sheriff's Office, NY",New York,0
Deputy Sheriff,Harry G. Waters,Automobile crash,"Monday, September 14, 1959",1959,September,Monday,"Jefferson County Sheriff's Office, NY",New York,0
Patrolman,Romeo Caino,Struck by vehicle,"Tuesday, September 15, 1959",1959,September,Tuesday,"North Bergen Police Department, NJ",New Jersey,0
Corporal,Samuel J. Cheatham,Heart attack,"Wednesday, September 23, 1959",1959,September,Wednesday,"St. Louis Metropolitan Police Department, MO",Missouri,0
Sheriff,Dona Arnett,Vehicular assault,"Saturday, September 26, 1959",1959,September,Saturday,"Magoffin County Sheriff's Office, KY",Kentucky,0
Constable,James William Burr,Heart attack,"Tuesday, September 29, 1959",1959,September,Tuesday,"Harrison County Constable's Office, WV",West Virginia,0
Sergeant,Raymond A. Nencki,Gunfire,"Monday, October 5, 1959",1959,October,Monday,"Milwaukee Police Department, WI",Wisconsin,0
Sergeant,Myron L. Trapp,Gunfire,"Tuesday, October 6, 1959",1959,October,Tuesday,"Garden Grove Police Department, CA",California,0
Trooper,Jimmie D. Jacobs,Automobile crash,"Tuesday, October 6, 1959",1959,October,Tuesday,"Kansas Highway Patrol, KS",Kansas,0
Officer,Ronald Glen Kilby,Gunfire,"Thursday, October 8, 1959",1959,October,Thursday,"Hermiston Police Department, OR",Oregon,0
Sergeant,Manuel Walker Trenary,Gunfire,"Thursday, October 8, 1959",1959,October,Thursday,"Harrisonburg Police Department, VA",Virginia,0
Patrolman,Theodore Albert Uzdilla,Vehicular assault,"Friday, October 9, 1959",1959,October,Friday,"Hanover Township Police Department, PA",Pennsylvania,0
Patrolman,Allen Charles Steele,Automobile crash,"Friday, October 16, 1959",1959,October,Friday,"New Orleans Police Department, LA",Louisiana,0
Police Officer,Joseph John Franceschino,Heart attack,"Monday, October 26, 1959",1959,October,Monday,"Philadelphia Police Department, PA",Pennsylvania,0
Corporal,Richard C. Edstrom,Gunfire,"Wednesday, October 28, 1959",1959,October,Wednesday,"Colorado State Patrol, CO",Colorado,0
Trooper,Daniel E. Smith,Vehicular assault,"Saturday, November 7, 1959",1959,November,Saturday,"Mississippi Department of Public Safety - Mississippi Highway Patrol, MS",Mississippi,0
Officer,Leonard W. Winney,Vehicle pursuit,"Thursday, November 12, 1959",1959,November,Thursday,"California Highway Patrol, CA",California,0
Sergeant,Walter J. Burgess,Automobile crash,"Saturday, November 14, 1959",1959,November,Saturday,"Rhode Island State Police, RI",Rhode Island,0
Trooper,Ray X. F. Krueger,Automobile crash,"Friday, November 20, 1959",1959,November,Friday,"Minnesota State Patrol, MN",Minnesota,0
Trooper,Hilary Welenc,Struck by vehicle,"Friday, November 20, 1959",1959,November,Friday,"New Jersey State Police, NJ",New Jersey,0
Investigator,James Truett Smith,Automobile crash,"Sunday, November 22, 1959",1959,November,Sunday,"United States Department of the Treasury - Internal Revenue Service - Alcohol and Tobacco Tax Division, US",United States,0
Patrolman,Joseph Palazolla,Struck by vehicle,"Monday, November 30, 1959",1959,November,Monday,"Memphis Police Department, TN",Tennessee,0
Patrolman,Dalton Fleming,Gunfire,"Tuesday, December 1, 1959",1959,December,Tuesday,"Winter Garden Police Department, FL",Florida,0
Trooper,Armond A. Luke,Vehicle pursuit,"Thursday, December 3, 1959",1959,December,Thursday,"Utah Highway Patrol, UT",Utah,0
Officer,Clinton Murphy Hyde,Gunfire,"Saturday, December 5, 1959",1959,December,Saturday,"Mount Dora Police Department, FL",Florida,0
Patrolman,Clyde Wesley Gregg,Gunfire,"Tuesday, December 8, 1959",1959,December,Tuesday,"Maplesville Police Department, AL",Alabama,0
Detective Captain,Stephen Edward Wilson,Heart attack,"Wednesday, December 9, 1959",1959,December,Wednesday,"West Haven Police Department, CT",Connecticut,0
Officer,Robert C. Hill,Automobile crash,"Wednesday, December 9, 1959",1959,December,Wednesday,"Norfolk Police Department, VA",Virginia,0
Patrolman,Harold V. Shaw,Gunfire,"Friday, December 11, 1959",1959,December,Friday,"Rochester Police Department, NY",New York,0
Patrolman,Norman Lee Read,Gunfire,"Sunday, December 13, 1959",1959,December,Sunday,"Saraland Police Department, AL",Alabama,0
Trooper,Robert Jack Garrison,Automobile crash,"Monday, December 14, 1959",1959,December,Monday,"Indiana State Police, IN",Indiana,0
Police Officer,Glenn R. Faulk,Gunfire,"Thursday, December 17, 1959",1959,December,Thursday,"Palatka Police Department, FL",Florida,0
Patrolman,Harry Thomas Long,Vehicular assault,"Friday, December 18, 1959",1959,December,Friday,"North Carolina Highway Patrol, NC",North Carolina,0
Patrolman,Thomas W. Evans,Struck by vehicle,"Friday, December 18, 1959",1959,December,Friday,"Johnstown Police Department, PA",Pennsylvania,0
Patrolman,Hobert Daniel Brown,Gunfire,"Tuesday, December 22, 1959",1959,December,Tuesday,"Blue Ridge Police Department, GA",Georgia,0
Marshal,Paul Andrew Heath,Heart attack,"Thursday, December 24, 1959",1959,December,Thursday,"Monette Police Department, AR",Arkansas,0
Sheriff,Bart Dell Broxson,Automobile crash,"Thursday, December 24, 1959",1959,December,Thursday,"Santa Rosa County Sheriff's Office, FL",Florida,0
Police Officer,Alan Yerton,Vehicular assault,"Thursday, December 24, 1959",1959,December,Thursday,"Tulsa Police Department, OK",Oklahoma,0
Policeman,Robert John Sweet,Motorcycle crash,"Saturday, December 26, 1959",1959,December,Saturday,"Los Angeles Police Department, CA",California,0
Officer,Ocie C. Gray,Aircraft accident,"Monday, January 4, 1960",1960,January,Monday,"New Mexico Department of Game and Fish, NM",New Mexico,0
Officer,Austin A. Roberts,Aircraft accident,"Monday, January 4, 1960",1960,January,Monday,"New Mexico Department of Game and Fish, NM",New Mexico,0
Officer,Donald J. Brereton,Gunfire,"Thursday, January 7, 1960",1960,January,Thursday,"Metropolitan Police Department, DC",District of Columbia,0
Sergeant,"Edward J. Johnson, Jr.",Stabbed,"Friday, January 8, 1960",1960,January,Friday,"New York City Police Department, NY",New York,0
Patrolman,"Marvin E. Moore, Jr.",Gunfire,"Sunday, January 10, 1960",1960,January,Sunday,"Amarillo Police Department, TX",Texas,0
Patrolman,Pleasant Everett Teel,Heart attack,"Sunday, January 17, 1960",1960,January,Sunday,"Herington Police Department, KS",Kansas,0
Patrolman,Matthew Steve Forgach,Heart attack,"Saturday, January 23, 1960",1960,January,Saturday,"Newport Township Police Department, PA",Pennsylvania,0
Private First Class,Jack Edward Martin,Gunfire (Inadvertent),"Thursday, January 28, 1960",1960,January,Thursday,"United States Army Military Police Corps, US",United States,0
