,Movie,Year,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
506,DC Fandome,(2020 TV Special),"Action,Fantasy,Talk-Show",,,,"BenAffleck,WillArnett,TalaAshe,LillyAspell",a Plot,8.7,,75,,DC
507,Green Arrow,(2014),"Animation,Sci-Fi",1 min,,,"WillFriedle,KevinMichaelRichardson,KariWahlgren,KevinConroy",An DC animated shorts following the emerald archer and his super artificial intelligence bow as he takes on crime alongside black canary.,7.7,,278,,DC
508,The Fire Rises: The Creation and Impact of the Dark Knight Trilogy,(2013 Video),Documentary,77 min,,,"EionBailey,ChristianBale,MichaelCaine,NathanCrowley",Documentary about the Dark Knight Trilogy.,8.1,,190,,DC
509,The Omen Legacy,(2001 TV Movie),Documentary,100 min,,BrentZacky,"JackPalance,DavidSeltzer,BlancheBarton,DougPosey","The true stories that spawned the eerie tale of Damien, a small boy with an angelic face, whose very name still conjures up thoughts of Satan. This documentary shares spine-tingling ...                See full summary »",6.7,,292,,DC
510,The World's Greatest SuperFriends,(1979– ),"Adventure,Animation",30 min,TV-Y7,,"MichaelBell,WilliamCallaway,DannyDark,ShannonFarnon",The further and darker adventures of the team consisting of DC Comics' greatest superheroes.,7.5,,708,,DC
511,Necessary Evil: Super-Villains of DC Comics,(2013),Documentary,99 min,Not Rated,"ScottDevine,J.M.Kenny","ChristopherLee,NealAdams,BrianAzzarello,ClaudiaBlack","A documentary detailing the epic Rogues' Gallery of DC Comics from The Joker and Lex Luthor, Sinestro, Darkseid and more, this documentary will explore the Super Villains of DC Comics.",6.8,,"1,128",,DC
512,Dark Justice,(2003),"Short,Action",11 min,,AaronSchoenke,"TanoaiReed,KimHunt,KimWeber,SeanSchoenke","A Batman fan film in which Commissioner Gordon's daughter Barbara is kidnapped by a man he sent to prison 20 years before, and he asks for Batman's help to get her back.",5.9,,140,,DC
513,Frankenpimp,(2009),"Action,Comedy,Fantasy",194 min,,"Vivita,TonyWatt,JohnA.Kelly","TonyWatt,Vivita,MartinMagee,MichelleNewland","Romeo Montague is the alias of (the re-animated) Patient Zero, a skilled, mutated android hit-man/pimp/ancient relics collector, that lives in Verona City, N.Y.; a dystopic metropolis filled with extreme horror and sexual deviancy.",1.1,,145,,DC
514,Superman 50th Anniversary,(1988 TV Movie),"Comedy,Documentary",49 min,,RobertBoyd,"DanaCarvey,KirkAlyn,PeterBoyle,JimmyBreslin",A humorous telling of the history of the comic book superhero.,5.7,,140,,DC
515,Winx Club,(2006 Video Game),"Animation,Action,Adventure",,,,"ors:SpanTitle,DavidCox",Year of manufacture: 2006 Genre: Action / Adventure / For Kids Developer: DC Studios Publisher: Konami Language: Russian and English Language of voice: English Publication Type: Piratka ...                See full summary »,6.8,,18,,DC
516,Teen Titans,(2005 Video Game),"Animation,Action,Adventure",,E10+,,"ScottMenville,KharyPayton,TaraStrong,GregCipes",A video game based on the hit TV show Teen Titans.,7.2,,180,,DC
517,Metropolis,(V),"Action,Crime,Drama",60 min,,,,Metropolis will follow Lois Lane and Lex Luthor as they investigate the world of fringe science and expose the city's dark and bizarre secrets. Airing exclusively on DC's upcoming digital ...                See full summary »,,,,,DC
518,You Will Believe: The Cinematic Saga of Superman,(2006 Video),Documentary,89 min,,,"SamHamm,BobGale,JohnCalley,PeterGuber",a Plot,7.9,,86,,DC
519,Greatest Ever 80s Movies,(2007 TV Movie),Documentary,120 min,,"RubenRay-Choudhuri,TimVanSomeren","GilesCoren,NancyAllen,RogerAllers,RickBaker",a Plot,5.8,,20,,DC
520,100 Bullets,,"Action,Drama,Thriller",,,,,A man offers people who have been wronged an unexpected form of vengeance.,,,,,DC
521,The Science of Superman,(2006 TV Movie),Documentary,51 min,Not Rated,,"RinoRomano,MarkWaid,DennyO'Neil,MarkWolverton","""Science of Superman"" interviews the experts and uses highlights from comic books, television and film - including scenes from the 2006 summer blockbuster, ""Superman Returns"" - to examine ...                See full summary »",7.0,,108,,DC
522,Aquaman: Battle for Atlantis,(2003 Video Game),"Action,Adventure,Fantasy",,,,"ors:JonHilliard,JamieOttilie,JamesRyman,MattSaia","After being presumed dead, Black Manta has returned and intends to destroy kingdom of Atlantis. In order to protect his subjects and the rest of the seven seas, Aquaman must venture into his city, save his people, and defeat Black Manta.",3.5,,81,,DC
523,The Devil You Know: Inside the Mind of Todd McFarlane,(2001),"Documentary,Biography",77 min,,KentonVaughan,"ToddMcFarlane,JimSalicrup",A film about the life and career of the famed Canadian comic book talent.,6.4,,94,,DC
524,Batman,(1991 Video Game),"Action,Fantasy",,,,,a Plot,7.3,,65,,DC
525,First Flight: The Fleischer Superman Series,(2006 Video),"Documentary,Short",13 min,,,"RichardFleischer,LeslieCabarga,JerryBeck,MyronWaldman",Superman leaps off the comic page for the first time in this animated series that ran from 1941-1942.,7.0,,61,,DC
526,DC Nation's Farm League,(2012– ),"Animation,Fantasy,Sci-Fi",1 min,,,"EricBauza,JasonMarsden,LaurenTom,DavidKaye","The adventures of the Justice League on a comedic animal version that includes Bat-Mongoose, Wonder Wombat, and Super-Manatee",6.3,,60,,DC
527,Supergirl: The Making of the Movie,(1984 TV Movie),Documentary,60 min,Unrated,PeterHollywood,"FayeDunaway,PeterO'Toole,TedMaynard,HartBochner","A documentary filmed during production of the film ""Supergirl"" showing the world how and who made it. This interesting featurette includes interviews with the cast and crew along with ...                See full summary »",5.5,,66,,DC
528,The Making of 'Superman III',(1985 TV Movie),Documentary,48 min,,IainJohnstone,"AlMatthews,RoyAlon,JustinCase,ColinChilvers","This documentary treats movie fans to a behind-the-scenes look at the making of Superman III, a more comical take on the superhero story in which the Man of Steel takes on a supercomputer ...                See full summary »",6.1,,78,,DC
529,Project 13,(2018– ),"Action,Crime,Drama",45 min,,,,a Plot,,,,,DC
530,Shadows of the Bat: The Cinematic Saga of the Dark Knight - Dark Side of the Knight,(2005 Video),"Documentary,Short",30 min,,ConstantineNasr,"TimBurton,MichaelKeaton,DeniseDiNovi,SamHamm",An overview of the making of Batman Returns (1992).,7.3,,94,,DC
531,Taking Flight: The Development of 'Superman',(2001 Video),"Documentary,Short",30 min,,MichaelThau,"MarcMcClure,RichardDonner,TomMankiewicz,ChristopherReeve", McClure presents a documentary on the making of Superman (1978).,7.3,,118,,DC
532,Legends of the Dark Knight: The History of Batman,(2005 Video),"Documentary,Short",41 min,,ConstantineNasr,"HarlanEllison,MarkCottaVaz,MichaelE.Uslan,BobKane",A look at the history of the Batman comic franchise.,7.9,,217,,DC
533,Making 'Superman': Filming the Legend,(2001 Video),"Documentary,Short",31 min,,MichaelThau,"MarcMcClure,RichardDonner,TomMankiewicz,ChristopherReeve",a Plot,7.5,,129,,DC
534,Batman Begins: Path to Discovery,(2005 Video),"Documentary,Short",14 min,,,"ChristianBale,ChrisCorbould,NathanCrowley,LarryFranco",A look behind the scenes at the making of Batman Begins (2005).,7.2,,135,,DC
535,Batman: The Journey Begins,(2005 Video),"Documentary,Short",14 min,,,"ChristianBale,NathanCrowley,DavidForman,DavidS.Goyer",An overview of how Batman Begins (2005) was taken from concept to realization.,7.7,,169,,DC
536,The Mythology of Superman,(2006 Video),"Documentary,Short",20 min,,,"TerenceStamp,PaulLevitz,PhilCousineau,BobGale",An exploration of the mythological roots of the Man of Steel.,7.3,,46,,DC
537,Batman Returns Villains: Catwoman,(2005 Video),"Documentary,Short",5 min,,,"MichaelE.Uslan,GeoffJohns,BobKane,AlexRoss",Featurette on Michelle Pfeiffer's character in Batman Returns (1992).,6.6,,31,,DC
538,Batman Heroes: Harvey Dent,(2005 Video),"Documentary,Short",2 min,,,"DanDiDio,RobertWuhl,BillyDeeWilliams",Featurette on Billy Dee Williams' character in Batman (1989).,6.1,,19,,DC
539,The Worst Batman Fanfilm Ever... Period,(2016),"Short,Action,Comedy",3 min,,NikolayYeriomin,"HermannTheRefridgerator,NotExactly,AntonYevtikhov,AskoldTutylopydirskiy","Mr. Freeze, (Not Exactly) Batman and CIA collide in a plotless spoof of a fan film.",7.3,,6,,DC
540,Galaxian,(1979 Video Game),"Action,Sci-Fi",,Unrated,,,Face waves of aliens descending on your spaceship and clear the screen to achieve victory.,7.1,,180,,DC
541,Shadows of the Bat: The Cinematic Saga of the Dark Knight - The Legend Reborn,(2005 Video),"Documentary,Short",31 min,,,"RobertWuhl,MichaelKeaton,JackNicholson,PeterGuber",An overview of the making of the film Batman (1989).,7.6,,91,,DC
542,Batman Villains: Bob the Goon,(2005 Video),"Documentary,Short",2 min,,,"JackNicholson,TraceyWalter",Profile featurette on Tracey Walter's character in Batman (1989).,7.3,,17,,DC
543,Shadows of the Bat: The Cinematic Saga of the Dark Knight - The Gathering Storm,(2005 Video),"Documentary,Short",23 min,,,"TimBurton,JenetteKahn,SamHamm,RobertWuhl",An overview of the development of the film Batman (1989).,7.4,,91,,DC
544,Shaping Mind and Body,(2005 Video),"Documentary,Short",13 min,,,"ChristianBale,DavidForman,PaulJennings,LiamNeeson","How Christian Bale got himself into shape, both physically and mentally, in order to play Batman for the movie Batman Begins (2005).",7.0,,101,,DC
545,The Making of 'Superman: The Movie',(1980 TV Movie),Documentary,52 min,,IainJohnstone,"ErnieAnderson,ChristopherReeve,MarlonBrando,GeneHackman","Ernie Anderson narrates this look at the making of Richard Donner's blockbuster 1978 film. Behind-the-scenes footage, as well as scenes from the film, reveal just how audiences were able to...                See full summary »",7.3,,118,,DC
546,Saving Gotham City,(2005 Video),"Documentary,Short",13 min,,,"StevenBegg,ChrisCorbould,PaulJ.Franklin,KatieHolmes",A look at the effects work for the film Batman Begins (2005).,7.1,,76,,DC
547,From Rivals to Romance: The Making of Lois and Clark,(2005 Video),Short,26 min,,,"RobertButler,DeanCain,KCallan,MikeCarlin",A documentary about the making of Lois & Clark: The New Adventures of Superman (1993).,7.7,,7,,DC
548,Genesis of the Bat,(2005 Video),"Documentary,Short",15 min,,,"DanDiDio,DavidS.Goyer,JimLee,PaulLevitz","A look at the cultural influence of Batman, and the various movie and comic book incarnations of the character, with a specific focus on the film Batman Begins (2005).",7.1,,83,,DC
549,The Magic Behind the Cape,(2001 Video),"Documentary,Short",24 min,,MichaelThau,"RoyField,MarcMcClure,MarlonBrando,RichardDonner",The story of the development of the visual effects used in the first Christopher Reeve Superman film.,7.9,,78,,DC
550,Smallville: Justice and Doom,(2007 TV Movie),"Animation,Sci-Fi",,,,or:RonPerazza,a Plot,6.5,,8,,DC
551,Frank Skinner on Muhammad Ali,(2017 TV Movie),"Documentary,Sport",60 min,,MaryCrisp,"FrankSkinner,NicolaAdams,RahmanAli,LarryHolmes","k Skinner learns more about his sporting hero Muhammad Ali, visiting key locations and people in his life - including the bare knuckle fighter from Oxfordshire who became one of Ali's dear friends.",7.2,,5,,DC
552,Batman: The Tumbler,(2005 Video),"Documentary,Short",14 min,,,"DeanBailey,ChristianBale,ChrisCorbould,GeorgeCottle",An overview of the design process of the Batmobile for the film Batman Begins (2005).,7.4,,138,,DC
553,Batman Returns Villains: The Penguin,(2005 Video),"Documentary,Short",4 min,,,"DannyDeVito,MichaelE.Uslan,TimBurton,MichaelKeaton",Featurette on Danny DeVito's character in Batman Returns (1992).,6.2,,21,,DC
554,"Beyond Batman: Bats, Mattes & Dark Nights - The Visual FX of Batman Returns",(2005 Video),"Documentary,Short",12 min,,ConstantineNasr,"MichaelL.Fink,JohnBruno,CraigBarron",A look at the special effects work on the film Batman Returns (1992).,7.3,,33,,DC
555,"Beyond Batman: Sleek, Sexy and Sinister - The Costumes of Batman Returns",(2005 Video),"Documentary,Short",13 min,,ConstantineNasr,"DeniseDiNovi,TimBurton,MaryE.Vogt,VinBurnham",A look at the costume design for the film Batman Returns (1992).,6.9,,33,,DC
556,Cape and Cowl,(2005 Video),"Documentary,Short",8 min,,,"ChristianBale,GrahamChurchyard,DavidS.Goyer,LindyHemming",A look at how the costumes were created for the movie Batman Begins (2005).,6.8,,98,,DC
557,Wonder Woman: The Ultimate Feminist Icon,(2005 Video),Short,14 min,,,"KarenBerger,LyndaCarter,DawnHeinecken,NinaJaffe",Lynda Carter and four female authors discuss the status of Wonder Woman as a feminist icon.,7.7,,21,,DC
558,The Complete Robin Storyboard Sequence,(2005 Video),"Animation,Short,Action",4 min,,,"KevinConroy,JasonHillhouse,MarkHamill","Reconstruction, using the original storyboard art and with character voiceovers, of the Robin cameo sequence from the Batman (1989) script, which was ultimately never filmed.",7.0,,42,,DC
559,Justice League: Alien Invasion,(2012),"Short,Adventure,Sci-Fi",12 min,,MichaelMinock,"TonyFederico,BetsyGraver,MirandaKhan,TomMulligan",a Plot,8.1,,24,,DC
560,Gotham City Rises,(2005 Video),"Documentary,Short",13 min,,,"ChristianBale,ChrisCorbould,NathanCrowley,LarryFranco",An overview of the production design work for the film Batman Begins (2005).,7.3,,104,,DC
561,Shadows of the Bat: The Cinematic Saga of the Dark Knight - The Road to Gotham City,(2005 Video),"Documentary,Short",18 min,,ConstantineNasr,"PeterGuber,MichaelE.Uslan,MarkCanton,StanLee",A look at how the Batman franchise was revived by the film Batman (1989).,7.5,,91,,DC
562,Beyond Batman: Inside the Elfman Studio - The Music of Batman Returns,(2005 Video),"Documentary,Short,Music",11 min,,ConstantineNasr,"DannyElfman,SteveBartek",A look at the composition of the music for the film Batman Returns (1992).,6.8,,29,,DC
563,Batman Returns Heroes: Alfred,(2005 Video),"Documentary,Short",4 min,,,"DanDiDio,MikeMignola,KevinSmith,MichaelGough",Featurette on Michael Gough's character in Batman Returns (1992).,6.8,,20,,DC
564,DC Fandome - CNN Heroes: Real Life Heroes in the Age of Coronavirus,(2020 TV Special),,,,,ndersonCooper,a Plot,,,,,DC
565,Batman Returns Villains: Max Shreck,(2005 Video),"Documentary,Short",2 min,,,"ChristopherWalken,DanielWaters,MarionDougherty,AlexRoss",Featurette on Christopher Walken's character in Batman Returns (1992).,6.2,,17,,DC
566,Body and Soul,(1984 TV Movie),"Comedy,Family,Music",60 min,,DonMischer,"LyndaCarter,EddieRabbitt,BenVereen,TheWalterPainterDancers",Lynda Carter's fifth variety special.,9.0,,15,,DC
567,Beyond Batman: Making Up the Penguin,(2005 Video),"Documentary,Short",8 min,,ConstantineNasr,"DannyDeVito,StanWinston,TimBurton,Mark'Crash'McCreery",A look at the makeup design for the film Batman Returns (1992).,6.8,,34,,DC
568,The Making of 'Superman II',(1982 TV Movie),Documentary,52 min,,IainJohnstone,"ErnieAnderson,TerenceStamp,GeneHackman,JackO'Halloran",Documentary about the making of the sequel to Superman.,7.0,,85,,DC
569,Batman Returns Heroes: Batman,(2005 Video),"Documentary,Short",3 min,,,"KimNewman,PaulDini,AlexRoss,TimBurton",An overview of the Batman character as portrayed in Batman Returns (1992).,6.5,,21,,DC
570,Film Club,(2002 TV Movie),Documentary,45 min,,CyrusSundarSingh,"CyrusSundarSingh,WilliamLeong,TonyPingitore,MelaneeEng",a Plot,,,,,DC
571,Beyond Batman: Assembling the Arctic Army,(2005 Video),"Documentary,Short",10 min,,ConstantineNasr,"DeniseDiNovi,GaryGero,RichardHill,TimBurton",A look at how the penguin army was filmed during the shooting of Batman Returns (1992).,6.9,,35,,DC
572,Revolutionizing a Classic: From Comic Book to Television - The Evolution of Wonder Woman from Page to Screen,(2005 Video),"Documentary,Short",,,,"LyndaCarter,AndyMangels,PhilJimenez,AlexRoss","A look at the second season of Wonder Woman, when the show moved to CBS and into the 70's.",7.8,,17,,DC
573,Batman Heroes: Vicki Vale,(2005 Video),"Documentary,Short",2 min,,ConstantineNasr,"SamHamm,KimBasinger,TimBurton",Featurette on Kim Basinger's character in the film Batman (1989).,7.0,,21,,DC
574,Superman,(I) (1987 Video Game),"Action,Adventure,Sci-Fi",,,,or:ToshiyukiNishimura,Aliens invade planet Earth and only Superman can save us.,6.3,,38,,DC
575,Batman: Night's End,(2011),Short,15 min,,JamesBoutcher,"JamesBoutcher,MarcelLegault,KelseyGoldberg,AndyLast","Batman seeks Claire Williams, a Wayne Enterprises employee who designed the prototype of new type of hologram who has been reported missing. To rescue her, he must battle his way through a ...                See full summary »",7.4,,10,,DC
576,Guarding the Balance: Batman and the JLA,(2012 Video),Short,19 min,,"AlexanderGray,JeffMaynard","EddieBerganza,StewartDavenport,DanDiDio,BenKarney",a Plot,6.4,,8,,DC
577,Beyond Batman: Gotham City Revisited - The Production Design of Batman Returns,(2005 Video),"Documentary,Short",11 min,,ConstantineNasr,"DeniseDiNovi,BoWelch,TimBurton,TomDuffield",A look at the production design work for the film Batman Returns (1992).,6.8,,33,,DC
578,Shadows of the Bat: The Cinematic Saga of the Dark Knight - Batman Unbound,(2005 Video),"Documentary,Short",27 min,,ConstantineNasr,"GeorgeClooney,JohnGlover,AkivaGoldsman,ValKilmer",a Plot,5.9,,74,,DC
579,Shadows of the Bat: The Cinematic Saga of the Dark Knight - Reinventing a Hero,(2005 Video),"Documentary,Short",28 min,,ConstantineNasr,"JanetScottBatchler,LeeBatchler,JimCarrey,AkivaGoldsman",a Plot,6.6,,66,,DC
580,The Death and Return of Superman,(1994 Video Game),"Action,Adventure,Fantasy",,Unrated,,,"When an unknown monster named Doomsday invades Metropolis, Superman must fight him in an epic and fierce battle to save the city.",7.3,,81,,DC
581,Batman Heroes: Alexander Knox,(2005 Video),"Documentary,Short",2 min,,,"RobertWuhl,JackNicholson",Featurette on Robert Wuhl's character in Batman (1989).,6.2,,17,,DC
582,Batman Heroes: Commissioner Gordon,(2005 Video),"Documentary,Short",2 min,,,"MichaelE.Uslan,PaulDini,PatHingle",Featurette on Pat Hingle's character in Batman (1989).,6.0,,22,,DC
583,Wonder Woman: A Subversive Dream,(2009 Video),"Documentary,Short",25 min,,,"PhilCousineau,DanDiDio,HughHefner,ChristopherKnowles","Examines why Wonder Woman is important in the grand scheme of the DC Super Heroes and how she helped define a new generation of empowered women, who realized that their gifts of intellect and strength were as powerful as those from men.",7.1,,14,,DC
584,The Super Human In Us All,(2017 Video),Documentary,49 min,,,or:AlexanderGray,a Plot,,,,,DC
585,Superman II: Restoring the Vision,(2006 Video),"Documentary,Short",13 min,,,"RichardDonner,MichaelThau,KarenRasch,KellyCabral",a Plot,7.9,,75,,DC
586,A Sneek Peak at Justice League: Doom,(2011 Video),"Documentary,Short",10 min,,,"CarlosAlazraqui,PhilBourassa,AlanBurnett,TimDaly",a Plot,6.0,,6,,DC
587,Superboy: Spies from Outer Space,(1996 Video Game),,,K-A,,,a Plot,,,,,DC
588,Aquaman: War of the Water Worlds,(1996 Video Game),"Adventure,Family,Fantasy",,K-A,,,Interactive motion comic adaptation of an episode from Aquaman 1968 animated TV series. The show's villains have united and captured all of Aquaman's sea friends. Can he stop their plan to finally take over the oceans and then the land?,7.8,,8,,DC
589,Superman: The Mysterious Mr. Mist,(1996 Video Game),,,K-A,,,a Plot,4.6,,5,,DC
590,Batman: Partners in Peril,(1996 Video Game),,,K-A,,,a Plot,6.6,,9,,DC
591,Batman Returns,(II) (1993 Video Game),,,,,,a Plot,,,,,DC
592,Playstation Underground Volume 4,(1998 Video Game),,,,AlanDrummer,"TimBogenn,MarkCerny,Michael'Jolly'Cole,JohnFeeley",a Plot,,,,,DC
593, Smallville,(2001–2011),"Adventure,Drama,Romance",45 min,TV-PG,"PhilipSgriccia,MichaelW.Watkins","TomWelling,KristinKreuk,MichaelRosenbaum,EricJohnson","Bug-lover Greg has an accident involving meteor rocks and his own insect collection, giving him creepy insect characteristics and powers. Lana is endangered when Greg decides that she is the perfect mate to start a colony.",7.6,,"1,358",,DC
594, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,DanRiba,"WillFriedle,KevinConroy,MelissaDisney,PaulWinfield","Commissioner Barbara Gordon is determined to protect her DA husband from an elite assassin, and definitely does not want Batman, and especially Bruce Wayne's, help.",8.2,,321,,DC
595, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,JamesTucker,"WillFriedle,KevinConroy,BillSmitrovich,JimWise","When Ace spots the man who abused him into becoming a sport fighting dog, he chases him and gets lost from his guardians.",8.3,,235,,DC
596, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,ButchLukic,"WillFriedle,KevinConroy,EdBegleyJr.,JasonNash",Batman must battle a gang of cyborgs made possible by blackmailing a bionics specialist.,8.2,,249,,DC
597, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,KyungWonLim,"WillFriedle,KevinConroy,DorianHarewood,CreeSummer","To support his family, a desperately unemployed advanced weapons engineer must steal vital materials for an illegal arms deal and elude Batman to do it.",7.4,,236,,DC
598, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,YukioSuzuki,"WillFriedle,KevinConroy,ShermanHoward,CaryElwes","As Derek Powers' medical condition as Blight worsens, he calls his estranged son home for help. However, an enemy hidden in plain sight has other plans for him that eventually involve Batman as well.",8.3,,318,,DC
599, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,CurtGeda,"WillFriedle,KevinConroy,ChrisMulkey,CreeSummer","In order to have his revenge, Shriek makes the speech of the population of Gotham City incomprehensible and demands Batman surrendered to him to stop the chaos.",8.1,,257,,DC
600, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,KyungWonLim,"WillFriedle,KevinConroy,ClancyBrown,JonPolito","Escaped from prison, Big Time attempts to recruit Terry as his partner in crime.",7.6,,212,,DC
601, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,JamesTucker,"WillFriedle,KevinConroy,StephenBaldwin,WilliamH.Macy",An old reprobate childhood friend of Terry returns with a half-baked plan to become a big-time criminal.,7.8,,222,,DC
602, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,DanRiba,"WillFriedle,KevinConroy,ShannonKenny,ShermanHoward",A dangerous shapeshifter in the employ of Derek Powers is out to sabotage a competing company and Batman must stand in her way.,7.9,,372,,DC
603, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,DanRiba,"WillFriedle,KevinConroy,CarlLumbly,RyanO'Donohue",Batman finds himself the quarry of an augmented hunter seeking the ultimate challenge.,7.9,,269,,DC
604, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,KyungWonLim,"WillFriedle,KevinConroy,HenryRollins,DiedrichBader","When Zeta and Ro come to Gotham City, the android finds himself separated and manipulated by Mad Stan into one of his terrorist bombing schemes.",7.9,,218,,DC
605, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,DanRiba,"WillFriedle,KevinConroy,Oliviad'Abo,GeorgeLazenby","Terry falls for a new girl, unaware that she is actually the supervillain Ten of the Royal Flush Gang.",7.9,,372,,DC
606, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,CurtGeda,"WillFriedle,KevinConroy,ShannonKenny,WilliamH.Macy",An enamored warder of the imprisoned Inque frees her and helps her in her quests for healing and revenge.,8.0,,326,,DC
607, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,DanRiba,"WillFriedle,KevinConroy,LindsaySloane,DanLauria","Jackie; a friend of Terry is being followed by a monster that seems made of soil and her ""father"" is not really her father.",8.1,,288,,DC
608, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,ButchLukic,"WillFriedle,KevinConroy,StockardChanning,HenryRollins","When Commissioner Barbara Gordon sees Batman committing murder, she initiates an all-out manhunt for him while Bruce Wayne investigates what really happened.",8.3,,259,,DC
609, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,ButchLukic,"WillFriedle,MelissaDisney,CreeSummer,TimCurry",Batman is blackmailed by a bomb threat to protect a member of the Society of Assassins from Curaré.,8.1,,243,,DC
610, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,ButchLukic,"WillFriedle,KevinConroy,ScottMcAfee,SethGreen",A bullied nerd uses his newfound mental control of a giant construction robot to seek revenge.,7.4,,363,,DC
611, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,ButchLukic,"WillFriedle,KevinConroy,RobertDavi,LauraSanGiacomo","A trio of new superheroes make their debut, but they have dark secrets that lead to a disastrous crisis Batman must stop.",7.4,,352,,DC
612, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,CurtGeda,"WillFriedle,CreeSummer,MichaelRosenbaum,OmarGooding",A girl genius finds herself unaccountably harassed by Jokerz at school and she begins to suspect Terry is responsible.,8.0,,273,,DC
613, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,DanRiba,"WillFriedle,KevinConroy,CreeSummer,JonCypher",Batman investigates a ring of troubled kids who are so addicted to powerful virtual reality fantasies that they will do anything to continue them.,8.0,,269,,DC
614, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,ButchLukic,"WillFriedle,ShannonKenny,AzuraSkye,CreeSummer","Seriously wounded in a doublecross, Inque approaches her estranged daughter for help.",8.2,,225,,DC
615, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,ButchLukic,"WillFriedle,KevinConroy,WendieMalick,MarcWorden","When a prototype military vehicle with a disastrous flaw is abandoned and seized by Jokerz, Batman and the vehicle's creator must hunt it down before it explodes.",7.2,,272,,DC
616, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,ButchLukic,"WillFriedle,KevinConroy,GeorgeLazenby,SarahDouglas","Reduced to doing Paxton Power's dirty work, The Royal Flush Gang begins to fall apart while Batman has to clean up the mess.",7.4,,250,,DC
617, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,DanRiba,"WillFriedle,KevinConroy,TristanRogers,ChrisDemetral",Ardent players of an in-depth virtual reality role-playing game are recruited by the supposed creator of the game for his own purposes.,6.5,,235,,DC
618, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,ButchLukic,"WillFriedle,KevinConroy,StacyKeach,RiderStrong","When a digitized consciousness of a deceased computer genius is revived, it starts causing havoc throughout the city before it decides to take over the systems of Terry's batsuit next.",8.0,,279,,DC
619, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,CurtGeda,"WillFriedle,KevinConroy,LindaHamilton,MichaelAnsara","For his own reasons, Derek Powers arranges for Mr. Freeze to have a new organic body, but things don't go according to plan.",8.5,,407,,DC
620, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,ButchLukic,"WillFriedle,KevinConroy,JamesSikking,RebeccaGilchrist",A young girl with telepathic powers calls to Batman for help.,7.6,,259,,DC
621, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,ButchLukic,"WillFriedle,KevinConroy,Oliviad'Abo,LaurenTom",Batman finds Ten determined to rob a rich underground poker game supposedly to save her family and he struggles to decide whether to trust her.,7.5,,287,,DC
622, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,JamesTucker,"WillFriedle,KevinConroy,OliviaHussey,DavidWarner",Talia arrives in Gotham claiming she has mastered the Lazarus Pit and offers to use it to restore Bruce's youth without any side affects. But all is not as it seems.,8.4,,323,,DC
623, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,KyungWonLim,"WillFriedle,KevinConroy,BillFagerbakke,MitchPileggi",Batman investigates a mysterious vigilante who is somehow linked to a teens' counseling center and wants to attack people who torment them.,7.6,,232,,DC
624, Batman Beyond,(1999–2001),"Animation,Action,Adventure",22 min,Not Rated,ButchLukic,"WillFriedle,KevinConroy,CarlLumbly,TownsendColeman",Batman and Stalker must work together to stop the Kobra cult from unleashing a fearsome bioweapon on the populous.,7.8,,231,,DC
