#,Name,Type,Division,SubDivision,Url,NameLong,Displacement Standard (tons),Displacement Full load (tons),Length (m),Beam (m),Draft (m),Speed (knots),Range,Autonomy (days),Propulsion,Armament,Electronics,Complement,Cargo,Passengers,Endurance (days),Special equipment,Capacity (tons),Capacity (c.m.)
962,Shuya,Missile Corvette,41th Missile Boat Brigade,295th Sulinsk Missile Boat Division,https://www.kchf.ru/eng/ship/warfarecorvettes/r71.htm,"Missile 
Corvette R-71 Shuya Project 12417 / Tarantul-IV class",435,495,"56,1","10,2","2,25",42,"1800 nmi (13 knots), 1600 nmi (14 knots), 400 nmi (36 knots)",10,"2x17000 hp M-15 gas turbines (5000 hp M-75 gas turbine, 12000 hp M-70 gas turbine), 2 fixed pitch propellers","2x2 KT-138 launchers (4 P-15M Termit anti-ship missiles) 1 3M87 Kortik module (8x1 9M311 SAM missiles launchers, 2x6 30 mm) - removed in 20051 Pantsir-M module (8 launchers 57E6 missiles (32 missiles), 2x6 30 mm GSh-6-30K/AO-18KD guns) - from January 2021 1x1 76 mm AK-176M (314 rounds) - MR-123 Vympel-A fire control system","34K1 Monolit radar complex (Most, Mayak, Mech, Massiv, MR-144 radars), MR-352 Pozitiv air/surface search radar, Don navigation radar, Vympel-R2 ESW radar system PK-16 decoy RL (2 KL-101 launchers)",41 (5 officers),,,,,,
954,Ivanovets,Missile Corvette,41th Missile Boat Brigade,295th Sulinsk Missile Boat Division,https://www.kchf.ru/eng/ship/warfarecorvettes/ivanovets.htm,"Guided 
Missile Corvette Ivanovets Project 12411 / Tarantul-III class",436,493,"56,1","10,2","2,5",41,"1600 nmi (14 knots), 450 nmi (36 knots)",10,"2x16000 hp DGTA M-15A (4000 hp M-510 diesel, 12000 hp M-70 gas turbine), 2 fixed pitch propellers, 2x200 kW diesel generators, 1x100 kW diesel generator",2x2 KT-152 launchers (4 P-100 Moskit anti-ship missiles (3M80)) 1x4 MTU-4US Strela-3M or 9K310 Igla-1 SAM system launcher (9M313 missiles) - 16 missiles 1x1 76 mm AK-176M (314 rounds) - MR-123-1 Vympel-A fire control system 2x6 30 mm AK-630M CIWS,"34K1 Monolit radar complex (Most, Mayak, Mech, Massiv, MR-144 radars), Don navigation radar, Vympel-R2 ESW radar system PK-16 decoy RL (2 KL-101 launchers)",40 (5 officers),,,,,,
,D-296,High-Speed Landing Craft,388th Marine Reconnaissance point of the 1229th Naval Intelligence Center,,https://www.kchf.ru/eng/ship/amphibious/d296.htm,"High-Speed 
Landing Craft D-296 Project 02510",,"19,5","16,45",4,"0,87",42,400 nmi,1,"2x780 hp diesels, 2 pump-jejt","1x1 12,7 mm or 1x1 40 mm grenade launcher4x1 7,62 mm 6P41 Pecheneg",,2+19,,,,,,
,D-309,High-Speed Landing Craft,388th Marine Reconnaissance point of the 1229th Naval Intelligence Center,,https://www.kchf.ru/eng/ship/amphibious/d309.htm,"High-Speed 
Landing Craft D-309 Project 02510",,"19,5","16,45",4,"0,87",42,400 nmi,1,"2x780 hp diesels, 2 pump-jejt","1x1 12,7 mm or 1x1 40 mm grenade launcher4x1 7,62 mm 6P41 Pecheneg",,2+19,,,,,,
053,Povorino,ASW Corvette,184th Novorossiysk Coastal Defense Brigade,181th Antisubmarine Ship Division,https://www.kchf.ru/eng/ship/aswcorvettes/povorino.htm,"Large 
ASW Corvette Povorino Project 1124M / Grisha V class",910,1055,"71,07","10,15","3,71","31,67","2727 nmi (14,56 knots), 640 nmi (29 knots)",10,"1x18000 hp M-8 gas turbine, 2x10000 hp M-507A-1P diesels or 2x10000 hp M-507A-2 diesels, 3 fixed pitch propellers, 1x500 kW ASDG-500 diesel generator, 1x300 kW diesel generator, 1x200 kW diesel generator","1x2 ZIF-122 4K33 Osa-MA SAM system launcher (20 9M33M missiles) - 4R-33A 1x2 or 1x4 9K34 Strela-3 SAM system launcher (8 9M36 missiles) or 9K38 Igla SAM system (8 9M39 missiles)1x1 76 mm AK-176 (304 rounds), 1x6 30 mm AK-630M (3000 rounds) - MR-123 Vympel-A fire control system2x2 533 mm DTA-53-1124 torpedo tubes (4 torpedoes TEST-71, TEST-71M, SET-65, SET-53, SET-53M, 53-65K) - Drakon fire control system1x12 RBU-6000 Smerch-2 (48 RGB-60) 12 BB-1 or BPS depth charges 18 mines","MR-755 Fregat-MA1 air/surface search radar, Vympel-R2 reconnaissance radar, MR-212 Vaygach navigation radar, Nickel IFF , ARP-50R radio direction finder, Spektr-F laser detection warning system, MGK-335 Platina sonar, MG-339T Shelon sonar, MG-26 Khosta underwater communication system, KMG-12 Kassandra sonar, MGS-407K sonar, MI-110K and MI-110R anti-submarine search station PK-16 decoy RL (2 launchers KL-101) and PK-10 Smely (4 KT-216 launchers)",90 (9 officers),,,,,,
054,Eysk,ASW Corvette,184th Novorossiysk Coastal Defense Brigade,181th Antisubmarine Ship Division,https://www.kchf.ru/eng/ship/aswcorvettes/eysk.htm,"Large 
ASW Corvette Eysk Project 1124M / Grisha V class",910,1055,"71,07","10,15","3,71","31,67","2727 nmi (14,56 knots), 640 nmi (29 knots)",10,"1x18000 hp M-8 gas turbine, 2x10000 hp M-507A-1P diesels or 2x10000 hp M-507A-2 diesels, 3 fixed pitch propellers, 1x500 kW ASDG-500 diesel generator, 1x300 kW diesel generator, 1x200 kW diesel generator","1x2 ZIF-122 4K33 Osa-MA SAM system launcher (20 9M33M missiles) - 4R-33A 1x2 or 1x4 9K34 Strela-3 SAM system launcher (8 9M36 missiles) or 9K38 Igla SAM system (8 9M39 missiles)1x1 76 mm AK-176 (304 rounds), 1x6 30 mm AK-630M (3000 rounds) - MR-123 Vympel-A fire control system2x2 533 mm DTA-53-1124 torpedo tubes (4 torpedoes TEST-71, TEST-71M, SET-65, SET-53, SET-53M, 53-65K) - Drakon fire control system1x12 RBU-6000 Smerch-2 (48 RGB-60) 12 BB-1 or BPS depth charges 18 mines","MR-755 Fregat-MA1 air/surface search radar, Vympel-R2 reconnaissance radar, MR-212 Vaygach navigation radar, Nickel IFF , ARP-50R radio direction finder, Spektr-F laser detection warning system, MGK-335 Platina sonar, MG-339T Shelon sonar, MG-26 Khosta underwater communication system, KMG-12 Kassandra sonar, MGS-407K sonar, MI-110K and MI-110R anti-submarine search station PK-16 decoy RL (2 launchers KL-101) and PK-10 Smely (4 KT-216 launchers)",90 (9 officers),,,,,,
055,Kasimov,ASW Corvette,184th Novorossiysk Coastal Defense Brigade,181th Antisubmarine Ship Division,https://www.kchf.ru/eng/ship/aswcorvettes/kasimov.htm,"Large 
ASW Corvette Kasimov Project 1124M / Grisha V class",910,1055,"71,07","10,15","3,71","31,67","2727 nmi (14,56 knots), 640 nmi (29 knots)",10,"1x18000 hp M-8 gas turbine, 2x10000 hp M-507A-1P diesels or 2x10000 hp M-507A-2 diesels, 3 fixed pitch propellers, 1x500 kW ASDG-500 diesel generator, 1x300 kW diesel generator, 1x200 kW diesel generator","1x2 ZIF-122 4K33 Osa-MA SAM system launcher (20 9M33M missiles) - 4R-33A 1x2 or 1x4 9K34 Strela-3 SAM system launcher (8 9M36 missiles) or 9K38 Igla SAM system (8 9M39 missiles)1x1 76 mm AK-176 (304 rounds), 1x6 30 mm AK-630M (3000 rounds) - MR-123 Vympel-A fire control system2x2 533 mm DTA-53-1124 torpedo tubes (4 torpedoes TEST-71, TEST-71M, SET-65, SET-53, SET-53M, 53-65K) - Drakon fire control system1x12 RBU-6000 Smerch-2 (48 RGB-60) 12 BB-1 or BPS depth charges 18 mines","MR-320 Topaz-2V air/surface search radar, Vympel-R2 reconnaissance radar, MR-212 Vaygach navigation radar, Nickel IFF , ARP-50R radio direction finder, Spektr-F laser detection warning system, MGK-335 Platina sonar, MG-339T Shelon sonar, MG-26 Khosta underwater communication system, KMG-12 Kassandra sonar, MGS-407K sonar, MI-110K and MI-110R anti-submarine search station PK-16 decoy RL (2 launchers KL-101) and PK-10 Smely (4 KT-216 launchers)",90 (9 officers),,,,,,
368,Vasily Bykov,Patrol Ship,184th Novorossiysk Coastal Defense Brigade,Patrol Ship Division,https://www.kchf.ru/eng/ship/patrolships/vasily_bykov.htm,"Patrol 
Ship Vasily Bykov Project 22160",,1965,"91,3","4,5","4,8","22,5",6000 nmi,60,"2x6000 hp 16D49 diesels, 4x300 kW diesel-generators, 1x100 kW diesel-generator, 2 fixed pitch propellers","1 Ka-27PS helicopter1 high-speed assault boat - Project 02800 9K338 Igla-S SAM system (8 9M342 missiles) 1x1 76 mm AK-176MA-01 – MR123-02/3 Bagira fire control system2x1 14,5 mm MTPU-1 Zhalo1x10 55 mm DP-65 grenade launcher (RG-55M, GRS-55 grenades) 2x2 45 mm DP-64 grenade launchers (SG-45, FG-45 grenades)","TK-25E Electronic Counter Measures (ECM) system, Pallada anti-saboteur sonar PK-10 Smely Electronic Counter Measures (ECM) system (KL-121 launcher)",32+8,,,,,,
375,Dmitry Rogachev,Patrol Ship,184th Novorossiysk Coastal Defense Brigade,Patrol Ship Division,https://www.kchf.ru/eng/ship/patrolships/dmitry_rogachev.htm,"Patrol 
Ship Dmitry Rogachev Project 22160",,1965,"91,3","4,5","4,8","22,5",6000 nmi,60,"2x6000 hp 16D49 diesels, 4x300 kW diesel-generators, 1x100 kW diesel-generator, 2 fixed pitch propellers","1 Ka-27PS helicopter1 high-speed assault boat - Project 02800 9K338 Igla-S SAM system (8 9M342 missiles) 1x1 76 mm AK-176MA-01 – MR123-02/3 Bagira fire control system2x1 14,5 mm MTPU-1 Zhalo1x10 55 mm DP-65 grenade launcher (RG-55M, GRS-55 grenades) 2x2 45 mm DP-64 grenade launchers (SG-45, FG-45 grenades)","TK-25E Electronic Counter Measures (ECM) system, Pallada anti-saboteur sonar PK-10 Smely Electronic Counter Measures (ECM) system (KL-121 launcher)",32+8,,,,,,
363,Pavel Derzhavin,Patrol Ship,184th Novorossiysk Coastal Defense Brigade,Patrol Ship Division,https://www.kchf.ru/eng/ship/patrolships/pavel_derzhavin.htm,,,1965,"91,3","4,5","4,8","22,5",6000 nmi,60,"2x6000 hp 16D49 diesels, 4x300 kW diesel-generators, 1x100 kW diesel-generator, 2 fixed pitch propellers","1 Ka-27PS helicopter1 high-speed assault boat - Project 02800 9K338 Igla-S SAM system (8 9M342 missiles) 1x1 76 mm AK-176MA-01 – MR123-02/3 Bagira fire control system2x1 14,5 mm MTPU-1 Zhalo1x10 55 mm DP-65 grenade launcher (RG-55M, GRS-55 grenades) 2x2 45 mm DP-64 grenade launchers (SG-45, FG-45 grenades)","TK-25E Electronic Counter Measures (ECM) system, Pallada anti-saboteur sonar PK-10 Smely Electronic Counter Measures (ECM) system (KL-121 launcher)",32+8,,,,,,
383,Sergey Kotov,Patrol Ship,184th Novorossiysk Coastal Defense Brigade,Patrol Ship Division,https://www.kchf.ru/eng/ship/patrolships/sergey_kotov.htm,"Patrol 
Ship Sergey Kotov Project 22160",,1965,"91,3","4,5","4,8","22,5",6000 nmi,60,"2x6000 hp 16D49 diesels, 4x300 kW diesel-generators, 1x100 kW diesel-generator, 2 fixed pitch propellers","1 Ka-27PS helicopter1 high-speed assault boat - Project 02800 9K338 Igla-S SAM system (8 9M342 missiles) 1x1 76 mm AK-176MA-01 – MR123-02/3 Bagira fire control system2x1 14,5 mm MTPU-1 Zhalo1x10 55 mm DP-65 grenade launcher (RG-55M, GRS-55 grenades) 2x2 45 mm DP-64 grenade launchers (SG-45, FG-45 grenades)","TK-25E Electronic Counter Measures (ECM) system, Pallada anti-saboteur sonar PK-10 Smely Electronic Counter Measures (ECM) system (KL-121 launchers)",32+8,,,,,,
901,Zheleznyakov,Seagoing Minesweeper,184th Novorossiysk Coastal Defense Brigade,170th Minesweeper Division,https://www.kchf.ru/eng/ship/minewarfare/zheleznyakov.htm,"Seagoing 
Minesweeper Zheleznyakov Project 12660 / Gorya Class",1070,1150,"67,8","10,95","3,12","15,7",1500 nmi (12 knots),15,"2x2500 hp M-503B-37 diesels, 2 controllable pitch propellers, 1 bow thruster, 4x200 kW DGR-2A-200/1500 diesel generators","1x1 76 mm AK-176M – MR-123-01 Vympel-A fire control system1x6 30 mm AK-630M 2x4 SAM system 9K34 Strela-3 launchers (9M36 missiles) 16 mines 2x4 Gyurza anti-mine complex launchers Ketmen mine search-and-removal device, Paltus, KTK-1 contact sweep, TEM-3M magnetic sweep, AT-3 acoustic sweep, ShZ-3 detonating cord","2 MR-212/201 Vaygach-U navigation radars, MG-99 Kabarga-A3 mine-search sonar, MG-7 Braslet anti-saboteur sonar, MG-35 Shtil-2 underwater communication system, Buran-6 communication complex PK-16 decoy RL (2 KL-101 launchers)",68 (7 officers),,,,,,
770,Valentin Pikul,Seagoing Minesweeper,184th Novorossiysk Coastal Defense Brigade,170th Minesweeper Division,https://www.kchf.ru/eng/ship/minewarfare/valentin_pikul.htm,"Seagoing 
Minesweeper Valentin Pikul Project 266ME / Natya Class",750,804,61,"10,2","2,3",16,3000 nmi (12 knots),15,"2x2500 hp M-503B-3 diesels, 2 fixed pitch propellers in nozzles, 2x200 kW DGRA-200/1500 diesel generators, 1x100 kW DGRA-100/1500 diesel generator","20x1 9K310 Igla-1 SAM system launchers (9M313 missiles) 2x6 30 mm AK-306 - 498 rounds - Kolonka fire control system 2x5 RBU-1200M Uragan (68 RGB-12) 8 UDE mines GKT contact sweep, TEM-3 magnetic sweep, AT-2 acoustic sweep","MR-212 Vaygach radar, Rumb radio direction finder, MG-69 Lan mine search sonar, MG-79 Mezen mine search sonar, MG-35E Shtil-2 underwater communication system",69 (5 officers,,,,,,
908,Vice-admiral Zakharyin,Seagoing Minesweeper,184th Novorossiysk Coastal Defense Brigade,170th Minesweeper Division,https://www.kchf.ru/eng/ship/minewarfare/zakharyin.htm,"Seagoing 
Minesweeper Vice-Admiral Zakharyin Project 02668 / Natya Mod Class",791,852,61,"10,2","2,97",17,3000 nmi (12 knots),15,"2x2500 hp M-503B-3 diesels, 2 controllable pitch propellers, 2 bow thrusters, 2x200 kW DGRA-200/1500 diesel generators, 1x200 kW DGRA-200/1500","1x6 AK-306 2x1 14,5 mm MTPU-1 Zhalo 32 BB-1 or 7 KMD-1000 mines KIU-1 sweep, BKT contact sweep, TEM-4 magnetic sweep, AT-3 acoustic swwp, ShZ-1 or ShZ-2 detonating cord, Livadiya sweep","MR-302 Rubka air/surface search radar, 2 Don-D navigation radars, Nikhrom-R IFF, Livadiya mine search sonar, MG-69 Lan mine search sonar, MG-79 Mezen mine search sonar, MG-26 Khosta underwater communication system, Anapa-P anti-saboteur sonar",60,,,,,,
665,D-144,Landing Craft,184th Novorossiysk Coastal Defense Brigade,170th Minesweeper Division,https://www.kchf.ru/eng/ship/amphibious/d144.htm,"Air-cavity 
Fast Landing Craft D-144 Project 11770 / Serna Class",61,"99,7","25,65","5,66","1,52",30,"600 nmi (12 knots), 100 nmi (30 knots)",1,"2x2000 hp MTU16V2000M90 diesels, 2x16 kW DG-16/1500 diesel generators",,"Pal-N-3 navigation radar, MR-231-2 navigation radar (D-1441)",5 (2 warrant officers),1 main battle tank or 2 BTR or 92 troops or 50 tons of cargo,,,,,
659,D-199,Landing Craft,184th Novorossiysk Coastal Defense Brigade,170th Minesweeper Division,https://www.kchf.ru/eng/ship/amphibious/d199.htm,"Air-cavity 
Fast Landing Craft D-199 Project 11770 / Serna Class",61,"99,7","25,65","5,66","1,52",30,"600 nmi (12 knots), 100 nmi (30 knots)",1,"2x2000 hp MTU16V2000M90 diesels, 2x16 kW DG-16/1500 diesel generators",,"Pal-N-3 navigation radar, MR-231-2 navigation radar (D-1441)",5 (2 warrant officers),1 main battle tank or 2 BTR or 92 troops or 50 tons of cargo,,,,,
653,D-106,Landing Craft,184th Novorossiysk Coastal Defense Brigade,170th Minesweeper Division,https://www.kchf.ru/eng/ship/amphibious/d106.htm,"Landing 
Craft D-106 Project 1176 / Ondatra Class","60,3","118,7",24,"5,2","1,55",11,500 nmi (5 knots),3,"2x300 hp 3D12 diesels, 1x16 kW DGR1A-16/1500-0M4 diesel-generator",,Don navigation radar,4,1 T-72 main battle tank or 2 GAZ-66 trucks or 20 troops or 50 tons of cargo,,,,,
840,P-191 Kadet,Anti-saboteur Boat,184th Novorossiysk Coastal Defense Brigade,136th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p191.htm,"Anti-Saboteur 
Boat P-191 Project 21980 / Grachonok Class","138,69",,"31,04","7,4","1,86",23,,5,"2x1822 hp MTU 12V2000M93 diesels, 2 fixed pitch propellers, 2x100 kW DGA-100-V-A1-MPS diesel-generators","4x1 SAM system 9K38 Igla launchers (9M39 missiles) 1x1 14,5 mm MTPU-1 Zhalo1x10 55 mm DP-65A grenade launcher (RG-55M, GRS-55 grenades)1x2 45 mm DP-64 grenade launcher (FG-45, SG-45 grenades) 1 diving complex (1 diving chamber), Falcon Underwater Remotely Operated Vehicle","MR-231 navigation radar, MTK-201M3 electronic-optical television system, Filin (P-104) optical system, Kalmar sonar complex, MG-757 Anapa-M anti-saboteur sonar",8,,,,,,
841,P-349 Suvorovets,Anti-saboteur Boat,184th Novorossiysk Coastal Defense Brigade,136th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p349.htm,"Anti-Saboteur 
Boat P-349 Project 21980 / Grachonok Class","138,69",,"31,04","7,4","1,86",23,,5,"2x1822 hp MTU 12V2000M93 diesels, 2 fixed pitch propellers, 2x100 kW DGA-100-V-A1-MPS diesel-generators","4x1 SAM system 9K38 Igla launchers (9M39 missiles) 1x1 14,5 mm MTPU-1 Zhalo1x10 55 mm DP-65A grenade launcher (RG-55M, GRS-55 grenades)1x2 45 mm DP-64 grenade launcher (FG-45, SG-45 grenades) 1 diving complex (1 diving chamber), Falcon Underwater Remotely Operated Vehicle","MR-231 navigation radar, MTK-201M3 electronic-optical television system, Filin (P-104) optical system, Kalmar sonar complex, MG-757 Anapa-M anti-saboteur sonar",8,,,,,,
842,P-350 Kursant Kirovets,Anti-saboteur Boat,184th Novorossiysk Coastal Defense Brigade,136th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p350.htm,"Anti-Saboteur 
Boat P-350 Project 21980 / Grachonok Class","138,69",,"31,04","7,4","1,86",23,,5,"2x1822 hp MTU 12V2000M93 diesels, 2 fixed pitch propellers, 2x100 kW DGA-100-V-A1-MPS diesel-generators","4x1 SAM system 9K38 Igla launchers (9M39 missiles) 1x1 14,5 mm MTPU-1 Zhalo1x10 55 mm DP-65A grenade launcher (RG-55M, GRS-55 grenades)1x2 45 mm DP-64 grenade launcher (FG-45, SG-45 grenades) 1 diving complex (1 diving chamber), Falcon Underwater Remotely Operated Vehicle","MR-231 navigation radar, MTK-201M3 electronic-optical television system, Filin (P-104) optical system, Kalmar sonar complex, MG-757 Anapa-M anti-saboteur sonar",8,,,,,,
,P-274,Anti-saboteur Boat,184th Novorossiysk Coastal Defense Brigade,136th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p274.htm,"Anti-Saboteur 
Boat P-274 Project 03160 / Raptor Class",,23,"16,9","4,1","0,85",48,300 mni,1,"2x1150 hp Caterpillar C18 diesels, 2 pump-jets","1x1 14,5 mm 2x1 7,62 mm 6P41 Pecheneg",Nautilus navigation radar,3+20,,,,,,
,P-275,Anti-saboteur Boat,184th Novorossiysk Coastal Defense Brigade,136th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p275.htm,"Anti-Saboteur 
Boat P-275 Project 03160 / Raptor Class",,23,"16,9","4,1","0,85",48,300 mni,1,"2x1150 hp Caterpillar C18 diesels, 2 pump-jets","1x1 14,5 mm 2x1 7,62 mm 6P41 Pecheneg",Nautilus navigation radar,3+20,,,,,,
,P-276,Anti-saboteur Boat,184th Novorossiysk Coastal Defense Brigade,136th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/p276.htm,"Anti-Saboteur 
Boat P-276 Project 03160 / Raptor Class",,23,"16,9","4,1","0,85",48,300 mni,1,"2x1150 hp Caterpillar C18 diesels, 2 pump-jets","1x1 14,5 mm 2x1 7,62 mm 6P41 Pecheneg",Nautilus navigation radar,3+20,,,,,,
,Alexander Ilyin,Anti-saboteur Boat,184th Novorossiysk Coastal Defense Brigade,136th Anti-Saboteur Squad,https://www.kchf.ru/eng/ship/boats/alexander_ilyin.htm,"Anti-Saboteur 
Boat Alexander Ilyin Project 12150 / Mangust Class","23,6","27,2","19,45","4,4","1,16",52,"430 nmi (35 knots), 410 nmi (36 knots), 350 nmi (40 knots)",2,"2x1523 hp MTU 10V2000M93 diesels, 1x16 kW diesel-generator, 2 Arneson drives",,Furuno marine radar,6,,,,,,
,Ivan Khurs,Intelligence Ship,519th Independent Intelligence Ship Division,,https://www.kchf.ru/eng/ship/intelligence/ivan_khurs.htm,"Intelligence 
Ship Ivan Khurs Project 18280 / Yuriy Ivanov class",2500,4000,96,16,4,20,8000 nmi (16 knots),,"2x2720 hp 5DRA diesels, 2 fixed pitch propellers, ADG-630 x630 kW diesel-generators","6 9K38 Igla SAM system launchers (32 9M39 missiles) 4x1 14,5 mm MTPU-1 Zhalo",MR-231-3 navigation radar,131,,,,,,
,Priazovye,Intelligence Ship,519th Independent Intelligence Ship Division,,https://www.kchf.ru/eng/ship/intelligence/priazovye.htm,"Intelligence 
Ship Priazovye Project 864 / Vishnya class",2500,3800,"91,5","14,5","5,6","16,5",7000 nmi (16 knots),45,"2x2200 hp Sulzer 12AV25/30 diesels, 2x150 hp electric motors, 2 fixed pitch propellers, 4x500 kW diesel generators",2x4 9K38 Igla SAM system launchers (16 9M39 missiles) 2x6 30 mm AK-306,"MR-212/201 Vaygach-U navigation radar, MG-349 Ros-K sonar, MGP-303 sonar, special electronic intelligence equipment",220,,,,,,
,Ekwator,Intelligence Ship,519th Independent Intelligence Ship Division,,https://www.kchf.ru/eng/ship/intelligence/ekwator.htm,"Intelligence 
Ship Ekwator Project 861M / Moma Class",1080,1560,"73,32","10,8","3,9","17,3",9700 nmi (11 knots),35,"2x1800 hp Zgoda-Sulzer 6ТD-48 diesels, 2 controllable pitch propellers, 3x259 kW 5BAH22 diesel-generators, 1x52 kW S324M diesel-generator",SAM system Strela (16 missiles),"Bizan ESM radar system, 2 Don navigation radars, sonar MG-329 Sheksna, underwater communication system MG-13, underwater communication system MG-26 Khosta, station MI-110K, special electronics",73 (11 officers),,,,,,
,Kildin,Intelligence Ship,519th Independent Intelligence Ship Division,,https://www.kchf.ru/eng/ship/intelligence/kildin.htm,"Intelligence 
Ship Kildin Project 861M / Moma Class",1080,1560,"73,32","10,8","3,9","17,3",9700 nmi (11 knots),35,"2x1800 hp Zgoda-Sulzer 6ТD-48 diesels, 2 controllable pitch propellers, 3x259 kW 5BAH22 diesel-generators, 1x52 kW S324M diesel-generator",SAM system Strela (16 missiles),"Bizan ESM radar system, 2 Don navigation radars, sonar MG-329 Sheksna, underwater communication system MG-13, underwater communication system MG-26 Khosta, station MI-110K, special electronics",73 (11 officers),,,,,,
,RK-25,Harbor Boat,519th Independent Intelligence Ship Division,,https://www.kchf.ru/eng/ship/boats/tl25.htm,"Torpedo 
Retriever TL-25 (Boat RK-25) Project 376 / PO-2 Class","84,7","91,4","29,6","5,99","1,5",22,550 nmi,5,"2x1200 hp M-50F-4 diesels, 2 fixed pitch propellers",,Donets-2 navigation radar,15,,,,,,
,Enisey,Hospital Ship,205th Auxiliary Ship Squad,1th Group,https://www.kchf.ru/eng/ship/auxiliary/yenisey.htm,"Hospital 
Ship Yenisey Project 320 / Ob Class",9430,11623,"152,6","19,4","6,39",19,"10000 nmi (16 knots), 8000 nmi (19 knots)",40,"2x7800 hp, diesels Zgoda-Sulzer 12ZV40/48, 2 variable pitch propellers, 4 diesel-generators x1000 kW",1 search and rescue helicopter Ka-25PS or Ka-27PS,"MR-212/201 Vaygach-U navigation radar, Rumb radio direction finder",124+83,,,,,,
,PM-56,Floating Workshop,205th Auxiliary Ship Squad,1th Group,https://www.kchf.ru/eng/ship/auxiliary/pm56.htm,"Floating 
Workshop PM-56 Project 304 / Amur Class","4690,81","5535,69","121,7",17,"4,62","14,3","13000 nmi (8 knots), 6970 nmi (10,35 knots)",40,"1x3000 hp Zgoda-Sulzer 8TAD-48 diesel, 1 fixed pitch propeller, 4x400 kW 8VAN22 diesel-generators, 1x300 kW diesel-generator 5VAN22",,"Don navigation radar, Rumb radio direction finder",193,,,,,,
,PM-138,Floating Workshop,205th Auxiliary Ship Squad,1th Group,https://www.kchf.ru/eng/ship/auxiliary/pm138.htm,"Floating 
Workshop PM-138 Project 304 / Amur Class","4690,81","5535,69","121,7",17,"4,62","14,3","13000 nmi (8 knots), 6970 nmi (10,35 knots)",40,"1x3000 hp Zgoda-Sulzer 8TAD-48 diesel, 1 fixed pitch propeller, 4x400 kW 8VAN22 diesel-generators, 1x300 kW diesel-generator 5VAN22",,"Don navigation radar, Rumb radio direction finder",193,,,,,,
,RB-136,Harbor Tug,205th Auxiliary Ship Squad,1th Group,https://www.kchf.ru/eng/ship/auxiliary/rb136.htm,"Harbor 
Tug RB-136 Project 192",451,575,"36,3","9,95","3,57",13,,10,"2x1260 hp 6ASL25D diesels, 1 bow thruster, 2x100 kW diesel generators, 1x36 kW diesel generator, 1 variable pitch propeller",,,,,,,3 fire monitors,,
,RB-244,Harbor Tug,205th Auxiliary Ship Squad,1th Group,https://www.kchf.ru/eng/ship/auxiliary/rb244.htm,"Harbor 
Tug RB-244 Project 737K",168,192,"24,4","7,22","2,1",9,,,"2x300 hp diesels, 2 cycloidal propulsion units",,,4,,,,,,
,RB-247,Harbor Tug,205th Auxiliary Ship Squad,1th Group,https://www.kchf.ru/eng/ship/auxiliary/rb247.htm,"Harbor 
Tug RB-247 Project 737K",168,192,"24,4","7,22","2,1",9,,,"2x300 hp diesels, 2 cycloidal propulsion units",,,4,,,,,,
,RB-296,Harbor Tug,205th Auxiliary Ship Squad,1th Group,https://www.kchf.ru/eng/ship/auxiliary/rb296.htm,"Harbor 
Tug RB-296 Project 737M",182,206,"24,17","7,22","2,24","9,8","1000 nmi (9,8 knots)",6,"2x450 hp 6ChN-25/30 diesels, 2 cycloidal propulsion units",,,4,,,,,,
,RB-365,Harbor Tug,205th Auxiliary Ship Squad,1th Group,https://www.kchf.ru/eng/ship/auxiliary/rb365.htm,"Tug 
RB-365 Project 90600",303,417,"25,4","9,3","3,6",12,,,"2x1015 hp KTA 38 M1 diesels, 2x84 kW diesel generators, 2 rudder propellers",,,8,,,,2x300 m3/h fire monitors,,
,RB-389,Harbor Tug,205th Auxiliary Ship Squad,1th Group,https://www.kchf.ru/eng/ship/auxiliary/rb389.htm,"Tug 
RB-389 Project 90600",303,417,"25,4","9,3","3,6",12,,,"2x1015 hp KTA 38 M1 diesels, 2x84 kW diesel generators, 2 rudder propellers",,,8,,,,2x300 m3/h fire monitors,,
,RB-412,Harbor Tug,205th Auxiliary Ship Squad,1th Group,https://www.kchf.ru/eng/ship/auxiliary/rb412.htm,"Tug 
RB-412 Project 90600",303,417,"25,4","9,3","3,6",12,,,"2x1015 hp KTA 38 M1 diesels, 2x84 kW diesel generators, 2 rudder propellers",,,8,,,,2x300 m3/h fire monitors,,
,Sergey Balk,Seagoing Tug,205th Auxiliary Ship Squad,1th Group,https://www.kchf.ru/eng/ship/auxiliary/sergey_balk.htm,"Seagoing 
Tug Sergey Balk Project 23470",,3200,"69,75",15,"5,2",14,3000 nmi,30,"2 azipods, 2 bow thrusters, 3x2850 kW diesel-generators",,,,,,,1 helipad,300,
