"Adjusted Grade","New?","Other Location Code in LCGMS","School Name","SED Code","Location Code","District","Latitude","Longitude","Address (Full)","City","Zip","Grades","Grade Low","Grade High","Community School?","Economic Need Index","School Income Estimate","Percent ELL","Percent Asian","Percent Black","Percent Hispanic","Percent Black / Hispanic","Percent White","Student Attendance Rate","Percent of Students Chronically Absent","Rigorous Instruction %","Rigorous Instruction Rating","Collaborative Teachers %","Collaborative Teachers Rating","Supportive Environment %","Supportive Environment Rating","Effective School Leadership %","Effective School Leadership Rating","Strong Family-Community Ties %","Strong Family-Community Ties Rating","Trust %","Trust Rating","Student Achievement Rating","Average ELA Proficiency","Average Math Proficiency","Grade 3 ELA - All Students Tested","Grade 3 ELA 4s - All Students","Grade 3 ELA 4s - American Indian or Alaska Native","Grade 3 ELA 4s - Black or African American","Grade 3 ELA 4s - Hispanic or Latino","Grade 3 ELA 4s - Asian or Pacific Islander","Grade 3 ELA 4s - White","Grade 3 ELA 4s - Multiracial","Grade 3 ELA 4s - Limited English Proficient","Grade 3 ELA 4s - Economically Disadvantaged","Grade 3 Math - All Students tested","Grade 3 Math 4s - All Students","Grade 3 Math 4s - American Indian or Alaska Native","Grade 3 Math 4s - Black or African American","Grade 3 Math 4s - Hispanic or Latino","Grade 3 Math 4s - Asian or Pacific Islander","Grade 3 Math 4s - White","Grade 3 Math 4s - Multiracial","Grade 3 Math 4s - Limited English Proficient","Grade 3 Math 4s - Economically Disadvantaged","Grade 4 ELA - All Students Tested","Grade 4 ELA 4s - All Students","Grade 4 ELA 4s - American Indian or Alaska Native","Grade 4 ELA 4s - Black or African American","Grade 4 ELA 4s - Hispanic or Latino","Grade 4 ELA 4s - Asian or Pacific Islander","Grade 4 ELA 4s - White","Grade 4 ELA 4s - Multiracial","Grade 4 ELA 4s - Limited English Proficient","Grade 4 ELA 4s - Economically Disadvantaged","Grade 4 Math - All Students Tested","Grade 4 Math 4s - All Students","Grade 4 Math 4s - American Indian or Alaska Native","Grade 4 Math 4s - Black or African American","Grade 4 Math 4s - Hispanic or Latino","Grade 4 Math 4s - Asian or Pacific Islander","Grade 4 Math 4s - White","Grade 4 Math 4s - Multiracial","Grade 4 Math 4s - Limited English Proficient","Grade 4 Math 4s - Economically Disadvantaged","Grade 5 ELA - All Students Tested","Grade 5 ELA 4s - All Students","Grade 5 ELA 4s - American Indian or Alaska Native","Grade 5 ELA 4s - Black or African American","Grade 5 ELA 4s - Hispanic or Latino","Grade 5 ELA 4s - Asian or Pacific Islander","Grade 5 ELA 4s - White","Grade 5 ELA 4s - Multiracial","Grade 5 ELA 4s - Limited English Proficient","Grade 5 ELA 4s - Economically Disadvantaged","Grade 5 Math - All Students Tested","Grade 5 Math 4s - All Students","Grade 5 Math 4s - American Indian or Alaska Native","Grade 5 Math 4s - Black or African American","Grade 5 Math 4s - Hispanic or Latino","Grade 5 Math 4s - Asian or Pacific Islander","Grade 5 Math 4s - White","Grade 5 Math 4s - Multiracial","Grade 5 Math 4s - Limited English Proficient","Grade 5 Math 4s - Economically Disadvantaged","Grade 6 ELA - All Students Tested","Grade 6 ELA 4s - All Students","Grade 6 ELA 4s - American Indian or Alaska Native","Grade 6 ELA 4s - Black or African American","Grade 6 ELA 4s - Hispanic or Latino","Grade 6 ELA 4s - Asian or Pacific Islander","Grade 6 ELA 4s - White","Grade 6 ELA 4s - Multiracial","Grade 6 ELA 4s - Limited English Proficient","Grade 6 ELA 4s - Economically Disadvantaged","Grade 6 Math - All Students Tested","Grade 6 Math 4s - All Students","Grade 6 Math 4s - American Indian or Alaska Native","Grade 6 Math 4s - Black or African American","Grade 6 Math 4s - Hispanic or Latino","Grade 6 Math 4s - Asian or Pacific Islander","Grade 6 Math 4s - White","Grade 6 Math 4s - Multiracial","Grade 6 Math 4s - Limited English Proficient","Grade 6 Math 4s - Economically Disadvantaged","Grade 7 ELA - All Students Tested","Grade 7 ELA 4s - All Students","Grade 7 ELA 4s - American Indian or Alaska Native","Grade 7 ELA 4s - Black or African American","Grade 7 ELA 4s - Hispanic or Latino","Grade 7 ELA 4s - Asian or Pacific Islander","Grade 7 ELA 4s - White","Grade 7 ELA 4s - Multiracial","Grade 7 ELA 4s - Limited English Proficient","Grade 7 ELA 4s - Economically Disadvantaged","Grade 7 Math - All Students Tested","Grade 7 Math 4s - All Students","Grade 7 Math 4s - American Indian or Alaska Native","Grade 7 Math 4s - Black or African American","Grade 7 Math 4s - Hispanic or Latino","Grade 7 Math 4s - Asian or Pacific Islander","Grade 7 Math 4s - White","Grade 7 Math 4s - Multiracial","Grade 7 Math 4s - Limited English Proficient","Grade 7 Math 4s - Economically Disadvantaged","Grade 8 ELA - All Students Tested","Grade 8 ELA 4s - All Students","Grade 8 ELA 4s - American Indian or Alaska Native","Grade 8 ELA 4s - Black or African American","Grade 8 ELA 4s - Hispanic or Latino","Grade 8 ELA 4s - Asian or Pacific Islander","Grade 8 ELA 4s - White","Grade 8 ELA 4s - Multiracial","Grade 8 ELA 4s - Limited English Proficient","Grade 8 ELA 4s - Economically Disadvantaged","Grade 8 Math - All Students Tested","Grade 8 Math 4s - All Students","Grade 8 Math 4s - American Indian or Alaska Native","Grade 8 Math 4s - Black or African American","Grade 8 Math 4s - Hispanic or Latino","Grade 8 Math 4s - Asian or Pacific Islander","Grade 8 Math 4s - White","Grade 8 Math 4s - Multiracial","Grade 8 Math 4s - Limited English Proficient","Grade 8 Math 4s - Economically Disadvantaged"
,,,"YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX","320900010568","09X568",9,40.848521,-73.908447,"1865 MORRIS AVE BRONX, NY 10453","BRONX","10453","06,07,08,09,10,11,12","06","12","No",0.816,"N/A",5%,2%,39%,58%,97%,1%,94%,17%,94%,"Exceeding Target",98%,"Exceeding Target",86%,"Meeting Target",98%,"Exceeding Target",84%,"Meeting Target",94%,"Exceeding Target","Exceeding Target",2.68,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,10,0,0,2,0,0,0,0,9,76,12,0,0,3,0,0,0,0,11,66,7,0,0,5,0,0,0,0,5,66,3,0,0,2,0,0,0,0,3,74,5,0,0,2,0,0,0,0,5,74,12,0,0,5,0,0,0,0,11
,,,"P.S. 3 RAUL JULIA MICRO SOCIETY","321000010003","10X003",10,40.850163,-73.891656,"2100 LAFONTAINE AVE BRONX, NY 10457","BRONX","10457","PK,0K,01,02,03,04,05,06,07,08","PK","08","No",0.864,"$25,544.48 ",10%,2%,29%,68%,97%,0%,91%,37%,97%,"Meeting Target",90%,"Meeting Target",87%,"Meeting Target",83%,"Meeting Target",83%,"Meeting Target",91%,"Meeting Target","Meeting Target",2.35,2.54,30,1,0,0,0,0,0,0,0,0,30,4,0,0,2,0,0,0,0,0,25,1,0,0,1,0,0,0,0,0,25,4,0,2,2,0,0,0,0,0,20,2,0,1,1,0,0,0,0,2,20,1,0,1,0,0,0,0,0,1,36,3,0,0,0,0,0,0,0,0,36,3,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,1,0,0,1,0,0,0,0,0,40,3,0,0,2,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0
,,,"MILTON FEIN SCHOOL","321000010007","10X007",10,40.881668,-73.905862,"3201 KINGSBRIDGE AVE BRONX, NY 10463","BRONX","10463","0K,01,02,03,04,05","0K","05","No",0.746,"$41,223.11 ",20%,5%,6%,79%,85%,9%,96%,5%,97%,"Exceeding Target",97%,"Exceeding Target",98%,"Exceeding Target",92%,"Exceeding Target",88%,"Meeting Target",99%,"Exceeding Target","Meeting Target",2.63,2.97,160,24,0,3,14,0,3,0,0,16,162,51,0,6,35,0,5,0,1,38,153,49,0,8,25,0,7,0,0,37,158,57,0,9,32,0,8,0,1,43,150,27,0,7,13,0,3,0,0,21,156,33,0,6,13,0,6,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 008 ISAAC VARIAN","321000010008","10X008",10,40.872553,-73.883365,"3010 BRIGGS AVE BRONX, NY 10458","BRONX","10458","0K,01,02,03,04,05","0K","05","No",0.8,"$33,601.34 ",25%,5%,11%,77%,88%,7%,93%,29%,89%,"Meeting Target",90%,"Exceeding Target",93%,"Meeting Target",80%,"Meeting Target",79%,"Approaching Target",92%,"Meeting Target","Exceeding Target",2.43,2.64,173,4,0,1,2,0,0,0,0,3,177,20,0,1,15,0,2,0,1,18,195,13,0,0,10,0,1,0,0,12,196,23,0,2,13,4,0,0,2,23,132,7,0,0,4,2,1,0,0,7,134,12,0,1,6,2,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 9 RYER AVENUE ELEMENTARY SCHOOL","321000010009","10X009",10,40.856803,-73.898907,"230 E 183RD ST BRONX, NY 10458","BRONX","10458","PK,0K,01,02,03,04,05","PK","05","No",0.923,"$26,516.80 ",27%,1%,16%,80%,96%,1%,90%,40%,91%,"Meeting Target",87%,"Meeting Target",88%,"Approaching Target",71%,"Approaching Target",83%,"Approaching Target",88%,"Meeting Target","Meeting Target",2.16,2.39,133,5,0,3,2,0,0,0,0,4,132,13,0,3,9,0,0,0,0,11,134,8,0,0,7,0,0,0,0,7,136,11,0,0,7,0,0,0,0,10,118,3,0,0,3,0,0,0,0,3,120,4,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING","321000010015","10X015",10,40.859165,-73.909733,"2195 ANDREWS AVE BRONX, NY 10453","BRONX","10453","0K,01,02,03,04,05,06,07,08","0K","08","No",0.852,"$28,779.66 ",7%,1%,13%,85%,98%,0%,95%,16%,86%,"Approaching Target",86%,"Meeting Target",85%,"Meeting Target",79%,"Meeting Target",84%,"Meeting Target",91%,"Meeting Target","Exceeding Target",2.57,2.84,54,1,0,0,1,0,0,0,0,1,54,7,0,0,6,0,0,0,0,5,53,7,0,0,7,0,0,0,0,3,53,11,0,2,9,0,0,0,0,5,48,5,0,1,4,0,0,0,0,4,48,12,0,1,11,0,0,0,0,6,62,5,0,0,4,0,0,0,0,2,62,12,0,0,10,0,0,0,0,6,62,9,0,0,9,0,0,0,0,5,62,5,0,0,5,0,0,0,0,2,52,8,0,1,7,0,0,0,0,5,52,15,0,2,13,0,0,0,0,10
,,,"P.S./M.S. 20 P.O.GEORGE J. WERDANN, III","321000010020","10X020",10,40.869618,-73.879012,"3050 WEBSTER AVE BRONX, NY 10458","BRONX","10458","PK,0K,01,02,03,04,05,06,07,08","PK","08","No",0.806,"$34,155.60 ",19%,9%,8%,73%,82%,8%,92%,29%,88%,"Approaching Target",82%,"Meeting Target",84%,"Meeting Target",69%,"Approaching Target",75%,"Not Meeting Target",85%,"Approaching Target","Meeting Target",2.32,2.34,128,0,0,0,0,0,0,0,0,0,129,6,2,0,2,2,0,0,0,6,121,4,0,0,3,1,0,0,0,0,127,1,0,0,1,0,0,0,0,0,137,11,0,0,8,1,1,0,0,9,142,1,0,0,0,1,0,0,0,1,120,7,0,0,4,3,0,0,0,6,122,6,0,0,2,3,0,0,0,6,80,5,0,0,1,0,1,0,0,0,79,2,0,0,0,0,2,0,0,0,87,4,0,0,3,0,1,0,0,0,85,5,0,0,2,0,0,0,0,0
,,,"P.S. 023 THE NEW CHILDREN'S SCHOOL","321000010023","10X023",10,40.85336,-73.894798,"2151 WASHINGTON AVE BRONX, NY 10457","BRONX","10457","PK,0K,01,02","PK","02","No",0.905,"$24,966.63 ",13%,0%,37%,62%,99%,1%,91%,34%,79%,"Approaching Target",89%,"Meeting Target",82%,"Approaching Target",78%,"Meeting Target",81%,"Approaching Target",91%,"Meeting Target","Meeting Target",2.13,2.14,83,1,0,1,0,0,0,0,0,1,85,7,0,2,5,0,0,0,0,7,71,1,0,0,1,0,0,0,0,1,73,4,0,2,2,0,0,0,0,4,87,2,0,0,0,0,0,0,0,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 024 SPUYTEN DUYVIL","321000010024","10X024",10,40.887662,-73.91357,"660 W 236TH ST BRONX, NY 10463","BRONX","10463","0K,01,02,03,04,05","0K","05","No",0.227,"$81,320.51 ",3%,9%,6%,42%,48%,39%,94%,13%,82%,"Approaching Target",71%,"Approaching Target",86%,"Approaching Target",57%,"Not Meeting Target",85%,"Approaching Target",77%,"Not Meeting Target","Meeting Target",2.87,3.09,156,30,0,0,7,7,15,1,0,2,156,55,0,0,16,9,28,2,0,7,157,36,0,0,11,3,18,0,0,6,155,47,0,0,13,5,23,0,0,4,122,29,0,0,3,5,18,0,0,6,122,39,0,0,7,10,20,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 032 BELMONT","321000010032","10X032",10,40.852095,-73.885739,"690 E 183RD ST BRONX, NY 10458","BRONX","10458","0K,01,02,03,04,05","0K","05","No",0.925,"$22,737.12 ",13%,1%,25%,71%,96%,3%,93%,28%,97%,"Exceeding Target",96%,"Exceeding Target",96%,"Exceeding Target",89%,"Exceeding Target",84%,"Meeting Target",97%,"Exceeding Target","Meeting Target",2.31,2.42,135,6,0,0,4,0,0,0,0,0,137,9,0,2,6,0,0,0,1,0,124,10,0,0,9,0,0,0,2,10,127,10,0,0,7,0,0,0,1,10,126,3,0,1,2,0,0,0,0,0,129,5,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 033 TIMOTHY DWIGHT","321000010033","10X033",10,40.861675,-73.901633,"2424 JEROME AVE BRONX, NY 10468","BRONX","10468","PK,0K,01,02,03,04,05","PK","05","No",0.91,"$27,633.11 ",26%,2%,10%,84%,94%,2%,92%,31%,88%,"Meeting Target",89%,"Meeting Target",91%,"Meeting Target",78%,"Meeting Target",91%,"Exceeding Target",92%,"Meeting Target","Meeting Target",2.15,2.33,156,4,0,0,3,0,0,0,0,3,163,23,0,0,21,0,0,0,1,19,125,4,0,2,1,0,0,0,0,3,136,4,0,1,3,0,0,0,0,3,164,0,0,0,0,0,0,0,0,0,165,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL","321000010037","10X037",10,40.87984,-73.910788,"360 W 230TH ST BRONX, NY 10463","BRONX","10463","0K,01,02,03,04,05,06,07,08","0K","08","No",0.752,"$69,064.16 ",15%,2%,23%,72%,95%,2%,92%,33%,93%,"Meeting Target",92%,"Meeting Target",85%,"Approaching Target",86%,"Meeting Target",88%,"Meeting Target",92%,"Meeting Target","Meeting Target",2.37,2.55,89,2,0,0,2,0,0,0,0,0,91,10,0,0,10,0,0,0,1,6,72,4,0,0,2,0,0,0,0,2,74,7,0,0,4,0,0,0,0,4,74,7,0,0,6,0,0,0,0,6,74,7,0,0,6,0,0,0,0,6,55,6,0,0,5,0,0,0,0,4,54,24,0,0,18,0,0,0,5,17,64,4,0,0,4,0,0,0,0,2,63,2,0,0,2,0,0,0,0,1,58,1,0,0,1,0,0,0,0,1,59,3,0,0,3,0,0,0,0,2
,,,"THOMAS C. GIORDANO MIDDLE SCHOOL 45","321000010045","10X045",10,40.858431,-73.887039,"2502 LORILLARD PL BRONX, NY 10458","BRONX","10458","06,07,08","06","08","No",0.886,"N/A",17%,1%,16%,78%,94%,4%,91%,32%,87%,"Meeting Target",86%,"Approaching Target",82%,"Approaching Target",75%,"Approaching Target",73%,"Approaching Target",88%,"Meeting Target","Approaching Target",2.27,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,4,0,0,3,0,0,0,0,3,246,3,0,0,1,0,0,0,0,2,211,5,0,1,4,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,238,7,0,1,6,0,0,0,0,6,186,0,0,0,0,0,0,0,0,0
,,,"P.S. 046 EDGAR ALLAN POE","321000010046","10X046",10,40.858431,-73.887039,"2502 LORILLARD PL BRONX, NY 10458","BRONX","10458","0K,01,02,03,04,05","0K","05","No",0.906,"$26,555.51 ",40%,3%,15%,80%,95%,2%,92%,29%,90%,"Meeting Target",87%,"Meeting Target",89%,"Meeting Target",76%,"Approaching Target",81%,"Approaching Target",92%,"Meeting Target","Meeting Target",2.08,2.24,186,6,0,2,3,0,0,0,0,4,197,16,0,4,10,0,0,0,1,12,190,9,0,1,8,0,0,0,0,8,194,14,0,3,10,0,0,0,0,11,148,1,0,0,1,0,0,0,0,1,154,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 051 BRONX NEW SCHOOL","321000010051","10X051",10,40.850632,-73.88653,"695 E 182ND ST BRONX, NY 10457","BRONX","10457","0K,01,02,03,04,05","0K","05","No",0.714,"$32,539.98 ",4%,3%,37%,59%,96%,2%,94%,21%,99%,"Exceeding Target",90%,"Meeting Target",98%,"Meeting Target",84%,"Meeting Target",83%,"Meeting Target",96%,"Exceeding Target","Approaching Target",2.49,2.54,28,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,31,3,0,0,3,0,0,0,0,0,31,7,0,0,5,0,0,0,0,0,28,2,0,0,0,0,0,0,0,1,28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S./I.S. 54","321000010054","10X054",10,40.864937,-73.887793,"2703 WEBSTER AVE BRONX, NY 10458","BRONX","10458","PK,0K,01,02,03,04,05","PK","05","No",0.896,"$24,568.96 ",26%,2%,27%,70%,97%,1%,92%,25%,91%,"Meeting Target",87%,"Meeting Target",88%,"Meeting Target",79%,"Meeting Target",84%,"Meeting Target",90%,"Meeting Target","Meeting Target",2.27,2.2,70,1,0,0,0,0,0,0,0,1,74,0,0,0,0,0,0,0,0,0,66,1,0,0,1,0,0,0,0,1,66,0,0,0,0,0,0,0,0,0,79,4,0,0,3,0,0,0,0,0,79,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 056 NORWOOD HEIGHTS","321000010056","10X056",10,40.872439,-73.875912,"3177 WEBSTER AVE BRONX, NY 10467","BRONX","10467","0K,01,02,03,04,05","0K","05","No",0.821,"$36,131.36 ",14%,22%,8%,63%,71%,6%,93%,25%,97%,"Exceeding Target",93%,"Exceeding Target",93%,"Meeting Target",88%,"Exceeding Target",82%,"Approaching Target",95%,"Exceeding Target","Exceeding Target",2.7,3.01,107,10,0,0,4,4,2,0,0,7,112,30,0,3,10,14,3,0,1,22,125,18,0,0,9,7,2,0,0,14,125,23,0,1,11,9,2,0,0,18,132,10,0,0,5,3,0,0,0,5,137,17,0,1,8,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY","321000010059","10X059",10,40.85306,-73.893421,"2185 BATHGATE AVE BRONX, NY 10457","BRONX","10457","PK,0K,01,02,03,04,05","PK","05","No",0.934,"$22,046.20 ",15%,1%,27%,68%,96%,1%,91%,38%,94%,"Meeting Target",94%,"Meeting Target",92%,"Meeting Target",89%,"Exceeding Target",92%,"Exceeding Target",96%,"Exceeding Target","Meeting Target",2.13,2.3,104,1,0,0,1,0,0,0,0,1,96,3,0,0,3,0,0,0,0,3,90,1,0,0,1,0,0,0,0,0,93,2,0,0,2,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,86,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"J.H.S. 080 THE MOSHOLU PARKWAY","321000010080","10X080",10,40.876823,-73.88124,"149 E MOSHOLU PKWY BRONX, NY 10467","BRONX","10467","06,07,08","06","08","Yes",0.827,"N/A",31%,13%,13%,67%,81%,5%,89%,38%,87%,"Approaching Target",79%,"Approaching Target",81%,"Approaching Target",70%,"Not Meeting Target",74%,"Approaching Target",84%,"Approaching Target","Meeting Target",2.16,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,2,0,0,1,1,0,0,0,1,197,11,0,1,7,3,0,0,1,10,204,4,0,0,2,1,0,0,0,4,220,9,0,1,4,3,0,0,1,9,188,5,0,1,1,1,0,0,0,5,144,1,0,0,1,0,0,0,0,1
,,,"P.S. 081 ROBERT J. CHRISTEN","321000010081","10X081",10,40.903455,-73.904682,"5550 RIVERDALE AVE BRONX, NY 10471","BRONX","10471","0K,01,02,03,04,05","0K","05","No",0.357,"$71,366.79 ",8%,8%,10%,49%,59%,30%,94%,17%,93%,"Exceeding Target",92%,"Exceeding Target",99%,"Exceeding Target",83%,"Meeting Target",90%,"Exceeding Target",96%,"Exceeding Target","Meeting Target",2.81,3.08,73,16,0,0,7,0,9,0,0,2,71,34,0,0,12,2,17,0,0,6,85,18,0,1,7,0,9,0,0,6,86,23,0,2,8,0,7,0,0,7,75,10,0,1,2,0,5,0,0,0,74,20,0,0,4,3,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 085 GREAT EXPECTATIONS","321000010085","10X085",10,40.858852,-73.894829,"2400 MARION AVE BRONX, NY 10458","BRONX","10458","0K,01,02,03,04,05","0K","05","Yes",0.925,"$23,548.89 ",22%,1%,29%,69%,98%,0%,91%,35%,84%,"Approaching Target",82%,"Meeting Target",82%,"Approaching Target",70%,"Approaching Target",81%,"Approaching Target",85%,"Approaching Target","Approaching Target",2.02,2.05,154,0,0,0,0,0,0,0,0,0,160,7,0,0,6,0,0,0,1,7,159,4,0,1,2,0,0,0,0,4,162,3,0,1,2,0,0,0,1,3,159,1,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 086 KINGSBRIDGE HEIGHTS","321000010086","10X086",10,40.869847,-73.898263,"2756 RESERVOIR AVE BRONX, NY 10468","BRONX","10468","PK,0K,01,02,03,04,05,06","PK","06","No",0.878,"$33,865.07 ",30%,4%,8%,86%,94%,1%,94%,20%,95%,"Meeting Target",95%,"Exceeding Target",93%,"Exceeding Target",88%,"Exceeding Target",83%,"Meeting Target",96%,"Exceeding Target","Exceeding Target",2.47,2.8,192,6,0,0,5,1,0,0,0,5,197,32,0,1,27,3,1,0,2,26,242,50,0,4,39,6,0,0,1,35,249,72,0,5,58,6,0,0,7,54,224,22,0,3,17,0,0,0,0,17,233,42,0,2,32,0,0,0,1,33,195,17,0,2,13,0,0,0,0,12,202,40,0,5,31,0,0,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 091 BRONX","321000010091","10X091",10,40.858716,-73.907408,"2220 AQUEDUCT AVE BRONX, NY 10453","BRONX","10453","0K,01,02,03,04,05","0K","05","No",0.903,"$29,919.76 ",38%,3%,18%,76%,94%,2%,91%,36%,82%,"Approaching Target",76%,"Approaching Target",80%,"Approaching Target",66%,"Not Meeting Target",78%,"Approaching Target",75%,"Not Meeting Target","Exceeding Target",2.33,2.52,113,2,0,0,0,0,0,0,0,2,117,12,0,2,7,0,0,0,0,10,116,12,0,0,8,0,0,0,0,11,121,13,0,0,8,0,0,0,1,12,90,2,0,0,1,0,0,0,0,1,93,4,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 094 KINGS COLLEGE SCHOOL","321000010094","10X094",10,40.88051,-73.875267,"3530 KINGS COLLEGE PL BRONX, NY 10467","BRONX","10467","0K,01,02,03,04,05","0K","05","No",0.862,"$33,404.63 ",26%,11%,16%,68%,84%,3%,91%,34%,86%,"Approaching Target",86%,"Approaching Target",88%,"Approaching Target",74%,"Approaching Target",82%,"Approaching Target",93%,"Meeting Target","Approaching Target",2.17,2.22,171,2,0,0,2,0,0,0,0,2,182,2,0,1,0,1,0,0,0,2,191,8,0,1,4,0,0,0,0,7,197,11,0,1,4,0,0,0,1,10,172,2,0,1,1,0,0,0,0,2,178,3,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
