As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2020-05-02,9,9,6,Ozark,TV Show,Yes,"Jul 21, 2017",36,246
2020-05-02,10,8,5,Waco,TV Show,,"Apr 16, 2020",14,71
2020-05-03,1,1,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",3,29
2020-05-03,2,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",6,52
2020-05-03,3,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",18,147
2020-05-03,4,4,1,Extraction,Movie,Yes,"Apr 24, 2020",9,80
2020-05-03,5,8,-,All Day and a Night,Movie,Yes,"May 1, 2020",2,9
2020-05-03,6,-,-,Hollywood,TV Show,Yes,"May 1, 2020",1,5
2020-05-03,7,-,-,Den of Thieves,Movie,,"May 1, 2020",1,4
2020-05-03,8,5,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",4,21
2020-05-03,9,-,-,The Half of It,Movie,Yes,"May 1, 2020",1,2
2020-05-03,10,6,-,The Last Kingdom,TV Show,,"Jul 10, 2016",7,37
2020-05-04,1,1,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",4,39
2020-05-04,2,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",19,156
2020-05-04,3,6,-,Hollywood,TV Show,Yes,"May 1, 2020",2,13
2020-05-04,4,5,-,All Day and a Night,Movie,Yes,"May 1, 2020",3,16
2020-05-04,5,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",7,58
2020-05-04,6,4,1,Extraction,Movie,Yes,"Apr 24, 2020",10,85
2020-05-04,7,7,-,Den of Thieves,Movie,,"May 1, 2020",2,8
2020-05-04,8,8,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",5,24
2020-05-04,9,10,7,The Last Kingdom,TV Show,,"Jul 10, 2016",8,39
2020-05-04,10,9,-,The Half of It,Movie,Yes,"May 1, 2020",2,3
2020-05-05,1,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",20,166
2020-05-05,2,1,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",5,48
2020-05-05,3,3,-,Hollywood,TV Show,Yes,"May 1, 2020",3,21
2020-05-05,4,5,6,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",8,65
2020-05-05,5,4,-,All Day and a Night,Movie,Yes,"May 1, 2020",4,22
2020-05-05,6,7,-,Den of Thieves,Movie,,"May 1, 2020",3,13
2020-05-05,7,6,1,Extraction,Movie,Yes,"Apr 24, 2020",11,89
2020-05-05,8,-,-,Arctic Dogs,Movie,,"May 4, 2020",1,3
2020-05-05,9,9,3,The Last Kingdom,TV Show,,"Jul 10, 2016",9,41
2020-05-05,10,8,-,Murder to Mercy: The Cyntoi…,Movie,Yes,"Apr 29, 2020",6,25
2020-05-06,1,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",21,176
2020-05-06,2,3,-,Hollywood,TV Show,Yes,"May 1, 2020",4,30
2020-05-06,3,8,-,Arctic Dogs,Movie,,"May 4, 2020",2,11
2020-05-06,4,2,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",6,55
2020-05-06,5,4,2,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",9,71
2020-05-06,6,-,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",1,5
2020-05-06,7,5,-,All Day and a Night,Movie,Yes,"May 1, 2020",5,26
2020-05-06,8,6,-,Den of Thieves,Movie,,"May 1, 2020",4,16
2020-05-06,9,7,1,Extraction,Movie,Yes,"Apr 24, 2020",12,91
2020-05-06,10,9,4,The Last Kingdom,TV Show,,"Jul 10, 2016",10,42
2020-05-07,1,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",22,186
2020-05-07,2,2,-,Hollywood,TV Show,Yes,"May 1, 2020",5,39
2020-05-07,3,6,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",2,13
2020-05-07,4,5,1,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",10,78
2020-05-07,5,-,-,Becoming,Movie,Yes,"May 6, 2020",1,6
2020-05-07,6,4,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",7,60
2020-05-07,7,-,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",1,4
2020-05-07,8,3,-,Arctic Dogs,Movie,,"May 4, 2020",3,14
2020-05-07,9,8,-,Den of Thieves,Movie,,"May 1, 2020",5,18
2020-05-07,10,7,-,All Day and a Night,Movie,Yes,"May 1, 2020",6,27
2020-05-08,1,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",23,196
2020-05-08,2,2,-,Hollywood,TV Show,Yes,"May 1, 2020",6,48
2020-05-08,3,5,-,Becoming,Movie,Yes,"May 6, 2020",2,14
2020-05-08,4,7,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",2,11
2020-05-08,5,3,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",3,19
2020-05-08,6,4,1,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",11,83
2020-05-08,7,9,-,Den of Thieves,Movie,,"May 1, 2020",6,22
2020-05-08,8,8,-,Arctic Dogs,Movie,,"May 4, 2020",4,17
2020-05-08,9,6,2,Dangerous Lies,Movie,Yes,"Apr 30, 2020",8,62
2020-05-08,10,-,9,Ozark,TV Show,Yes,"Jul 21, 2017",37,247
2020-05-09,1,-,-,Dead to Me,TV Show,Yes,"May 3, 2019",1,10
2020-05-09,2,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",24,205
2020-05-09,3,2,-,Hollywood,TV Show,Yes,"May 1, 2020",7,56
2020-05-09,4,4,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",3,18
2020-05-09,5,3,-,Becoming,Movie,Yes,"May 6, 2020",3,20
2020-05-09,6,-,-,Sleepless,Movie,,"May 9, 2020",1,5
2020-05-09,7,6,2,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",12,87
2020-05-09,8,5,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",4,22
2020-05-09,9,7,-,Den of Thieves,Movie,,"May 1, 2020",7,24
2020-05-09,10,-,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",15,88
2020-05-10,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",2,20
2020-05-10,2,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",25,214
2020-05-10,3,6,-,Sleepless,Movie,,"May 9, 2020",2,13
2020-05-10,4,3,6,Hollywood,TV Show,Yes,"May 1, 2020",8,63
2020-05-10,5,5,-,Becoming,Movie,Yes,"May 6, 2020",4,26
2020-05-10,6,4,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",4,23
2020-05-10,7,9,7,Den of Thieves,Movie,,"May 1, 2020",8,28
2020-05-10,8,8,-,Jerry Seinfeld: 23 Hours to…,Stand-Up Comedy,Yes,"May 5, 2020",5,25
2020-05-10,9,-,4,Extraction,Movie,Yes,"Apr 24, 2020",13,93
2020-05-10,10,7,2,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",13,88
2020-05-11,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",3,30
2020-05-11,2,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",26,223
2020-05-11,3,-,-,John Henry,Movie,,"May 9, 2020",1,8
2020-05-11,4,3,-,Sleepless,Movie,,"May 9, 2020",3,20
2020-05-11,5,4,3,Hollywood,TV Show,Yes,"May 1, 2020",9,69
2020-05-11,6,5,-,Becoming,Movie,Yes,"May 6, 2020",5,31
2020-05-11,7,9,6,Extraction,Movie,Yes,"Apr 24, 2020",14,97
2020-05-11,8,7,7,Den of Thieves,Movie,,"May 1, 2020",9,31
2020-05-11,9,6,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",5,25
2020-05-11,10,-,-,Ozark,TV Show,Yes,"Jul 21, 2017",38,248
2020-05-12,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",4,40
2020-05-12,2,3,-,John Henry,Movie,,"May 9, 2020",2,17
2020-05-12,3,2,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",27,231
2020-05-12,4,4,-,Sleepless,Movie,,"May 9, 2020",4,27
2020-05-12,5,5,3,Hollywood,TV Show,Yes,"May 1, 2020",10,75
2020-05-12,6,-,-,Greyâs Anatomy,TV Show,,"Sep 15, 2014",1,5
2020-05-12,7,10,-,Ozark,TV Show,Yes,"Jul 21, 2017",39,252
2020-05-12,8,9,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",6,28
2020-05-12,9,-,4,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",14,90
2020-05-12,10,-,9,The Last Kingdom,TV Show,,"Jul 10, 2016",11,43
2020-05-13,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",5,50
2020-05-13,2,2,-,John Henry,Movie,,"May 9, 2020",3,26
2020-05-13,3,3,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",28,239
2020-05-13,4,4,-,Sleepless,Movie,,"May 9, 2020",5,34
2020-05-13,5,-,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",1,6
2020-05-13,6,6,-,Greyâs Anatomy,TV Show,,"Sep 15, 2014",2,10
2020-05-13,7,-,-,Trial by Media,TV Show,Yes,"May 11, 2020",1,4
2020-05-13,8,5,2,Hollywood,TV Show,Yes,"May 1, 2020",11,78
2020-05-13,9,7,-,Ozark,TV Show,Yes,"Jul 21, 2017",40,254
2020-05-13,10,-,-,House at the End of the Street,Movie,,"May 8, 2013",1,1
2020-05-14,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",6,60
2020-05-14,2,-,-,The Wrong Missy,Movie,Yes,"May 13, 2020",1,9
2020-05-14,3,3,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",29,247
2020-05-14,4,2,-,John Henry,Movie,,"May 9, 2020",4,33
2020-05-14,5,7,-,Trial by Media,TV Show,Yes,"May 11, 2020",2,10
2020-05-14,6,5,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",2,11
2020-05-14,7,6,-,Greyâs Anatomy,TV Show,,"Sep 15, 2014",3,14
2020-05-14,8,4,-,Sleepless,Movie,,"May 9, 2020",6,37
2020-05-14,9,9,-,Ozark,TV Show,Yes,"Jul 21, 2017",41,256
2020-05-14,10,8,2,Hollywood,TV Show,Yes,"May 1, 2020",12,79
2020-05-15,1,2,-,The Wrong Missy,Movie,Yes,"May 13, 2020",2,19
2020-05-15,2,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",7,69
2020-05-15,3,-,-,Riverdale,TV Show,,"May 19, 2017",1,8
2020-05-15,4,3,1,Outer Banks,TV Show,Yes,"Apr 15, 2020",30,254
2020-05-15,5,4,-,John Henry,Movie,,"May 9, 2020",5,39
2020-05-15,6,5,-,Trial by Media,TV Show,Yes,"May 11, 2020",3,15
2020-05-15,7,7,-,Greyâs Anatomy,TV Show,,"Sep 15, 2014",4,18
2020-05-15,8,9,10,Ozark,TV Show,Yes,"Jul 21, 2017",42,259
2020-05-15,9,6,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",3,13
2020-05-15,10,10,2,Hollywood,TV Show,Yes,"May 1, 2020",13,80
2020-05-16,1,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",3,29
2020-05-16,2,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",8,78
2020-05-16,3,3,-,Riverdale,TV Show,,"May 19, 2017",2,16
2020-05-16,4,4,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",31,261
2020-05-16,5,-,-,White Lines,TV Show,Yes,"May 15, 2020",1,6
2020-05-16,6,5,-,John Henry,Movie,,"May 9, 2020",6,44
2020-05-16,7,6,-,Trial by Media,TV Show,Yes,"May 11, 2020",4,19
2020-05-16,8,7,-,Greyâs Anatomy,TV Show,,"Sep 15, 2014",5,21
2020-05-16,9,8,-,Ozark,TV Show,Yes,"Jul 21, 2017",43,261
2020-05-16,10,9,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",4,14
2020-05-17,1,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",4,39
2020-05-17,2,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",9,87
2020-05-17,3,3,-,Riverdale,TV Show,,"May 19, 2017",3,24
2020-05-17,4,5,-,White Lines,TV Show,Yes,"May 15, 2020",2,13
2020-05-17,5,4,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",32,267
2020-05-17,6,-,-,Public Enemies,Movie,,"May 16, 2020",1,5
2020-05-17,7,6,-,John Henry,Movie,,"May 9, 2020",7,48
2020-05-17,8,-,-,Magic for Humans,TV Show,Yes,"Aug 17, 2018",1,3
2020-05-17,9,7,-,Trial by Media,TV Show,Yes,"May 11, 2020",5,21
2020-05-17,10,10,-,Have a Good Trip: Adventure…,Movie,Yes,"May 11, 2020",5,15
2020-05-18,1,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",5,49
2020-05-18,2,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",10,96
2020-05-18,3,3,-,Riverdale,TV Show,,"May 19, 2017",4,32
2020-05-18,4,6,-,Public Enemies,Movie,,"May 16, 2020",2,12
2020-05-18,5,4,-,White Lines,TV Show,Yes,"May 15, 2020",3,19
2020-05-18,6,5,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",33,272
2020-05-18,7,-,-,Soul Surfer,Movie,,"May 17, 2020",1,4
2020-05-18,8,8,-,Magic for Humans,TV Show,Yes,"Aug 17, 2018",2,6
2020-05-18,9,7,3,John Henry,Movie,,"May 9, 2020",8,50
2020-05-18,10,9,-,Trial by Media,TV Show,Yes,"May 11, 2020",6,22
2020-05-19,1,-,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",1,10
2020-05-19,2,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",6,58
2020-05-19,3,3,-,Riverdale,TV Show,,"May 19, 2017",5,40
2020-05-19,4,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",11,103
2020-05-19,5,7,-,Soul Surfer,Movie,,"May 17, 2020",2,10
2020-05-19,6,5,-,White Lines,TV Show,Yes,"May 15, 2020",4,24
2020-05-19,7,6,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",34,276
2020-05-19,8,4,-,Public Enemies,Movie,,"May 16, 2020",3,15
2020-05-19,9,8,-,Magic for Humans,TV Show,Yes,"Aug 17, 2018",3,8
2020-05-19,10,-,7,Ozark,TV Show,Yes,"Jul 21, 2017",44,262
2020-05-20,1,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",2,20
2020-05-20,2,2,-,The Wrong Missy,Movie,Yes,"May 13, 2020",7,67
2020-05-20,3,3,-,Riverdale,TV Show,,"May 19, 2017",6,48
2020-05-20,4,4,1,Dead to Me,TV Show,Yes,"May 3, 2019",12,110
2020-05-20,5,-,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",1,6
2020-05-20,6,6,-,White Lines,TV Show,Yes,"May 15, 2020",5,29
2020-05-20,7,7,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",35,280
2020-05-20,8,5,-,Soul Surfer,Movie,,"May 17, 2020",3,13
2020-05-20,9,8,-,Public Enemies,Movie,,"May 16, 2020",4,17
2020-05-20,10,9,-,Magic for Humans,TV Show,Yes,"Aug 17, 2018",4,9
2020-05-21,1,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",3,30
2020-05-21,2,5,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",2,15
2020-05-21,3,3,-,Riverdale,TV Show,,"May 19, 2017",7,56
2020-05-21,4,4,1,Dead to Me,TV Show,Yes,"May 3, 2019",13,117
2020-05-21,5,2,2,The Wrong Missy,Movie,Yes,"May 13, 2020",8,73
2020-05-21,6,-,-,The Flash,TV Show,,"Oct 6, 2015",1,5
2020-05-21,7,6,-,White Lines,TV Show,Yes,"May 15, 2020",6,33
2020-05-21,8,7,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",36,283
2020-05-21,9,8,-,Soul Surfer,Movie,,"May 17, 2020",4,15
2020-05-21,10,9,-,Public Enemies,Movie,,"May 16, 2020",5,18
2020-05-22,1,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",4,40
2020-05-22,2,2,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",3,24
2020-05-22,3,3,3,Riverdale,TV Show,,"May 19, 2017",8,64
2020-05-22,4,4,2,Dead to Me,TV Show,Yes,"May 3, 2019",14,124
2020-05-22,5,5,1,The Wrong Missy,Movie,Yes,"May 13, 2020",9,79
2020-05-22,6,6,-,The Flash,TV Show,,"Oct 6, 2015",2,10
2020-05-22,7,7,-,White Lines,TV Show,Yes,"May 15, 2020",7,37
2020-05-22,8,8,4,Outer Banks,TV Show,Yes,"Apr 15, 2020",37,286
2020-05-22,9,9,-,Soul Surfer,Movie,,"May 17, 2020",5,17
2020-05-22,10,10,-,Public Enemies,Movie,,"May 16, 2020",6,19
2020-05-23,1,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",5,50
2020-05-23,2,2,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",4,33
2020-05-23,3,-,-,The Lovebirds,Movie,Yes,"May 22, 2020",1,8
2020-05-23,4,3,3,Riverdale,TV Show,,"May 19, 2017",9,71
2020-05-23,5,4,2,Dead to Me,TV Show,Yes,"May 3, 2019",15,130
2020-05-23,6,5,1,The Wrong Missy,Movie,Yes,"May 13, 2020",10,84
2020-05-23,7,6,-,The Flash,TV Show,,"Oct 6, 2015",3,14
2020-05-23,8,7,5,White Lines,TV Show,Yes,"May 15, 2020",8,40
2020-05-23,9,8,4,Outer Banks,TV Show,Yes,"Apr 15, 2020",38,288
2020-05-23,10,-,-,Just Go With It,Movie,,"May 22, 2020",1,1
2020-05-24,1,2,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",5,43
2020-05-24,2,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",6,59
2020-05-24,3,3,-,The Lovebirds,Movie,Yes,"May 22, 2020",2,16
2020-05-24,4,6,1,The Wrong Missy,Movie,Yes,"May 13, 2020",11,91
2020-05-24,5,10,-,Just Go With It,Movie,,"May 22, 2020",2,7
2020-05-24,6,5,2,Dead to Me,TV Show,Yes,"May 3, 2019",16,135
2020-05-24,7,7,-,The Flash,TV Show,,"Oct 6, 2015",4,18
2020-05-24,8,4,3,Riverdale,TV Show,,"May 19, 2017",10,74
2020-05-24,9,8,4,White Lines,TV Show,Yes,"May 15, 2020",9,42
2020-05-24,10,9,5,Outer Banks,TV Show,Yes,"Apr 15, 2020",39,289
2020-05-25,1,1,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",6,53
2020-05-25,2,2,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",7,68
2020-05-25,3,3,-,The Lovebirds,Movie,Yes,"May 22, 2020",3,24
2020-05-25,4,4,1,The Wrong Missy,Movie,Yes,"May 13, 2020",12,98
2020-05-25,5,5,-,Just Go With It,Movie,,"May 22, 2020",3,13
2020-05-25,6,6,2,Dead to Me,TV Show,Yes,"May 3, 2019",17,140
2020-05-25,7,7,-,The Flash,TV Show,,"Oct 6, 2015",5,22
2020-05-25,8,-,-,History 101,TV Show,Yes,"May 22, 2020",1,3
2020-05-25,9,8,3,Riverdale,TV Show,,"May 19, 2017",11,76
2020-05-25,10,9,5,White Lines,TV Show,Yes,"May 15, 2020",10,43
2020-05-26,1,1,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",7,63
2020-05-26,2,2,1,Avatar: The Last Airbender,TV Show,,"May 15, 2020",8,77
2020-05-26,3,-,-,Uncut Gems,Movie,,"May 25, 2020",1,8
2020-05-26,4,3,-,The Lovebirds,Movie,Yes,"May 22, 2020",4,31
2020-05-26,5,8,-,History 101,TV Show,Yes,"May 22, 2020",2,9
2020-05-26,6,5,-,Just Go With It,Movie,,"May 22, 2020",4,18
2020-05-26,7,4,2,The Wrong Missy,Movie,Yes,"May 13, 2020",13,102
2020-05-26,8,6,4,Dead to Me,TV Show,Yes,"May 3, 2019",18,143
2020-05-26,9,9,3,Riverdale,TV Show,,"May 19, 2017",12,78
2020-05-26,10,7,-,The Flash,TV Show,,"Oct 6, 2015",6,23
2020-05-27,1,3,-,Uncut Gems,Movie,,"May 25, 2020",2,18
2020-05-27,2,1,5,Sweet Magnolias,TV Show,Yes,"May 19, 2020",8,72
2020-05-27,3,2,1,Avatar: The Last Airbender,TV Show,,"May 15, 2020",9,85
2020-05-27,4,5,-,History 101,TV Show,Yes,"May 22, 2020",3,16
2020-05-27,5,6,-,Just Go With It,Movie,,"May 22, 2020",5,24
2020-05-27,6,8,4,Dead to Me,TV Show,Yes,"May 3, 2019",19,148
2020-05-27,7,9,3,Riverdale,TV Show,,"May 19, 2017",13,82
2020-05-27,8,4,-,The Lovebirds,Movie,Yes,"May 22, 2020",5,34
2020-05-27,9,10,-,The Flash,TV Show,,"Oct 6, 2015",7,25
2020-05-27,10,7,2,The Wrong Missy,Movie,Yes,"May 13, 2020",14,103
2020-05-28,1,-,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",1,10
2020-05-28,2,1,-,Uncut Gems,Movie,,"May 25, 2020",3,27
2020-05-28,3,2,2,Sweet Magnolias,TV Show,Yes,"May 19, 2020",9,80
2020-05-28,4,3,1,Avatar: The Last Airbender,TV Show,,"May 15, 2020",10,92
2020-05-28,5,6,4,Dead to Me,TV Show,Yes,"May 3, 2019",20,154
2020-05-28,6,7,3,Riverdale,TV Show,,"May 19, 2017",14,87
2020-05-28,7,4,-,History 101,TV Show,Yes,"May 22, 2020",4,20
2020-05-28,8,5,-,Just Go With It,Movie,,"May 22, 2020",6,27
2020-05-28,9,9,6,The Flash,TV Show,,"Oct 6, 2015",8,27
2020-05-28,10,8,-,The Lovebirds,Movie,Yes,"May 22, 2020",6,35
2020-05-29,1,1,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",2,20
2020-05-29,2,2,-,Uncut Gems,Movie,,"May 25, 2020",4,36
2020-05-29,3,3,2,Sweet Magnolias,TV Show,Yes,"May 19, 2020",10,88
2020-05-29,4,4,1,Avatar: The Last Airbender,TV Show,,"May 15, 2020",11,99
2020-05-29,5,5,4,Dead to Me,TV Show,Yes,"May 3, 2019",21,160
2020-05-29,6,6,3,Riverdale,TV Show,,"May 19, 2017",15,92
2020-05-29,7,7,-,History 101,TV Show,Yes,"May 22, 2020",5,24
2020-05-29,8,9,6,The Flash,TV Show,,"Oct 6, 2015",9,30
2020-05-29,9,8,-,Just Go With It,Movie,,"May 22, 2020",7,29
2020-05-29,10,-,8,Outer Banks,TV Show,Yes,"Apr 15, 2020",40,290
2020-05-30,1,-,-,Space Force,TV Show,Yes,"May 29, 2020",1,10
2020-05-30,2,1,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",3,29
2020-05-30,3,2,-,Uncut Gems,Movie,,"May 25, 2020",5,44
2020-05-30,4,3,2,Sweet Magnolias,TV Show,Yes,"May 19, 2020",11,95
2020-05-30,5,4,1,Avatar: The Last Airbender,TV Show,,"May 15, 2020",12,105
2020-05-30,6,5,5,Dead to Me,TV Show,Yes,"May 3, 2019",22,165
2020-05-30,7,6,4,Riverdale,TV Show,,"May 19, 2017",16,96
2020-05-30,8,8,7,The Flash,TV Show,,"Oct 6, 2015",10,33
2020-05-30,9,9,10,Just Go With It,Movie,,"May 22, 2020",8,31
2020-05-30,10,7,-,History 101,TV Show,Yes,"May 22, 2020",6,25
2020-05-31,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",2,20
2020-05-31,2,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",4,38
2020-05-31,3,3,-,Uncut Gems,Movie,,"May 25, 2020",6,52
2020-05-31,4,4,1,Sweet Magnolias,TV Show,Yes,"May 19, 2020",12,102
2020-05-31,5,5,2,Avatar: The Last Airbender,TV Show,,"May 15, 2020",13,111
2020-05-31,6,6,6,Dead to Me,TV Show,Yes,"May 3, 2019",23,170
2020-05-31,7,9,5,Just Go With It,Movie,,"May 22, 2020",9,35
2020-05-31,8,7,8,Riverdale,TV Show,,"May 19, 2017",17,99
2020-05-31,9,8,7,The Flash,TV Show,,"Oct 6, 2015",11,35
2020-05-31,10,10,-,History 101,TV Show,Yes,"May 22, 2020",7,26
2020-06-01,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",3,30
2020-06-01,2,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",5,47
2020-06-01,3,4,1,Sweet Magnolias,TV Show,Yes,"May 19, 2020",13,110
2020-06-01,4,3,-,Uncut Gems,Movie,,"May 25, 2020",7,59
2020-06-01,5,5,2,Avatar: The Last Airbender,TV Show,,"May 15, 2020",14,117
2020-06-01,6,6,6,Dead to Me,TV Show,Yes,"May 3, 2019",24,175
2020-06-01,7,8,9,Riverdale,TV Show,,"May 19, 2017",18,103
2020-06-01,8,7,5,Just Go With It,Movie,,"May 22, 2020",10,38
2020-06-01,9,10,8,History 101,TV Show,Yes,"May 22, 2020",8,28
2020-06-01,10,9,7,The Flash,TV Show,,"Oct 6, 2015",12,36
2020-06-02,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",4,40
2020-06-02,2,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",6,56
2020-06-02,3,3,1,Sweet Magnolias,TV Show,Yes,"May 19, 2020",14,118
2020-06-02,4,5,2,Avatar: The Last Airbender,TV Show,,"May 15, 2020",15,124
2020-06-02,5,4,3,Uncut Gems,Movie,,"May 25, 2020",8,65
2020-06-02,6,7,9,Riverdale,TV Show,,"May 19, 2017",19,108
2020-06-02,7,6,8,Dead to Me,TV Show,Yes,"May 3, 2019",25,179
2020-06-02,8,-,-,The Healer,Movie,,"Jun 1, 2020",1,3
2020-06-02,9,10,10,The Flash,TV Show,,"Oct 6, 2015",13,38
2020-06-02,10,-,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",41,291
2020-06-03,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",5,50
2020-06-03,2,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",7,65
2020-06-03,3,-,-,Fuller House,TV Show,Yes,"Feb 26, 2016",1,8
2020-06-03,4,3,2,Sweet Magnolias,TV Show,Yes,"May 19, 2020",15,125
2020-06-03,5,4,3,Avatar: The Last Airbender,TV Show,,"May 15, 2020",16,130
2020-06-03,6,8,-,The Healer,Movie,,"Jun 1, 2020",2,8
2020-06-03,7,-,-,The Help,Movie,,"Jun 1, 2020",1,4
2020-06-03,8,-,-,Clueless,Movie,,"Jan 1, 2014",1,3
2020-06-03,9,5,1,Uncut Gems,Movie,,"May 25, 2020",9,67
2020-06-03,10,6,7,Riverdale,TV Show,,"May 19, 2017",20,109
2020-06-04,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",6,60
2020-06-04,2,2,1,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",8,74
2020-06-04,3,3,-,Fuller House,TV Show,Yes,"Feb 26, 2016",2,16
2020-06-04,4,4,3,Sweet Magnolias,TV Show,Yes,"May 19, 2020",16,132
2020-06-04,5,5,4,Avatar: The Last Airbender,TV Show,,"May 15, 2020",17,136
2020-06-04,6,7,-,The Help,Movie,,"Jun 1, 2020",2,9
2020-06-04,7,6,-,The Healer,Movie,,"Jun 1, 2020",3,12
2020-06-04,8,8,-,Clueless,Movie,,"Jan 1, 2014",2,6
