Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Len,C,27,WAS,13,4,216,7.0,10.8,.646,0.5,2.2,.231,6.5,8.7,.750,2.8,4.7,.607,2.5,7.3,9.8,3.0,1.2,2.7,2.5,4.7,17.3
Kawhi Leonard,SF,29,LAC,23,23,792,10.2,19.9,.513,2.0,5.1,.389,8.2,14.7,.556,5.6,6.4,.879,0.9,5.3,6.1,5.2,1.9,0.6,1.9,1.5,28.0
Meyers Leonard,C,28,MIA,3,2,29,3.7,8.7,.429,3.7,8.7,.429,0.0,0.0,0,1.2,2.5,.500,0.0,8.7,8.7,2.5,0.0,0.0,2.5,6.2,12.4
Caris LeVert,SG,26,BRK,12,4,334,9.4,21.6,.435,2.4,6.8,.349,7.0,14.8,.474,2.8,3.7,.765,1.1,4.5,5.6,7.8,1.4,0.6,2.8,2.2,23.9
Kira Lewis Jr.,PG,19,NOP,17,0,223,5.7,14.0,.402,1.8,4.7,.379,3.9,9.4,.414,2.1,3.2,.650,0.3,2.1,2.4,4.8,1.6,0.2,1.3,2.7,15.2
Damian Lillard,PG,30,POR,27,27,969,9.3,20.5,.451,4.2,10.8,.384,5.1,9.7,.527,7.2,7.8,.933,0.5,3.9,4.4,7.8,1.1,0.3,3.2,1.6,29.9
Nassir Little,PF,20,POR,13,2,141,5.6,10.2,.550,2.8,4.6,.611,2.8,5.6,.500,2.0,2.3,.889,2.6,4.1,6.6,0.8,0.5,1.0,1.8,2.8,16.1
Kevon Looney,C,24,GSW,21,5,308,3.9,6.2,.623,0.2,0.6,.400,3.6,5.6,.646,1.1,1.5,.692,3.7,6.4,10.2,4.3,0.8,0.7,1.6,4.3,9.0
Brook Lopez,C,32,MIL,28,28,760,5.2,11.2,.460,2.2,6.1,.359,3.0,5.2,.578,1.8,2.1,.841,2.0,4.7,6.7,0.8,0.6,1.8,1.0,2.6,14.3
Robin Lopez,C,32,WAS,26,9,505,5.8,9.8,.591,0.3,0.9,.333,5.5,8.9,.616,2.9,4.3,.672,4.1,3.7,7.8,1.8,0.4,1.0,1.9,3.6,14.8
Kevin Love,PF,32,CLE,2,2,46,4.7,14.1,.333,2.3,7.0,.333,2.3,7.0,.333,3.1,3.9,.800,1.6,7.8,9.4,3.9,0.8,0.0,2.3,0.8,14.9
Kyle Lowry,PG,34,TOR,25,25,859,6.2,13.8,.452,2.9,7.5,.388,3.4,6.4,.526,3.2,3.6,.874,0.8,4.9,5.7,6.7,1.2,0.2,3.0,3.3,18.6
Timothé Luwawu-Cabarrot,SF,25,BRK,30,5,590,4.8,11.8,.404,2.7,7.5,.366,2.0,4.3,.471,1.1,1.5,.750,1.0,3.4,4.4,2.3,1.2,0.3,1.3,2.9,13.4
Trey Lyles,PF,25,SAS,14,2,165,3.9,7.9,.500,0.9,3.3,.267,3.1,4.6,.667,2.0,3.3,.600,1.5,7.9,9.4,1.5,0.0,0.0,0.0,1.1,10.7
Thon Maker,C,23,CLE,8,0,76,4.7,8.5,.556,0.0,0.9,.000,4.7,7.6,.625,4.7,5.2,.909,3.8,4.7,8.5,1.9,0.9,1.9,1.4,3.3,14.2
Théo Maledon,PG,19,OKC,23,8,538,4.3,10.7,.400,2.3,6.0,.378,2.0,4.7,.429,1.1,1.6,.708,0.3,3.8,4.1,4.3,1.5,0.1,2.7,3.3,12.0
Karim Mané,PG,20,ORL,6,0,56,0.6,5.8,.111,0.6,1.3,.500,0.0,4.5,.000,2.6,2.6,1.000,0.0,6.4,6.4,0.6,0.0,0.6,1.9,1.9,4.5
Terance Mann,SG,24,LAC,27,3,407,3.8,8.3,.457,0.5,2.1,.250,3.3,6.2,.529,2.1,2.8,.750,2.2,5.7,8.0,2.7,1.1,0.4,1.6,3.5,10.3
Nico Mannion,PG,19,GSW,6,0,36,3.0,13.0,.231,2.0,9.0,.222,1.0,4.0,.250,1.0,4.0,.250,0.0,8.0,8.0,12.0,2.0,0.0,2.0,5.0,9.0
Boban Marjanović,C,32,DAL,15,0,108,9.3,18.0,.519,0.0,1.0,.000,9.3,17.0,.549,3.0,4.3,.692,6.7,10.0,16.7,0.3,0.0,0.0,1.0,4.0,21.7
Lauri Markkanen,PF,23,CHI,14,14,426,8.0,15.6,.514,3.4,8.5,.396,4.6,7.1,.655,3.2,3.8,.844,0.7,6.5,7.2,1.0,0.8,0.4,2.0,2.6,22.6
Naji Marshall,SF,23,NOP,3,0,8,0.0,9.0,.000,0.0,4.5,.000,0.0,4.5,.000,4.5,9.0,.500,0.0,9.0,9.0,4.5,0.0,0.0,0.0,0.0,4.5
Caleb Martin,SF,25,CHO,23,1,363,5.0,11.8,.420,1.5,5.0,.300,3.5,6.8,.507,1.4,2.5,.560,1.9,4.5,6.3,2.9,2.0,0.7,1.6,2.5,12.8
Cody Martin,SF,25,CHO,17,0,159,4.5,8.6,.526,0.7,2.9,.231,3.8,5.7,.680,1.8,2.3,.800,2.3,5.4,7.7,3.6,1.6,0.0,2.0,2.0,11.5
Kelan Martin,SF,25,IND,11,0,43,5.0,15.1,.333,1.7,6.7,.250,3.3,8.4,.400,0.0,0.0,0,0.8,8.4,9.2,0.0,1.7,0.0,3.3,3.3,11.7
Kenyon Martin Jr.,SF,20,HOU,7,0,69,5.2,14.1,.370,0.5,2.1,.250,4.7,12.0,.391,1.0,2.6,.400,4.2,5.7,9.9,2.1,1.0,2.6,2.6,4.7,12.0
Frank Mason III,G,26,ORL,4,1,79,4.1,10.9,.375,0.9,2.3,.400,3.2,8.7,.368,2.3,3.2,.714,1.4,4.1,5.5,5.5,0.0,0.0,2.3,3.2,11.4
Garrison Mathews,SG,24,WAS,20,4,322,4.1,10.6,.389,3.2,8.5,.382,0.9,2.1,.421,4.1,4.6,.902,0.9,2.5,3.4,1.1,2.0,0.4,0.3,3.6,15.7
Dakota Mathias,SG,25,PHI,8,2,123,5.6,14.0,.396,2.3,7.6,.308,3.2,6.4,.500,0.6,1.8,.333,0.3,1.8,2.0,3.8,0.3,0.9,0.3,2.0,14.0
Wesley Matthews,SG,34,LAL,22,1,449,2.9,7.2,.400,2.2,5.9,.384,0.6,1.4,.471,1.0,1.2,.800,0.6,1.8,2.4,2.0,0.8,0.6,0.6,2.6,9.0
Tyrese Maxey,SG,20,PHI,28,6,472,7.9,17.2,.456,1.1,4.1,.278,6.7,13.1,.512,1.7,1.9,.880,0.5,3.6,4.0,3.7,1.1,0.2,1.4,2.5,18.5
Skylar Mays,SG,23,ATL,10,0,68,6.4,14.3,.444,2.6,6.4,.417,3.7,7.9,.467,4.8,5.3,.900,1.6,2.6,4.2,3.7,1.1,0.0,0.5,1.6,20.1
CJ McCollum,SG,29,POR,13,13,440,10.1,21.3,.473,5.2,11.7,.441,4.9,9.6,.513,3.1,3.7,.844,0.6,3.6,4.2,5.3,1.4,0.3,1.1,2.3,28.4
T.J. McConnell,PG,28,IND,26,1,623,4.0,8.0,.504,0.3,0.9,.375,3.7,7.1,.520,0.2,0.7,.333,1.0,4.0,5.0,9.9,2.6,0.6,2.6,2.4,8.7
Jaden McDaniels,PF,20,MIN,23,1,431,3.9,9.9,.398,2.0,5.3,.381,1.9,4.6,.418,0.5,1.3,.400,1.3,5.2,6.4,1.9,0.7,2.1,1.6,4.8,10.4
Jalen McDaniels,SF,23,CHO,10,0,108,5.3,11.0,.485,0.7,3.0,.222,4.7,8.0,.583,2.3,3.7,.636,1.3,5.7,7.0,2.0,0.7,0.0,3.0,5.0,13.7
Doug McDermott,PF,29,IND,28,8,733,7.1,13.8,.511,2.1,5.9,.355,5.0,7.9,.627,1.7,2.2,.795,1.4,4.2,5.6,1.9,0.3,0.1,1.5,2.5,18.0
Sean McDermott,SF,24,MEM,6,0,92,2.7,5.9,.467,1.6,4.3,.364,1.2,1.6,.750,1.6,1.6,1.000,1.2,2.0,3.1,1.2,0.4,0.4,1.2,1.6,8.6
JaVale McGee,C,33,CLE,20,1,313,7.1,15.5,.459,0.6,1.8,.313,6.6,13.7,.479,3.0,5.1,.591,3.9,9.0,12.9,2.3,1.0,2.8,2.9,5.6,17.8
Rodney McGruder,SG,29,DET,8,0,64,5.1,10.7,.474,1.7,3.9,.429,3.4,6.8,.500,1.7,1.7,1.000,1.7,3.4,5.1,3.4,0.0,0.6,2.3,2.3,13.5
Alfonzo McKinnie,SF,28,LAL,14,0,44,8.2,13.1,.625,2.5,4.1,.600,5.7,9.0,.636,1.6,3.3,.500,4.9,4.9,9.8,0.8,0.8,0.0,0.8,3.3,20.5
Jordan McLaughlin,PG,24,MIN,17,0,310,4.3,10.9,.394,1.0,2.8,.375,3.3,8.1,.400,0.8,1.0,.778,1.0,3.4,4.4,9.2,2.0,0.3,2.3,1.5,10.5
Ben McLemore,SG,27,HOU,20,2,303,5.1,13.7,.374,3.3,9.9,.337,1.8,3.8,.469,1.5,2.1,.722,0.8,4.3,5.1,2.3,1.4,0.1,2.5,3.1,15.1
Nicolò Melli,PF,30,NOP,13,0,137,2.1,7.4,.286,1.6,5.8,.273,0.5,1.6,.333,1.1,1.3,.800,0.5,6.6,7.1,3.2,1.6,0.3,1.6,4.2,6.8
De'Anthony Melton,PG,22,MEM,12,0,258,6.7,14.0,.480,2.7,6.0,.442,4.0,8.0,.509,0.7,1.1,.625,0.6,4.5,5.0,5.3,1.5,1.7,2.4,3.5,16.7
Sam Merrill,SG,24,MIL,9,0,55,2.6,6.5,.400,2.6,5.2,.500,0.0,1.3,.000,1.3,1.3,1.000,2.0,4.6,6.5,6.5,0.7,0.0,2.0,2.0,9.2
Chimezie Metu,C,23,SAC,11,0,71,7.6,15.2,.500,0.5,1.5,.333,7.1,13.7,.519,3.0,4.6,.667,5.6,6.1,11.7,2.5,1.5,3.0,3.0,5.1,18.8
Khris Middleton,SF,29,MIL,28,28,924,8.1,16.0,.510,2.6,6.0,.442,5.5,10.0,.551,3.2,3.6,.902,0.8,5.6,6.4,6.4,1.1,0.2,2.8,3.0,22.2
Darius Miller,SF,30,OKC,12,0,111,3.6,7.8,.458,2.9,6.8,.429,0.6,1.0,.667,1.0,1.0,1.000,0.3,4.5,4.9,3.2,1.6,1.3,1.6,2.9,11.0
Patty Mills,PG,32,SAS,27,0,687,6.7,14.8,.449,3.7,9.2,.400,3.0,5.7,.528,1.7,1.8,.943,0.4,2.3,2.7,3.8,0.9,0.1,1.4,2.0,18.7
Paul Millsap,PF,35,DEN,26,26,621,5.7,11.0,.524,1.9,4.5,.410,3.9,6.4,.604,2.4,3.4,.695,2.4,5.4,7.8,2.5,1.3,0.8,1.5,3.1,15.7
Shake Milton,SG,24,PHI,22,1,536,7.3,16.1,.452,1.5,4.8,.306,5.8,11.2,.515,4.7,5.4,.875,0.8,2.0,2.8,4.4,1.1,0.3,2.3,3.3,20.7
Donovan Mitchell,SG,24,UTA,27,27,908,8.9,20.8,.427,3.6,9.2,.391,5.3,11.5,.457,4.5,5.4,.832,1.0,3.6,4.7,5.5,1.0,0.4,3.2,2.4,25.9
Adam Mokoka,SG,22,CHI,7,0,42,4.3,12.0,.357,0.9,6.9,.125,3.4,5.1,.667,0.0,0.0,0,0.9,2.6,3.4,3.4,1.7,0.9,1.7,4.3,9.4
Malik Monk,SG,22,CHO,15,0,316,6.2,13.7,.450,3.8,7.5,.500,2.4,6.2,.389,1.9,2.3,.850,0.6,3.4,4.0,3.1,0.5,0.2,1.9,2.2,18.0
E'Twaun Moore,SG,31,PHO,14,1,227,5.1,11.6,.438,0.8,3.0,.263,4.3,8.6,.500,1.0,1.3,.750,0.8,2.4,3.2,3.5,1.7,0.2,2.1,3.5,11.9
Ja Morant,PG,21,MEM,16,16,484,8.1,17.7,.458,1.0,3.9,.250,7.1,13.8,.516,5.1,6.4,.802,0.9,2.8,3.6,9.8,1.0,0.3,3.8,1.7,22.3
Juwan Morgan,PF,23,UTA,12,0,64,3.4,7.3,.462,1.7,5.1,.333,1.7,2.3,.750,0.0,1.7,.000,1.7,5.6,7.3,1.7,1.7,0.0,1.1,6.2,8.4
Marcus Morris,PF,31,LAC,21,2,524,6.5,14.5,.450,3.6,7.3,.500,2.9,7.2,.400,2.4,2.7,.897,1.1,4.4,5.5,1.2,0.8,0.4,1.4,2.6,19.1
Markieff Morris,PF,31,LAL,23,2,353,3.7,9.5,.387,2.0,6.3,.323,1.6,3.2,.516,1.3,1.8,.722,1.4,6.7,8.2,2.0,0.4,0.6,1.2,3.5,10.7
Monte Morris,PG,25,DEN,27,3,701,5.8,11.8,.489,1.7,4.5,.391,4.0,7.3,.549,1.7,2.4,.702,0.4,2.6,2.9,4.6,0.9,0.4,0.9,1.1,14.9
Mychal Mulder,PG,26,GSW,28,1,303,4.8,10.0,.476,3.8,8.6,.444,1.0,1.4,.667,0.8,1.3,.636,0.1,3.0,3.1,1.4,0.7,0.7,0.6,3.2,14.1
Dejounte Murray,PG,24,SAS,27,27,821,7.3,16.4,.447,1.2,3.9,.315,6.1,12.5,.488,2.1,2.5,.810,0.7,7.8,8.5,6.0,1.8,0.1,2.0,2.5,17.9
Jamal Murray,PG,23,DEN,26,26,908,7.4,16.4,.452,2.3,6.5,.358,5.1,9.9,.514,2.9,3.5,.809,0.8,3.7,4.4,4.7,1.1,0.3,2.3,2.2,20.0
Mike Muscala,C,29,OKC,26,0,495,6.4,14.4,.444,3.8,10.0,.380,2.6,4.4,.590,2.1,2.3,.906,1.0,6.0,7.0,1.7,0.5,0.5,1.2,2.9,18.7
Sviatoslav Mykhailiuk,SF,23,DET,27,0,417,4.9,12.9,.380,3.2,9.9,.322,1.7,3.0,.571,1.8,2.1,.875,0.6,3.7,4.3,2.8,1.5,0.4,1.6,2.0,14.8
Abdel Nader,SF,27,PHO,12,0,172,6.5,13.0,.500,2.1,5.2,.400,4.4,7.7,.568,2.9,3.8,.778,0.0,6.1,6.1,2.3,1.0,0.2,1.7,2.7,18.0
Larry Nance Jr.,PF,28,CLE,19,18,635,4.0,8.2,.483,1.4,3.6,.381,2.6,4.6,.561,0.7,1.2,.571,1.5,5.8,7.3,3.5,2.1,0.6,1.6,2.3,10.0
Aaron Nesmith,SF,21,BOS,13,0,191,3.0,8.9,.340,2.3,7.2,.316,0.8,1.7,.444,0.9,1.3,.714,1.3,4.3,5.7,1.3,0.0,0.8,1.7,4.5,9.2
Raul Neto,PG,28,WAS,21,6,396,6.0,12.8,.468,1.9,5.2,.368,4.1,7.6,.536,1.5,1.8,.800,0.9,3.4,4.3,3.2,1.9,0.2,1.2,2.5,15.4
Georges Niang,PF,27,UTA,29,0,381,5.0,12.9,.390,2.8,8.8,.323,2.2,4.1,.535,0.5,0.5,1.000,0.9,5.1,6.0,2.1,1.0,0.3,1.8,4.2,13.3
Zeke Nnaji,PF,20,DEN,15,0,112,5.1,10.3,.500,3.2,6.4,.500,1.9,3.9,.500,0.6,1.3,.500,1.6,2.6,4.2,0.0,0.3,0.3,0.0,2.3,14.1
Nerlens Noel,C,26,NYK,25,3,475,3.3,5.9,.564,0.0,0.2,.000,3.3,5.8,.579,0.9,1.7,.545,3.2,6.9,10.1,0.9,1.7,3.6,1.7,4.2,7.6
Jaylen Nowell,SG,21,MIN,15,0,236,8.1,17.7,.457,2.6,7.3,.354,5.5,10.4,.529,3.4,4.3,.786,1.2,2.7,4.0,2.1,0.9,0.6,1.4,4.1,22.1
Frank Ntilikina,PG,22,NYK,4,0,42,5.1,12.0,.429,4.3,7.7,.556,0.9,4.3,.200,0.9,2.6,.333,0.9,2.6,3.4,2.6,2.6,0.0,1.7,6.0,15.4
Kendrick Nunn,PG,25,MIA,20,8,567,6.8,14.3,.473,2.4,6.9,.349,4.4,7.4,.590,1.3,1.5,.875,0.6,3.5,4.1,2.9,1.4,0.3,2.6,2.3,17.3
Jusuf Nurkić,C,26,POR,12,12,280,6.4,13.2,.485,0.4,1.5,.250,6.0,11.7,.516,1.9,3.5,.556,3.0,8.9,11.8,4.2,1.4,1.4,3.0,4.2,15.2
David Nwaba,SF,28,HOU,24,9,560,5.2,10.8,.482,0.9,3.4,.264,4.3,7.4,.583,2.2,3.2,.680,1.9,3.8,5.7,1.7,1.7,1.2,1.0,3.2,13.5
Jordan Nwora,SF,22,MIL,10,0,82,7.5,16.2,.459,3.5,7.0,.500,4.0,9.2,.429,4.0,4.4,.900,0.4,6.1,6.6,0.0,1.8,0.9,4.4,4.0,22.4
Royce O'Neale,SF,27,UTA,29,29,944,3.0,6.4,.462,1.9,4.5,.429,1.0,1.9,.540,0.8,1.0,.846,1.3,6.3,7.6,2.5,0.9,0.7,1.3,3.2,8.7
Semi Ojeleye,PF,26,BOS,27,6,530,3.6,8.7,.414,2.3,6.1,.378,1.3,2.6,.500,1.2,1.7,.720,1.2,4.6,5.8,1.6,0.5,0.0,0.8,2.2,10.7
Jahlil Okafor,C,25,DET,12,0,120,7.5,12.6,.595,0.0,0.9,.000,7.5,11.7,.641,0.3,0.6,.500,3.9,4.2,8.1,0.9,0.6,0.6,1.2,3.0,15.3
Chuma Okeke,PF,22,ORL,13,0,282,2.8,7.4,.379,1.1,3.7,.310,1.7,3.7,.448,0.4,0.8,.500,2.0,3.6,5.6,3.4,1.4,0.5,1.1,1.7,7.1
Josh Okogie,SG,22,MIN,23,18,467,2.9,8.5,.345,0.8,3.5,.217,2.2,4.9,.438,2.2,2.9,.763,1.7,2.9,4.5,2.1,1.5,1.1,1.3,3.3,8.9
Onyeka Okongwu,C,20,ATL,9,1,93,3.9,7.4,.526,0.0,0.0,0,3.9,7.4,.526,2.7,4.6,.583,2.3,7.4,9.7,1.5,1.5,2.3,1.9,5.8,10.5
Isaac Okoro,SG,20,CLE,24,24,792,3.0,7.7,.388,0.7,2.9,.250,2.3,4.8,.472,1.4,2.1,.674,1.0,1.6,2.6,2.0,1.2,0.5,1.5,3.1,8.1
KZ Okpala,PF,21,MIA,14,5,168,2.6,6.6,.387,1.5,4.1,.368,1.1,2.6,.417,0.4,1.3,.333,0.9,3.4,4.3,1.3,0.6,0.4,1.7,4.1,7.1
Victor Oladipo,SG,28,TOT,20,20,640,7.9,19.6,.401,2.7,8.2,.329,5.2,11.4,.453,3.0,4.1,.740,0.2,5.6,5.9,5.2,1.5,0.5,2.5,2.7,21.5
Victor Oladipo,SG,28,IND,9,9,300,7.7,18.2,.421,3.0,8.3,.362,4.7,10.0,.470,3.2,4.4,.730,0.1,6.0,6.1,4.6,1.8,0.2,2.2,2.8,21.6
Victor Oladipo,SG,28,HOU,11,11,340,8.0,20.9,.386,2.4,8.2,.299,5.6,12.7,.442,2.9,3.8,.750,0.3,5.3,5.6,5.7,1.3,0.6,2.8,2.6,21.4
Kelly Olynyk,C,29,MIA,27,22,703,5.0,11.7,.424,2.9,8.5,.343,2.0,3.2,.635,0.8,1.1,.714,1.4,6.6,8.0,2.8,1.1,0.9,1.8,3.6,13.6
Miye Oni,SG,23,UTA,23,0,185,1.9,6.0,.323,1.8,5.1,.346,0.2,1.0,.200,1.0,1.2,.833,2.3,5.6,8.0,1.2,0.6,0.8,1.4,5.1,6.6
Cedi Osman,SF,25,CLE,29,13,766,5.6,14.8,.381,2.8,8.3,.341,2.8,6.5,.432,1.6,2.0,.786,0.9,3.6,4.6,3.5,1.2,0.1,1.4,2.9,15.7
Daniel Oturu,C,21,LAC,10,0,42,7.7,12.9,.600,0.0,0.9,.000,7.7,12.0,.643,1.7,1.7,1.000,4.3,7.7,12.0,3.4,0.0,2.6,1.7,5.1,17.1
Kelly Oubre Jr.,SF,25,GSW,29,29,853,6.4,15.5,.410,2.0,6.5,.310,4.3,9.0,.484,2.7,3.5,.759,1.7,5.5,7.2,1.7,1.4,1.0,1.7,2.9,17.4
Eric Paschall,PF,24,GSW,26,2,459,8.0,15.8,.507,0.9,2.8,.333,7.1,12.9,.545,3.5,4.9,.714,1.8,5.1,6.9,2.6,0.4,0.2,1.6,3.5,20.5
Anžejs Pasečņiks,C,25,WAS,1,0,6,0.0,6.0,.000,0.0,6.0,.000,0.0,0.0,0,0.0,0.0,0,6.0,0.0,6.0,6.0,0.0,0.0,30.0,12.0,0.0
Patrick Patterson,PF,31,LAC,10,1,130,4.4,10.5,.421,2.8,7.8,.357,1.7,2.8,.600,0.8,1.1,.750,1.1,4.4,5.5,1.4,0.8,0.3,1.9,3.6,12.5
Chris Paul,PG,35,PHO,26,26,843,7.3,14.9,.489,1.6,4.4,.369,5.6,10.5,.539,2.9,3.0,.972,0.6,4.6,5.2,9.1,1.4,0.3,2.6,3.0,19.1
Cameron Payne,PG,26,PHO,16,0,275,5.4,11.7,.461,2.0,5.0,.395,3.4,6.7,.510,1.2,1.2,1.000,0.3,3.7,3.9,7.6,1.2,0.4,2.5,4.3,13.9
Elfrid Payton,PG,26,NYK,30,30,831,6.8,15.3,.441,0.6,2.4,.250,6.2,12.9,.477,1.8,2.5,.719,1.6,3.3,5.0,4.6,0.8,0.3,2.5,2.6,15.9
Norvel Pelle,F-C,27,BRK,3,0,28,3.9,9.0,.429,0.0,0.0,0,3.9,9.0,.429,0.0,0.0,0,3.9,5.1,9.0,0.0,0.0,3.9,3.9,11.6,7.7
Reggie Perry,PF,20,BRK,14,0,147,5.1,12.5,.412,0.5,2.9,.167,4.7,9.6,.487,1.5,2.2,.667,4.2,8.3,12.5,2.9,0.5,1.2,2.7,6.6,12.2
Theo Pinson,SG,25,NYK,9,0,21,1.7,12.0,.143,0.0,10.3,.000,1.7,1.7,1.000,0.0,0.0,0,0.0,1.7,1.7,0.0,0.0,0.0,0.0,5.1,3.4
Mason Plumlee,C,30,DET,26,26,726,5.4,9.1,.596,0.0,0.2,.000,5.4,8.8,.612,2.3,3.4,.691,3.9,7.5,11.4,4.4,1.2,0.8,2.6,4.6,13.1
Jakob Poeltl,C,25,SAS,27,9,600,4.8,7.9,.611,0.0,0.0,0,4.8,7.9,.611,0.7,2.3,.316,4.9,6.5,11.3,2.8,1.0,2.5,1.9,3.4,10.3
Vincent Poirier,C,27,PHI,4,0,18,2.0,6.0,.333,0.0,0.0,0,2.0,6.0,.333,4.0,8.0,.500,4.0,4.0,8.0,2.0,0.0,4.0,2.0,2.0,8.0
Aleksej Pokusevski,PF,19,OKC,17,0,296,2.8,11.3,.247,1.2,6.8,.179,1.6,4.5,.351,0.0,0.0,0,0.6,6.7,7.3,2.6,1.0,2.3,2.7,1.9,6.8
Jordan Poole,SG,21,GSW,15,0,143,6.5,15.4,.426,3.3,9.8,.333,3.3,5.5,.591,4.5,4.8,.947,0.5,4.0,4.5,3.3,0.8,0.5,2.0,3.5,20.9
Michael Porter Jr.,SF,22,DEN,18,11,486,6.8,14.4,.474,2.8,7.6,.373,4.0,6.8,.587,1.8,2.2,.800,1.6,6.6,8.1,1.4,1.4,1.6,1.4,3.0,18.2
Otto Porter,SF,27,CHI,16,6,372,6.2,13.9,.444,2.7,6.8,.400,3.5,7.2,.486,2.9,3.5,.833,1.9,7.7,9.7,3.1,0.9,0.3,1.5,2.4,18.0
Bobby Portis,C,25,MIL,28,1,610,8.3,14.9,.556,1.8,3.7,.484,6.5,11.2,.579,1.1,1.7,.679,3.2,8.8,12.0,1.8,1.5,0.6,1.2,3.2,19.4
Kristaps Porziņģis,C,25,DAL,17,17,509,9.3,19.7,.473,2.7,7.6,.352,6.6,12.1,.550,3.3,3.9,.855,2.5,7.4,9.9,1.6,0.4,1.9,1.5,4.0,24.7
Dwight Powell,C,29,DAL,17,6,277,3.1,6.1,.511,0.1,0.9,.143,3.0,5.2,.575,4.0,5.8,.689,2.6,5.3,7.9,2.1,1.7,0.8,1.4,5.3,10.4
Norman Powell,SG,27,TOR,26,15,735,7.0,15.1,.464,2.9,6.8,.424,4.1,8.3,.497,3.8,4.4,.876,0.5,3.1,3.7,1.9,1.4,0.2,1.8,2.5,20.7
Taurean Prince,PF,26,TOT,27,10,592,4.6,11.8,.392,2.3,5.8,.400,2.3,6.0,.384,2.7,3.2,.849,0.7,5.2,6.0,2.8,1.2,1.2,1.9,3.0,14.3
Taurean Prince,PF,26,BRK,12,4,218,5.0,12.2,.405,2.1,6.1,.351,2.8,6.1,.459,4.0,4.5,.889,0.3,5.3,5.6,1.2,1.3,1.3,1.8,3.5,16.0
Taurean Prince,PF,26,CLE,15,6,374,4.4,11.6,.383,2.4,5.6,.431,2.0,6.0,.339,2.0,2.5,.808,1.0,5.2,6.2,3.8,1.1,1.1,1.9,2.8,13.3
Payton Pritchard,SG,23,BOS,22,1,472,5.0,10.6,.475,2.4,5.9,.410,2.6,4.7,.557,0.9,1.0,.923,0.8,3.3,4.1,4.0,1.0,0.4,2.1,3.4,13.4
Immanuel Quickley,PG,21,NYK,26,0,505,7.2,18.2,.395,3.1,8.6,.367,4.1,9.7,.419,5.4,5.7,.950,0.7,3.6,4.3,4.9,0.8,0.6,1.7,3.8,23.0
Jahmi'us Ramsey,SG,19,SAC,4,0,16,4.5,9.0,.500,2.3,6.8,.333,2.3,2.3,1.000,0.0,0.0,0,0.0,9.0,9.0,2.3,0.0,2.3,2.3,0.0,11.3
Chasson Randle,G,27,ORL,1,0,19,1.9,7.6,.250,0.0,3.8,.000,1.9,3.8,.500,0.0,0.0,0,0.0,3.8,3.8,9.5,0.0,0.0,1.9,7.6,3.8
Julius Randle,PF,26,NYK,30,30,1101,7.9,16.5,.480,1.8,4.4,.407,6.1,12.1,.507,5.0,6.3,.802,1.3,9.3,10.7,5.4,0.7,0.2,3.2,3.0,22.7
Cam Reddish,SF,21,ATL,24,19,692,4.7,12.6,.376,1.6,6.1,.265,3.1,6.5,.480,3.2,4.0,.805,1.0,4.0,4.9,1.8,1.4,0.4,1.7,3.3,14.3
J.J. Redick,SG,36,NOP,25,0,456,5.0,13.2,.377,3.4,9.2,.368,1.6,3.9,.400,2.8,2.8,.972,0.2,2.8,3.0,2.2,0.6,0.2,1.6,2.4,16.1
Paul Reed,PF,21,PHI,5,0,55,5.9,14.4,.409,0.0,2.0,.000,5.9,12.4,.474,0.0,0.0,0,4.6,2.0,6.5,2.0,0.7,2.6,3.3,2.6,11.8
Naz Reid,C,21,MIN,27,13,581,8.1,15.5,.524,1.8,4.5,.397,6.3,11.0,.576,2.9,3.9,.730,2.2,5.9,8.2,2.2,1.1,2.0,1.9,5.2,20.9
Nick Richards,PF,23,CHO,8,0,23,4.7,9.4,.500,0.0,0.0,0,4.7,9.4,.500,7.8,9.4,.833,3.1,6.3,9.4,0.0,0.0,0.0,1.6,6.3,17.2
Josh Richardson,SG,27,DAL,19,19,601,5.0,11.7,.423,1.7,5.9,.296,3.2,5.9,.551,2.5,2.7,.933,1.1,2.2,3.3,3.1,1.0,0.2,1.6,3.4,14.2
Austin Rivers,SG,28,NYK,21,2,442,4.7,11.0,.430,2.3,6.3,.364,2.4,4.7,.517,0.8,1.1,.714,0.4,3.4,3.8,3.4,1.0,0.0,1.8,2.6,12.5
Duncan Robinson,SF,26,MIA,28,28,931,4.4,10.5,.415,3.5,9.0,.389,0.9,1.5,.579,1.4,1.6,.854,0.0,4.1,4.1,1.7,0.5,0.3,1.6,2.4,13.6
Glenn Robinson III,SF,27,SAC,22,1,346,4.2,9.7,.430,1.7,4.5,.372,2.5,5.2,.480,2.2,2.4,.913,0.7,3.0,3.7,2.1,0.3,0.3,1.0,2.2,12.2
Jerome Robinson,SG,23,WAS,13,3,221,3.6,10.9,.328,1.5,5.0,.290,2.1,5.9,.361,2.4,2.8,.882,0.3,5.0,5.4,2.9,1.0,0.3,1.8,3.4,11.1
Mitchell Robinson,C,22,NYK,27,27,778,4.8,7.2,.660,0.0,0.0,0,4.8,7.2,.660,1.0,2.1,.478,4.5,6.0,10.5,0.6,1.5,1.9,1.0,3.6,10.6
