BeerID,Name,URL,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount,UserId
675,Michelob Ultra,/homebrew/recipe/view/391720/michelob-ultra,American Light Lager,9,26.5,1.033,1.008,3.32,5.55,2.34,30.28,15,1.029,84,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
676,Thick-Assed Ginger Lass,/homebrew/recipe/view/1412/thick-assed-ginger-lass,Irish Red Ale,92,20.82,1.058,1.016,5.52,20.78,17.32,26.5,60,1.045,70,1.25,Specific Gravity,All Grain,0.5,20.56,Light DME,1.25 Cups,411
677,Westvleteren 12 clone,/homebrew/recipe/view/320119/westvleteren-12-clone,Clone Beer,43,18.93,1.09,1.014,10,43.44,26.41,20.82,90,1.082,67,N/A,Specific Gravity,All Grain,1,25.56,N/A,N/A,24202
678,Saison Grissette,/homebrew/recipe/view/1452/saison-grissette,Saison,134,20.82,1.068,1.018,6.59,33.84,4.12,18.93,60,N/A,70,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
679,Vermont IPA V2,/homebrew/recipe/view/329841/vermont-ipa-v2,American IPA,7,47.32,1.051,1.014,4.86,62.03,3.77,51.86,90,1.046,67,1.3,Specific Gravity,All Grain,0.75,20,N/A,N/A,
680,Double IPA,/homebrew/recipe/view/45/double-ipa,Imperial IPA,86,20.82,1.092,1.019,10.45,127.37,10.33,30.28,120,1.063,69,1.2,Specific Gravity,All Grain,N/A,20,N/A,N/A,
681,Autobahn Hopped American Hefe,/homebrew/recipe/view/9888/autobahn-hopped-american-hefe,American Wheat or Rye Beer,15,20.82,1.049,1.014,4.68,35.26,3.42,26.5,90,N/A,65,N/A,Specific Gravity,All Grain,N/A,N/A,Dextrose,3oz,
682,Lagunitas Maximus IPA clone,/homebrew/recipe/view/200642/lagunitas-maximus-ipa-clone,American IPA,7,20,1.067,1.016,6.72,46.09,12.75,28.5,90,1.047,66,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,19666
683,Hoppy Mango Kettle Sour,/homebrew/recipe/view/561275/hoppy-mango-kettle-sour,Mixed-Fermentation Sour Beer,106,21,1.048,1.01,5.01,9.2,5.29,25,70,1.041,80,N/A,Specific Gravity,BIAB,0.75,23,Forced,N/A,54364
684,Adam's Vanilla Porter,/homebrew/recipe/view/2394/adam-s-vanilla-porter,Brown Porter,37,20.82,1.08,1.02,7.85,51.05,39.23,31.42,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,Corn Sugar,4 to 5 oz,
685,Bavarian Helles,/homebrew/recipe/view/1463/bavarian-helles,Munich Helles,109,20.82,1.046,1.011,4.51,17.63,2.83,11.36,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
686,Pils,/homebrew/recipe/view/5695/pils,Bohemian Pilsener,31,20.82,1.054,1.014,5.23,35.01,3.29,26.5,90,1.042,75,N/A,Specific Gravity,All Grain,N/A,N/A,CO2,N/A,396
687,Bakke Brygg Wit 50 l,/homebrew/recipe/view/115594/bakke-brygg-wit-50-l,Witbier,175,50,1.047,1.01,4.81,14.17,3.53,58,90,1.041,73,N/A,Specific Gravity,All Grain,N/A,20,Sukkerlake,7 g sukker/l,18325
688,Dragon's Milk Clone,/homebrew/recipe/view/222233/dragon-s-milk-clone,Old Ale,116,20.82,1.097,1.023,9.67,44.41,37.34,28.39,60,1.071,85,1.25,Specific Gravity,All Grain,1,19.44,N/A,N/A,
689,Simple First All Grain,/homebrew/recipe/view/189050/simple-first-all-grain,American Brown Ale,6,13.25,1.057,1.014,5.58,0,18,17.03,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
690,Downtown Brown ale 2.0,/homebrew/recipe/view/124057/downtown-brown-ale-2-0,American Brown Ale,6,20.82,1.055,1.013,5.57,37.77,22.89,26.5,60,1.044,70,1.4,Specific Gravity,All Grain,1,18.33,N/A,N/A,26150
691,SkullSplitter clone,/homebrew/recipe/view/189324/skullsplitter-clone,Scottish Heavy 70/-,139,18.93,1.088,1.015,9.56,0,22,18.93,60,N/A,75,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
692,3,/homebrew/recipe/view/226445/003,Witbier,175,24,1.043,1.01,4.33,25.63,6.47,28,60,1.037,66,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A,44768
693,Thanksgiving Cranberry Wheat Ale,/homebrew/recipe/view/165528/thanksgiving-cranberry-wheat-ale,Spice  Herb  or Vegetable Beer,155,45.42,1.066,1.016,6.85,29.88,10.42,53,60,1.044,70,1.125,Specific Gravity,All Grain,N/A,20,krausening,N/A,21465
694,Standard Golden,/homebrew/recipe/view/304650/standard-golden,British Golden Ale,35,10,1.049,1.008,5.33,27.57,5.44,10,60,1.049,70,3,Specific Gravity,All Grain,0.75,20,N/A,N/A,52062
695,Bragawd,/homebrew/recipe/view/30385/bragawd,Braggot,32,3.79,1.118,1.029,11.57,0,11.69,3.79,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
696,Strawberry Hefeweizen,/homebrew/recipe/view/119990/strawberry-hefeweizen,Weizen/Weissbier,170,18.93,1.07,1.018,6.9,31.14,27.3,11.36,60,1.117,35,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
697,Galaxy SMaSH,/homebrew/recipe/view/192093/galaxy-smash,American IPA,7,18.93,1.061,1.02,5.41,77.93,5.44,28.39,60,1.041,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
698,Oatmeal Pale Ale,/homebrew/recipe/view/210417/oatmeal-pale-ale,American Pale Ale,10,20.82,1.057,1.018,5.19,56.49,3.9,28.39,60,1.042,70,1.5,Specific Gravity,All Grain,N/A,19.44,N/A,N/A,
699,LUX Rye Ale | Bissell Brothers (approximatio...,/homebrew/recipe/view/481742/lux-rye-ale-bissell-brothers-approximation-braumeister-20l,American Pale Ale,10,21,1.05,1.011,5.08,50.38,5.4,25,70,1.042,73,N/A,Specific Gravity,BIAB,0.75,18,N/A,N/A,54364
700,Honey nut cheerio ale,/homebrew/recipe/view/13785/honey-nut-cheerio-ale,Specialty Beer,145,20.82,1.044,1.012,4.14,10.91,5.08,26.5,60,N/A,77,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,805
701,Scottish Wee Heavy,/homebrew/recipe/view/1346/scottish-wee-heavy,Scottish Heavy 70/-,139,18.93,1.089,1.02,8.97,21.99,13.88,9.46,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
702,Best bitter,/homebrew/recipe/view/28852/best-bitter,Special/Best/Premium Bitter,144,22,1.047,1.013,4.4,40.78,10.33,33,60,1.031,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,6646
703,Christmas Beer,/homebrew/recipe/view/19182/christmas-beer,Holiday/Winter Special Spiced Beer,85,20.82,1.08,1.018,8.04,40.15,28.44,11.36,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,Dextrose,3/4 Cup,
704,Juleøl,/homebrew/recipe/view/124065/,Strong Scotch Ale,160,13,1.093,1.026,8.81,16.52,27.06,8,60,1.152,71,N/A,Specific Gravity,Partial Mash,N/A,19,N/A,N/A,26814
705,Octoberfest,/homebrew/recipe/view/14938/octoberfest,Oktoberfest/Märzen,115,20.82,1.055,1.015,5.24,33.65,10.82,28.39,90,1.04,75,N/A,Specific Gravity,All Grain,1.5,N/A,Co2,13lbs,396
706,West Coast IPA - Mosaic,/homebrew/recipe/view/38193/west-coast-ipa-mosaic,American IPA,7,18.93,1.067,1.014,6.94,99.37,6.86,11.36,60,1.069,45,N/A,Specific Gravity,Partial Mash,0.35,21.11,N/A,N/A,
707,Little Sumpin Sumpin Clone,/homebrew/recipe/view/208558/little-sumpin-sumpin-clone,American IPA,7,18.93,1.079,1.027,6.92,66.7,7.03,22.71,60,1.066,77,1.5,Specific Gravity,All Grain,1,21.11,N/A,N/A,
708,Grainfather Pale Ale,/homebrew/recipe/view/351192/grainfather-pale-ale,British Golden Ale,35,20,1.054,1.011,5.65,71.21,4.54,27,60,1.04,63,2,Specific Gravity,All Grain,0.35,20,N/A,N/A,
709,Tiny rebal Cwtch clone,/homebrew/recipe/view/365179/tiny-rebal-cwtch-clone,American Amber Ale,4,20,1.045,1.009,4.78,49.2,13.96,30,60,1.03,70,3.1,Specific Gravity,All Grain,N/A,18,N/A,N/A,
710,Hoppy Hefeweizen,/homebrew/recipe/view/106752/hoppy-hefeweizen,Weizen/Weissbier,170,19.87,1.056,1.014,5.51,30.49,3.86,13.25,60,1.036,35,N/A,Specific Gravity,extract,N/A,N/A,corn sugar,6.25,
711,Chocolate Vanilla Stout,/homebrew/recipe/view/180889/chocolate-vanilla-stout,American Stout,12,20.82,1.071,1.02,6.68,44.49,40,37.85,90,1.039,65,N/A,Specific Gravity,BIAB,N/A,22.22,N/A,N/A,34425
712,Goose Island IPA,/homebrew/recipe/view/191246/goose-island-ipa,English IPA,65,18.93,1.063,1.016,6.24,0,9.14,17.03,60,N/A,75,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
713,BacK in BlacK IPA,/homebrew/recipe/view/486471/back-in-black-ipa,Specialty IPA: Black IPA,148,21,1.063,1.014,6.49,78.88,31.54,25,60,1.053,70,N/A,Specific Gravity,BIAB,0.75,18,N/A,N/A,54364
714,G'Knight Clone (Oskar Blues),/homebrew/recipe/view/228618/g-knight-clone-oskar-blues-,Double IPA,56,11.36,1.082,1.018,8.49,61.1,13.66,15.14,90,1.062,70,N/A,Specific Gravity,BIAB,1,20,N/A,N/A,
715,Gingerbread brown,/homebrew/recipe/view/554/gingerbread-brown,American Brown Ale,6,18.93,1.057,1.013,5.76,31.16,22.91,22.71,60,1.045,60,N/A,Specific Gravity,Partial Mash,N/A,N/A,sucrose,N/A,
716,Bakke Brygg JuleAle 2013 25 l,/homebrew/recipe/view/73370/bakke-brygg-juleale-2013-25-l,Old Ale,116,25,1.072,1.017,7.15,35.07,20.77,29,60,1.062,75,N/A,Specific Gravity,BIAB,N/A,20,Sukkerlake,6 g pr liter,18325
717,Pils Urquell Clone,/homebrew/recipe/view/56611/pils-urquell-clone,Bohemian Pilsener,31,20.82,1.05,1.012,5.07,40.22,3.37,26.5,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,12.78,N/A,N/A,2304
718,La chouffe Clone,/homebrew/recipe/view/197611/la-chouffe-clone,Belgian Golden Strong Ale,23,22,1.064,1.018,6.09,21.34,5.55,10,90,1.142,35,N/A,Specific Gravity,extract,0.5,18,Corn Sugar,150,
719,Simcoe IPA,/homebrew/recipe/view/22719/simcoe-ipa,American IPA,7,20.82,1.071,1.018,7.03,90.04,9.07,11.36,60,N/A,35,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,
720,Juicy Plum Porter,/homebrew/recipe/view/318601/juicy-plum-porter,English Porter,66,25,1.06,1.022,5.26,35.6,24.55,33,60,1.046,82,N/A,Specific Gravity,BIAB,0.75,19,N/A,N/A,52625
721,Kozel Dark Clone,/homebrew/recipe/view/389060/kozel-dark-clone,Czech Dark Lager,48,22,1.042,1.007,4.7,35.22,21.87,30,80,1.031,70,1.5,Specific Gravity,All Grain,N/A,19,N/A,N/A,51514
722,Chocolate Milk Stout (Patio 1812),/homebrew/recipe/view/237836/chocolate-milk-stout-patio-1812-,Sweet Stout,162,18.93,1.061,1.018,5.6,32.35,28.58,13.25,60,1.087,35,N/A,Specific Gravity,extract,1,20,Corn Sugar,6oz,42473
723,Cider,/homebrew/recipe/view/191255/cider,Common Cider,44,18.93,1.052,1,6.81,0,0,18.93,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
724,Witbier,/homebrew/recipe/view/10587/witbier,Witbier,175,18.93,1.048,1.013,4.69,21.22,3.3,26.5,90,N/A,60,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
725,Time Warp Tongue Tickler,/homebrew/recipe/view/52895/time-warp-tongue-tickler,Russian Imperial Stout,132,18.93,1.114,1.029,11.08,198.51,40,15.14,60,1.142,40,N/A,Specific Gravity,Partial Mash,0.5,18.33,N/A,N/A,
726,#2 - IPA 60,/homebrew/recipe/view/2623/-2-ipa-60,American IPA,7,18,1.068,1.019,6.46,55.92,4.65,8,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,Dextrose Solution,180g / 120ml,579
727,Bakke Brygg Pale Ale 50 l,/homebrew/recipe/view/82502/bakke-brygg-pale-ale-50-l,American Pale Ale,10,50,1.053,1.011,5.4,36.92,5.94,60,60,1.044,72,N/A,Specific Gravity,All Grain,N/A,18,Sukkerlake,6 g sukker/l,18325
728,AleSmith IPA Clone - 20L,/homebrew/recipe/view/328801/alesmith-ipa-clone-20l,American IPA,7,20,1.084,1.019,8.57,42.29,11.22,23.3,60,1.072,80,N/A,Specific Gravity,All Grain,N/A,20,CO2,N/A,
729,Simple Kölsch BIAB,/homebrew/recipe/view/82576/,Kölsch,94,18.93,1.047,1.012,4.63,24.89,3.78,11.36,60,1.078,75,N/A,Specific Gravity,BIAB,0.35,21.11,N/A,N/A,
730,Heady Topper Clone,/homebrew/recipe/view/177157/heady-topper-clone,American IPA,7,22.71,1.072,1.013,7.76,140.13,5.47,32.18,90,1.045,80,1.5,Specific Gravity,All Grain,1,15.56,N/A,N/A,5889
731,Graff,/homebrew/recipe/view/86929/graff,Common Cider,44,11.36,1.064,1.015,6.46,7.78,8.8,3.79,60,1.193,35,N/A,Specific Gravity,extract,N/A,20,N/A,N/A,
732,The Tropical Session White IPA,/homebrew/recipe/view/60114/the-tropical-session-white-ipa,American IPA,7,20,1.049,1.013,4.75,87.11,3.74,28.5,90,1.034,75,N/A,Specific Gravity,All Grain,1,N/A,N/A,N/A,3053
733,Belgian Amber,/homebrew/recipe/view/52665/belgian-amber,Belgian Specialty Ale,25,9.46,1.068,1.017,6.65,14.64,14.55,15.14,60,N/A,65,N/A,Specific Gravity,All Grain,1,21.11,N/A,N/A,
734,Vienna Lager,/homebrew/recipe/view/110466/vienna-lager,Vienna Lager,167,20.82,1.056,1.016,5.3,22.87,9.6,26.5,60,1.044,70,N/A,Specific Gravity,All Grain,N/A,10,N/A,N/A,14852
735,Ommegang Hennepin Ale Clone,/homebrew/recipe/view/91032/ommegang-hennepin-ale-clone,Belgian Specialty Ale,25,20.82,1.072,1.013,7.74,41.51,5.41,11.36,60,1.133,0,N/A,Specific Gravity,extract,0.75,20,Corn Sugar,N/A,20681
736,Chocolate Cherry Imperial Stout,/homebrew/recipe/view/166948/chocolate-cherry-imperial-stout,Russian Imperial Stout,132,18.93,1.116,1.031,11.1,136.03,31.03,22.71,90,1.097,85,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
737,Pale Face 15,/homebrew/recipe/view/6672/pale-face-15,American Pale Ale,10,9.46,1.059,1.014,5.87,24.95,12.11,4.73,15,N/A,75,N/A,Specific Gravity,Partial Mash,N/A,N/A,dextrose,2.5 oz,1345
738,Hibiscus Saison,/homebrew/recipe/view/49602/hibiscus-saison,Saison,134,20.82,1.042,1.007,4.53,34.63,2.94,28.39,60,1.031,70,N/A,Specific Gravity,All Grain,N/A,20,N/A,N/A,6254
739,Bakke Brygg Irish Red Ale 20 l,/homebrew/recipe/view/131778/bakke-brygg-irish-red-ale-20-l,Irish Red Ale,92,20,1.052,1.013,5.19,23.47,15.3,24,60,1.043,72,N/A,Specific Gravity,All Grain,N/A,18,Sukkerlake,5 g sukker/l,18325
740,Belgian Red Ale,/homebrew/recipe/view/137608/belgian-red-ale,Belgian Specialty Ale,25,11.36,1.076,1.019,7.47,26.62,25.9,15.14,60,1.052,65,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
741,Mango IPA,/homebrew/recipe/view/223948/mango-ipa,American IPA,7,2200,14.3395,2.83333,6.2,49.13,6.49,2200,60,14.3,85,N/A,Plato,All Grain,N/A,N/A,N/A,N/A,
742,Cranberry Mead,/homebrew/recipe/view/6020/cranberry-mead,Other Fruit Melomel,119,3.79,1.083,1.002,10.68,0,12.82,3.79,1,N/A,100,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,380
743,Honey Nut Brown,/homebrew/recipe/view/10430/honey-nut-brown,Northern English Brown,113,18.93,1.066,1.02,6.15,55.3,16.59,22.71,60,N/A,70,N/A,Specific Gravity,extract,N/A,N/A,corn sugar,.75 cup,1477
744,Denny Conn's Bourbon Vanilla Porter,/homebrew/recipe/view/29946/denny-conn-s-bourbon-vanilla-porter,Robust Porter,129,9.46,1.082,1.019,8.21,34.11,40,15.14,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,8363
745,Mikkeller Vesterbro Pilsner,/homebrew/recipe/view/136207/mikkeller-vesterbro-pilsner,Bohemian Pilsener,31,20,1.054,1.011,5.64,38.89,5.48,25,90,1.043,75,2.5,Specific Gravity,All Grain,N/A,11,N/A,N/A,1046
746,Oatty McStouterson,/homebrew/recipe/view/194515/oatty-mcstouterson,Oatmeal Stout,114,22.71,1.058,1.012,6.2,21.65,27.35,26.5,30,1.05,78,1.6,Specific Gravity,All Grain,1,18.89,N/A,N/A,34123
747,Speidel #3 Wit,/homebrew/recipe/view/34656/speidel-3-wit,Witbier,175,25,1.051,1.012,5.13,17.41,3.66,36,90,N/A,80,N/A,Specific Gravity,All Grain,0.75,22,sugar (witbier  2.5-3 carbonation),200g,10010
748,Sierra nevada pale ale clone,/homebrew/recipe/view/78753/sierra-nevada-pale-ale-clone,American IPA,7,18.2,1.061,1.015,5.96,54.07,10.44,25,60,1.044,80,N/A,Specific Gravity,BIAB,N/A,20,DEXTROSE,165g,10419
749,Burdel Abstemia  24 Ago,/homebrew/recipe/view/236956/burdel-abstemia-24-ago,Experimental Beer,67,22.71,1.019,1.004,1.91,5.07,2.67,30.28,60,1.014,75,N/A,Specific Gravity,BIAB,N/A,23.89,N/A,N/A,
750,Mosaic Promise Clone Rev. 1,/homebrew/recipe/view/316564/mosaic-promise-clone-rev-1,American IPA,7,20.82,1.057,1.013,5.65,40.78,4.78,24.61,60,1.048,84,N/A,Specific Gravity,BIAB,0.5,20,priming sugar,N/A,
751,20: Chainbreaker White IPA Clone,/homebrew/recipe/view/308829/20-chainbreaker-white-ipa-clone,Specialty IPA: White IPA,152,18.93,1.061,1.014,6.16,65.11,3.92,29.34,100,1.039,67,1,Specific Gravity,All Grain,1,19.44,Forced Carb,N/A,39936
752,Little Miss Liquid (Liquid Mistress Clone)...,/homebrew/recipe/view/225792/little-miss-liquid-liquid-mistress-clone-,American Amber Ale,4,23,1.061,1.015,6.25,50.9,23.26,28.5,60,1.049,65,3,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,41262
753,Honey Orange Wheat (Eugene City Brewery Clon...,/homebrew/recipe/view/90094/honey-orange-wheat-eugene-city-brewery-clone-,Belgian Specialty Ale,25,18.93,1.051,1.013,4.94,23.7,6.76,7.57,60,1.127,35,N/A,Specific Gravity,extract,0.5,21.11,N/A,N/A,19219
754,Roggenbier,/homebrew/recipe/view/48957/roggenbier,Roggenbier (German Rye Beer),131,49.21,1.054,1.013,5.3,19,14.29,58.3,90,N/A,82,N/A,Specific Gravity,All Grain,1,16.67,N/A,N/A,
755,' #1 Columbus day IPA,/homebrew/recipe/view/211826/-1-columbus-day-ipa,American IPA,7,18.93,1.057,1.012,5.91,58.56,8.06,11.36,45,1.095,35,N/A,Specific Gravity,extract,0.35,20,sugar,0.5,
756,Citra IPA - Partial Mash,/homebrew/recipe/view/190766/citra-ipa-partial-mash,American IPA,7,20.82,1.074,1.018,7.43,0,11.7,28.2,60,N/A,68,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A,
757,Belgian Single,/homebrew/recipe/view/293987/belgian-single,Trappist Single,165,20.82,1.048,1.011,4.84,30.43,3.19,28.39,60,1.035,70,1.5,Specific Gravity,All Grain,N/A,21.11,N/A,N/A,
758,Midnight Ryed,/homebrew/recipe/view/4864/midnight-ryed,Imperial IPA,86,20.82,1.085,1.024,8.05,166.82,40,11.36,60,N/A,30,N/A,Specific Gravity,extract,N/A,N/A,Corn Sugar,N/A,1116
759,Pale Pilsner Ale,/homebrew/recipe/view/83531/pale-pilsner-ale,Standard/Ordinary Bitter,157,22,1.051,1.014,4.86,43.78,5.24,26,60,1.043,72,3,Specific Gravity,All Grain,N/A,N/A,Sugar,N/A,
760,Kentish ale,/homebrew/recipe/view/78971/kentish-ale,Special/Best/Premium Bitter,144,25,1.048,1.011,4.84,36.68,11.63,33,60,1.036,65,2.6,Specific Gravity,All Grain,1,N/A,N/A,N/A,17602
761,Kama Citra Session IPA,/homebrew/recipe/view/176811/kama-citra-session-ipa,American IPA,7,20.82,1.05,1.01,5.31,43.53,7.35,25.55,60,1.041,75,1.5,Specific Gravity,All Grain,0.75,18.33,N/A,N/A,
762,ZOMBIE_ISH,/homebrew/recipe/view/7095/zombie-ish,American IPA,7,11.36,1.056,1.011,5.88,56.87,8.02,13.25,40,1.048,80,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,314
763,Goose Island Brewery - Honkers Ale Clone,/homebrew/recipe/view/120583/goose-island-brewery-honkers-ale-clone,Extra Special/Strong Bitter (ESB),68,20.82,1.056,1.019,4.91,45.12,9.26,13.25,60,1.088,70,N/A,Specific Gravity,Partial Mash,0.5,20,Corn Sugar,N/A,20681
764,Gose to 11,/homebrew/recipe/view/349044/gose-to-11,Gose,82,20.82,1.045,1.01,4.58,9.44,4,27.44,60,1.034,65,1.5,Specific Gravity,All Grain,0.35,21.11,Keg/CO2,N/A,63277
765,Kriek,/homebrew/recipe/view/18770/kriek,Fruit Lambic,77,22.71,1.06,1.015,5.95,23.71,5.02,28.39,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,Cherry Juice Concentrate,??,3750
766,Ten Fidy clone,/homebrew/recipe/view/50136/ten-fidy-clone,Robust Porter,129,37.85,1.106,1.025,10.62,118.03,40,43.53,60,N/A,75,N/A,Specific Gravity,All Grain,0.75,N/A,N/A,N/A,
767,Marshmallow Milk Stout,/homebrew/recipe/view/217842/marshmallow-milk-stout,Sweet Stout,162,17.03,1.067,1.026,5.42,30.44,40,22.71,60,1.04,70,1.25,Specific Gravity,All Grain,0.5,21.11,N/A,N/A,
768,X Marks the Spot IPA,/homebrew/recipe/view/259123/x-marks-the-spot-ipa,American IPA,7,20.82,1.061,1.011,6.61,54.34,13.59,29.53,70,1.043,75,N/A,Specific Gravity,BIAB,0.75,19.44,N/A,N/A,49146
769,Hoppy Pale Ale,/homebrew/recipe/view/260727/hoppy-pale-ale,American Pale Ale,10,18.93,1.064,1.015,6.42,47.16,7.92,23.28,60,1.052,67,1.25,Specific Gravity,All Grain,N/A,22.22,N/A,N/A,
770,Clone - Kissmeyer Baltic Porter,/homebrew/recipe/view/30340/clone-kissmeyer-baltic-porter,Baltic Porter,19,37.85,1.079,1.02,7.75,55.79,26.14,49.21,90,N/A,70,N/A,Specific Gravity,All Grain,1.5,N/A,N/A,N/A,8348
771,'Murican Braggot,/homebrew/recipe/view/90160/-murican-braggot,Braggot,32,18.93,1.081,1.025,7.47,14.12,11.51,26.5,60,1.022,73,1.75,Specific Gravity,All Grain,0.5,23.33,N/A,N/A,13335
772,Rauchbier,/homebrew/recipe/view/4102/rauchbier,Classic Rauchbier,41,20.82,1.056,1.017,5.08,30.08,13.94,26.5,90,N/A,70,N/A,Specific Gravity,BIAB,N/A,N/A,corn sugar,1 cup,87
773,Wheat Pale Ale,/homebrew/recipe/view/4168/wheat-pale-ale,American Wheat or Rye Beer,15,22.71,1.053,1.013,5.25,23.78,6.32,28.39,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
774,Stone & Wood Pacific Ale,/homebrew/recipe/view/181508/stone-wood-pacific-ale,American Amber Ale,4,21,1.057,1.011,6.06,30.41,7.01,11,60,1.109,35,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A,23391
775,Yuengling Clone,/homebrew/recipe/view/330782/yuengling-clone,American Lager,8,22.71,1.05,1.015,4.62,15.27,6.1,31.23,90,1.036,77.7,1.3,Specific Gravity,All Grain,1.5,16.67,N/A,N/A,
776,Chocolate Coffee Stout,/homebrew/recipe/view/103222/chocolate-coffee-stout,American Stout,12,22.71,1.065,1.013,6.78,85.25,40,28.39,60,1.052,70,1.25,Specific Gravity,All Grain,0.75,18.33,N/A,N/A,20984
777,NB Surly Bitter Brewer,/homebrew/recipe/view/9623/nb-surly-bitter-brewer,Special/Best/Premium Bitter,144,18.93,1.045,1.011,4.47,47.8,9.48,24.61,90,N/A,78,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,314
778,Christmas Ale,/homebrew/recipe/view/145400/christmas-ale,Holiday/Winter Special Spiced Beer,85,23,1.073,1.021,6.82,22.99,24.01,27,60,1.056,75,3,Specific Gravity,All Grain,0.35,19,Rï¿½rsukker,6 5,
779,Bakke Brygg American Amber Ale 25 L,/homebrew/recipe/view/203968/bakke-brygg-american-amber-ale-25-l,American Amber Ale,4,25,1.057,1.013,5.78,37.13,12.95,29,90,1.049,76,N/A,Specific Gravity,All Grain,0.75,18,Sukkerlake,6 5 g sukker/l,18325
780,British Golden Ale,/homebrew/recipe/view/315890/british-golden-ale,British Golden Ale,35,21,1.045,1.009,4.69,33.74,3.43,27,60,1.035,68,3,Specific Gravity,All Grain,N/A,21,N/A,N/A,
781,Roasted Pecan Brown Ale,/homebrew/recipe/view/29976/roasted-pecan-brown-ale,American Brown Ale,6,18.93,1.047,1.013,4.44,39.71,16.27,24.61,60,N/A,70,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,8363
782,Blair Witch Pils 2-Pieces,/homebrew/recipe/view/628/blair-witch-pils-2-pieces,Classic American Pilsner,40,19.87,1.054,1.012,5.51,31.7,5.22,26.5,90,1.041,70,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A,
783,Desert Mirage Jalapeno Cream Ale,/homebrew/recipe/view/45914/desert-mirage-jalapeno-cream-ale,Specialty Beer,145,20.82,1.052,1.015,4.93,34.63,3.42,28.39,60,1.038,80,N/A,Specific Gravity,BIAB,0.35,20,N/A,N/A,8706
784,Bakke Brygg Dubbel 25 L,/homebrew/recipe/view/126330/bakke-brygg-dubbel-25-l,Belgian Dubbel,22,25,1.066,1.012,7.14,19.77,17.7,29,90,1.051,75,N/A,Specific Gravity,All Grain,1,18,Sukkerlake,8 5 g sukker/L,18325
785,Saison Dupont Clone,/homebrew/recipe/view/438817/saison-dupont-clone,Saison,134,20,1.062,1.011,6.69,25.71,5.25,23.9,90,1.052,78,3,Specific Gravity,All Grain,0.35,22,Table sugar,166 g,
786,Caramel Porter,/homebrew/recipe/view/116846/caramel-porter,Robust Porter,129,20.82,1.055,1.014,5.37,47.34,34.63,13.25,60,1.086,70,N/A,Specific Gravity,Partial Mash,0.5,16.67,Corn Sugar,N/A,20681
787,Great Divide | Yeti Imperial Stout (approxim...,/homebrew/recipe/view/305351/great-divide-yeti-imperial-stout-approximation-braumeister-20l,Russian Imperial Stout,132,21,1.084,1.022,8.18,84.83,49.39,25,90,1.071,65,N/A,Specific Gravity,BIAB,1.25,20,N/A,N/A,54364
788,Roche Four LODO,/homebrew/recipe/view/410106/roche-four-lodo,Trappist Single,165,15,1.052,1.013,5.14,20.7,18.86,17,60,1.042,72,5.5,Specific Gravity,All Grain,0.5,18,N/A,N/A,
