Color,VehicleModel,VehicleDesc,ModelYear,VehicleType,DateStolen,Location
Grey,Ford,RANGER,2012,Utility,17/01/2022,Auckland City
Silver,Holden,CRUZE,2012,Saloon,7/03/2022,Auckland City
Red,Ford,RANGER,2008,Utility,6/03/2022,Canterbury
White,Mitsubishi,L200,2008,Flat Deck Truck,22/02/2022,Waitemata
Blue,Nissan,TIIDA,2005,Saloon,5/04/2022,Counties/Manukau
White,Toyota,HIACE,2000,Light Van,14/10/2021,Auckland City
Blue,Mitsubishi,GALANT,1999,Saloon,1/01/2022,Central
White,Nissan,TIIDA,2007,Saloon,30/11/2021,Auckland City
Gold,Toyota,HIACE,1994,Stationwagon,31/03/2022,Wellington
Orange,Suzuki,SWIFT,2006,Hatchback,3/02/2022,Bay of Plenty
Silver,Mazda,ATENZA,2002,Hatchback,11/11/2021,Canterbury
White,Ford,TERRITORY,2012,Stationwagon,12/10/2021,Counties/Manukau
Green,Ford,COURIER,2001,Utility,4/03/2022,Bay of Plenty
White,Volvo,C70,2003,Convertible,14/10/2021,Waitemata
Orange,Suzuki,SWIFT,2012,Hatchback,22/03/2022,Counties/Manukau
Black,Subaru,LEGACY,2005,Stationwagon,27/03/2022,Wellington
Green,Holden,COMMODORE,2012,Stationwagon,18/03/2022,Central
Silver,Nissan,TIIDA,2005,Hatchback,29/03/2022,Canterbury
White,Mitsubishi,OUTLANDER,2012,Stationwagon,7/11/2021,Canterbury
White,Subaru,LEGACY,2009,Stationwagon,28/10/2021,Canterbury
Silver,Suzuki,SWIFT,2012,Hatchback,22/03/2022,Counties/Manukau
Black,Mitsubishi,OUTLANDER,2005,Stationwagon,20/03/2022,Waitemata
Green,Nissan,BLUEBIRD,2005,Saloon,7/01/2022,Central
Grey,Nissan,CUBE,2004,Hatchback,5/04/2022,Waikato
White,Toyota,HILUX,1999,Stationwagon,30/12/2021,Bay of Plenty
White,Toyota,HILUX,2012,Utility,30/01/2022,Northland
Silver,Toyota,MARKX,2005,Saloon,17/12/2021,Canterbury
Silver,Mitsubishi,OUTLANDER,2007,Stationwagon,12/12/2021,Central
Black,Jeep,COMPASS,2018,Stationwagon,21/03/2022,Counties/Manukau
Green,Honda,CIVIC,1997,Hatchback,11/12/2021,Wellington
Blue,Honda,EDIX,2005,Stationwagon,15/10/2021,Waitemata
Silver,Mazda,ATENZA,2007,Stationwagon,4/04/2022,Wellington
Blue,BMW,520I,2001,Saloon,25/02/2022,Auckland City
Grey,Mitsubishi,OUTLANDER,2005,Stationwagon,2/12/2021,Canterbury
White,Toyota,IPSUM,2005,Stationwagon,23/03/2022,Waitemata
Silver,Subaru,IMPREZA,2003,Stationwagon,3/04/2022,Waikato
Red,Toyota,CALDINA,1996,Stationwagon,25/03/2022,Southern
Black,Toyota,HILUX,2012,Utility,6/11/2021,Canterbury
Silver,Mazda,DEMIO,2005,Hatchback,9/02/2022,Waikato
Silver,Nissan,TIIDA,2005,Hatchback,4/04/2022,Northland
Silver,Mitsubishi,MIRAGE,1996,Saloon,1/01/2022,Auckland City
Silver,Holden,BARINA SPARK,2012,Hatchback,1/03/2022,Waitemata
Black,Peugeot,407,2009,Saloon,5/12/2021,Bay of Plenty
Black,Chery,J1,2012,Hatchback,30/01/2022,Counties/Manukau
Red,Ford,FALCON,2012,Saloon,11/12/2021,Eastern
Blue,Volkswagen,GOLF,2007,Stationwagon,4/03/2022,Central
White,Honda,ODYSSEY,2005,Stationwagon,27/03/2022,Counties/Manukau
Silver,Nissan,NAVARA,2012,Utility,11/11/2021,Northland
Blue,Mazda,DEMIO,2005,Hatchback,4/04/2022,Counties/Manukau
Silver,Toyota,COROLLA,2012,Hatchback,31/03/2022,Bay of Plenty
Silver,Suzuki,SWIFT,2005,Hatchback,14/01/2022,Central
Green,Holden,COMMODORE,2007,Saloon,23/12/2021,Tasman
Blue,Toyota,YARIS,2013,Hatchback,7/02/2022,Waikato
Orange,Toyota,CALDINA,2003,Hatchback,30/03/2022,Counties/Manukau
Silver,Subaru,LEGACY,2006,Stationwagon,24/03/2022,Counties/Manukau
Green,Mazda,626,2001,Hatchback,13/01/2022,Waitemata
Black,Honda,ACCORD,2005,Saloon,28/03/2022,Auckland City
Silver,Nissan,TIIDA,2005,Hatchback,8/02/2022,Waitemata
Silver,Mazda,ATENZA,2007,Stationwagon,8/01/2022,Waikato
Silver,Mercedes-Benz,CLS,2008,Saloon,12/12/2021,Bay of Plenty
Red,Nissan,BLUEBIRD,2007,Saloon,21/11/2021,Counties/Manukau
Red,Honda,FIT,2004,Hatchback,12/03/2022,Waikato
Blue,Subaru,LEGACY,2004,Saloon,17/12/2021,Counties/Manukau
White,Suzuki,SWIFT,2006,Hatchback,22/12/2021,Waikato
Green,Mitsubishi,L200,1997,Utility,12/10/2021,Bay of Plenty
Silver,Mazda,DEMIO,2005,Hatchback,28/02/2022,Auckland City
Silver,Toyota,LANDCRUISER,2000,Stationwagon,1/12/2021,Waitemata
Black,Honda,ACCORD,2001,Saloon,6/11/2021,Counties/Manukau
Black,Mazda,ATENZA,2006,Stationwagon,30/01/2022,Counties/Manukau
White,Mazda,DEMIO,2005,Hatchback,6/04/2022,Counties/Manukau
White,Toyota,HILUX,2013,Utility,24/11/2021,Central
Silver,Ford,RANGER,2013,Utility,23/11/2021,Bay of Plenty
White,Toyota,LAND CRUISER PRADO,1998,Stationwagon,15/02/2022,Waitemata
Black,Nissan,NAVARA,2013,Utility,6/02/2022,Waikato
Silver,Nissan,TEANA,2005,Saloon,30/03/2022,Auckland City
Silver,Nissan,NAVARA,2013,Cab and Chassis Only,1/01/2022,Waikato
Silver,Toyota,COROLLA,2013,Hatchback,13/12/2021,Northland
Blue,Toyota,AVENSIS,2004,Saloon,14/02/2022,Counties/Manukau
Silver,Mercedes-Benz,CLS,2006,Saloon,17/11/2021,Auckland City
Silver,Mazda,FAMILIA,1999,Stationwagon,13/01/2022,Central
Black,Nissan,TIIDA,2005,Hatchback,2/04/2022,Counties/Manukau
Black,Audi,S4,2004,Stationwagon,24/02/2022,Canterbury
Black,Holden,COMMODORE,2010,Stationwagon,10/11/2021,Central
Black,Suzuki,SWIFT,2009,Hatchback,10/10/2021,Northland
White,Mercedes-Benz,E,2016,Sports Car,4/03/2022,Canterbury
Grey,Mazda,AXELA,2004,Stationwagon,7/11/2021,Bay of Plenty
Blue,Nissan,NAVARA,1991,Utility,8/01/2022,Central
White,Volkswagen,PASSAT,2006,Saloon,26/03/2022,Auckland City
Black,Mazda,AXELA,2008,Stationwagon,16/03/2022,Bay of Plenty
White,Holden,CAPTIVA,2013,Stationwagon,26/02/2022,Waitemata
Black,BMW,320I,2007,Saloon,11/10/2021,Counties/Manukau
Green,Mazda,ROADSTER,1998,Sports Car,18/10/2021,Eastern
Black,Mitsubishi,OUTLANDER,2014,Stationwagon,16/10/2021,Central
Silver,Toyota,IPSUM,2004,Stationwagon,15/12/2021,Waitemata
Red,Toyota,VITZ,2004,Hatchback,2/04/2022,Counties/Manukau
Black,Honda,ACCORD,2007,Saloon,19/11/2021,Wellington
Silver,Mazda,DEMIO,2006,Hatchback,4/04/2022,Tasman
Red,Honda,ACCORD,1998,Saloon,7/10/2021,Northland
White,BMW,760I,2003,Saloon,27/12/2021,Bay of Plenty
Silver,Toyota,HIACE,2006,Light Van,14/03/2022,Auckland City
Red,Holden,CAPTIVA,2013,Stationwagon,6/03/2022,Auckland City
Purple,Mazda,ATENZA,2006,Stationwagon,6/02/2022,Eastern
Gold,Mitsubishi,LANCER,1979,Saloon,3/11/2021,Auckland City
Blue,Ford,FALCON,2013,Saloon,11/03/2022,Northland
Grey,Chevrolet,CRUZE,2008,Hatchback,4/04/2022,Auckland City
Silver,Nissan,BLUEBIRD,2006,Saloon,14/03/2022,Eastern
White,Mitsubishi,TRITON,2001,Utility,14/02/2022,Central
Grey,Mitsubishi,TRITON,2013,Utility,2/12/2021,Northland
Grey,Mitsubishi,TRITON,2013,Utility,3/12/2021,Northland
Red,Mazda,MAZDA6,2013,Stationwagon,8/01/2022,Canterbury
Silver,Nissan,WINGROAD,2006,Stationwagon,28/03/2022,Auckland City
Orange,Mazda,DEMIO,2004,Hatchback,5/04/2022,Central
White,Toyota,ESTIMA,2004,Stationwagon,12/03/2022,Waikato
Red,Honda,CIVIC,2006,Saloon,17/02/2022,Wellington
Green,Honda,FIT,2004,Hatchback,6/03/2022,Auckland City
Blue,Toyota,HILUX,1990,Stationwagon,14/11/2021,Auckland City
Silver,Toyota,ISIS,2005,Stationwagon,3/02/2022,Canterbury
Silver,Mazda,DEMIO,2006,Hatchback,23/01/2022,Northland
White,Toyota,COROLLA,2013,Hatchback,31/03/2022,Counties/Manukau
Black,Holden,COMMODORE,2003,Saloon,1/04/2022,Waikato
Red,BMW,120I,2005,Hatchback,19/02/2022,Canterbury
White,Toyota,PRIUS,2010,Saloon,27/03/2022,Counties/Manukau
Blue,Nissan,TIIDA,2005,Hatchback,15/01/2022,Counties/Manukau
Silver,Nissan,TIIDA,2005,Hatchback,3/04/2022,Auckland City
White,Mazda,DEMIO,2006,Hatchback,31/01/2022,Wellington
White,Volkswagen,GOLF,2008,Hatchback,20/10/2021,Bay of Plenty
Silver,Kea,K85SAT,2006,Trailer,18/01/2022,Counties/Manukau
Green,Toyota,HILUX,1993,Stationwagon,26/11/2021,Bay of Plenty
Grey,Trailer,HOSKING,2006,Boat Trailer,24/03/2022,Bay of Plenty
Silver,Trailer,DOMESTIC,2006,Trailer,29/12/2021,Bay of Plenty
Silver,Kea,TRAILER,2006,Trailer - Heavy,29/12/2021,Tasman
Silver,Trailer,BOAT,2006,Boat Trailer,1/12/2021,Waikato
Yellow,Atlas,XAS136,2006,Trailer - Heavy,14/01/2022,Bay of Plenty
Silver,Reid,TRAILER,2006,Trailer - Heavy,17/02/2022,Canterbury
Silver,Kea,K855A,2006,Trailer,23/10/2021,Waikato
Red,Mazda,AXELA,2004,Saloon,22/02/2022,Canterbury
Blue,Mazda,ATENZA,2002,Saloon,1/04/2022,Wellington
Black,Nissan,PULSAR,1997,Stationwagon,10/02/2022,Central
White,Mazda,FAMILIA,1999,Stationwagon,1/03/2022,Central
Green,Holden,COMMODORE,2013,Saloon,23/10/2021,Wellington
Silver,Nissan,BLUEBIRD,2007,Saloon,30/03/2022,Counties/Manukau
Black,Mazda,ATENZA,2006,Stationwagon,1/04/2022,Counties/Manukau
White,Toyota,HILUX,2000,Utility,2/04/2022,Canterbury
White,Nissan,TEANA,2004,Saloon,10/11/2021,Eastern
Silver,Mazda,ATENZA,2006,Stationwagon,23/02/2022,Central
Silver,Ford,TERRITORY,2004,Stationwagon,26/02/2022,Canterbury
Silver,Nissan,NAVARA,2002,Utility,7/01/2022,Counties/Manukau
White,Mazda,DEMIO,2004,Hatchback,4/11/2021,Eastern
Silver,Toyota,AVENSIS,2006,Stationwagon,11/10/2021,Wellington
Green,Holden,VX COMMODORE,2001,Stationwagon,22/12/2021,Waikato
White,Nissan,CARAVAN,2008,Light Van,14/10/2021,Canterbury
Blue,Ford,FALCON,2013,Saloon,12/11/2021,Eastern
Silver,Subaru,LEGACY,2002,Saloon,28/01/2022,Wellington
Black,Holden,BARINA SPARK,2013,Hatchback,28/03/2022,Counties/Manukau
Black,Great Wall,V200,2013,Utility,18/02/2022,Waikato
Black,Volkswagen,BEETLE,2004,Hatchback,25/12/2021,Waitemata
Red,Mazda,DEMIO,2005,Stationwagon,6/11/2021,Wellington
White,Ford,TRANSIT,2008,Light Van,18/01/2022,Counties/Manukau
White,Honda,CIVIC,2005,Saloon,9/03/2022,Wellington
White,Isuzu,NQR,2007,Cab and Chassis Only,17/01/2022,Auckland City
Red,Nissan,NAVARA,2013,Utility,2/04/2022,Waikato
White,Nissan,NAVARA,2003,Utility,9/11/2021,Canterbury
White,Holden,COMMODORE,2013,Saloon,25/01/2022,Canterbury
White,Mitsubishi,OUTLANDER,2006,Stationwagon,18/01/2022,Waikato
White,Mazda,DEMIO,2006,Hatchback,26/02/2022,Wellington
White,Subaru,IMPREZA,1994,Saloon,2/04/2022,Canterbury
Red,Mazda,MX5,1992,Sports Car,28/01/2022,Waitemata
Gold,Nissan,TIIDA,2005,Hatchback,15/11/2021,Eastern
Gold,Subaru,OUTBACK,2004,Stationwagon,28/02/2022,Canterbury
Silver,Mazda,ATENZA,2003,Saloon,5/03/2022,Canterbury
Silver,Mazda,ATENZA,2003,Saloon,9/03/2022,Canterbury
Purple,Mazda,DEMIO,2005,Stationwagon,12/03/2022,Auckland City
Red,Ssangyong,ACTYON SPORT,2013,Utility,11/01/2022,Central
Blue,Subaru,FORESTER,2003,Stationwagon,27/10/2021,Auckland City
White,Toyota,RAV4,2008,Stationwagon,25/12/2021,Counties/Manukau
Silver,Mazda,DEMIO,2002,Hatchback,27/02/2022,Wellington
Red,Peugeot,208,2013,Hatchback,8/12/2021,Canterbury
White,BMW,323I,2006,Saloon,23/11/2021,Auckland City
Silver,Mazda,ATENZA,2005,Saloon,7/12/2021,Eastern
Grey,Holden,COMMODORE,2010,Saloon,16/10/2021,Counties/Manukau
Silver,Mitsubishi,COLT,2005,Stationwagon,8/01/2022,Counties/Manukau
Blue,BMW,318TI,1996,Saloon,4/11/2021,Counties/Manukau
Silver,Mazda,DEMIO,2004,Hatchback,5/03/2022,Waikato
White,Toyota,MARKX,2006,Saloon,22/02/2022,Central
Silver,Nissan,TIIDA,2006,Saloon,6/02/2022,Waikato
Silver,Toyota,WISH,2005,Stationwagon,24/12/2021,Auckland City
White,Nissan,TIIDA,2005,Hatchback,23/01/2022,Auckland City
Silver,Ford,RANGER,2013,Utility,22/10/2021,Eastern
Silver,Honda,CIVIC,2005,Saloon,12/10/2021,Wellington
Red,Toyota,VITZ,2004,Hatchback,26/02/2022,Auckland City
Grey,Honda,FIT,2006,Hatchback,3/04/2022,Waitemata
White,Mazda,DEMIO,2004,Hatchback,29/01/2022,Auckland City
Silver,Ford,KUGA,2014,Stationwagon,15/10/2021,Canterbury
Orange,Renault,LUTECIA,2006,Hatchback,29/03/2022,Waikato
Black,Subaru,LEGACY,2005,Saloon,7/01/2022,Counties/Manukau
Black,Volkswagen,GOLF,2006,Hatchback,17/03/2022,Wellington
Black,Mazda,MPV,2006,Stationwagon,9/11/2021,Eastern
Grey,Mazda,ATENZA,2006,Saloon,30/01/2022,Wellington
White,Mazda,ATENZA,2006,Saloon,2/03/2022,Counties/Manukau
Blue,Nissan,MARCH,2004,Hatchback,3/12/2021,Auckland City
Silver,Mazda,RX-8,2005,Saloon,2/04/2022,Canterbury
White,Honda,ODYSSEY,2004,Stationwagon,27/02/2022,Counties/Manukau
Silver,Toyota,REGIUS,2008,Light Van,10/03/2022,Counties/Manukau
Silver,Honda,ACCORD,2003,Saloon,12/11/2021,Counties/Manukau
Black,Nissan,NAVARA,2014,Utility,9/03/2022,Counties/Manukau
Grey,Nissan,TIIDA,2004,Hatchback,22/03/2022,Auckland City
Purple,Honda,AIRWAVE,2006,Stationwagon,28/02/2022,Eastern
Silver,Nissan,TIIDA,2004,Hatchback,20/03/2022,Waikato
Silver,Mazda,DEMIO,2004,Hatchback,24/03/2022,Wellington
Silver,Mazda,DEMIO,2004,Hatchback,5/12/2021,Wellington
Silver,Daihatsu,BOON,2008,Hatchback,30/01/2022,Counties/Manukau
White,Toyota,PRIUS,2008,Saloon,25/12/2021,Counties/Manukau
Red,Toyota,HIACE,2006,Light Van,21/03/2022,Wellington
White,BMW,320I,2005,Saloon,30/12/2021,Canterbury
Gold,Holden,COMMODORE,2006,Saloon,11/02/2022,Canterbury
Gold,Subaru,OUTBACK,2004,Stationwagon,4/03/2022,Auckland City
Green,Nissan,NAVARA,2005,Utility,8/01/2022,Wellington
White,Chrysler,CHARGER R/T,1971,Saloon,23/02/2022,Waikato
Silver,Toyota,ESTIMA,2005,Stationwagon,2/11/2021,Canterbury
Green,Mitsubishi,L200,1999,Utility,20/02/2022,Central
White,Toyota,IPSUM,2007,Stationwagon,14/03/2022,Bay of Plenty
Black,Toyota,HILUX,2014,Utility,30/01/2022,Canterbury
Red,Suzuki,SWIFT,2006,Hatchback,6/02/2022,Auckland City
Silver,Suzuki,SWIFT,2005,Hatchback,5/02/2022,Counties/Manukau
Blue,Mazda,CX-7,2007,Stationwagon,29/03/2022,Southern
Black,Mazda,ATENZA,2006,Saloon,3/11/2021,Canterbury
Grey,BMW,X5,2008,Stationwagon,5/01/2022,Waitemata
White,Toyota,VITZ,2006,Hatchback,20/01/2022,Auckland City
Green,Honda,AIRWAVE,2005,Stationwagon,25/02/2022,Auckland City
White,Ford,KUGA,2014,Stationwagon,2/03/2022,Auckland City
White,Toyota,HIACE,1996,Heavy Van,16/12/2021,Wellington
Black,Honda,STREAM,2004,Stationwagon,15/01/2022,Central
Silver,Nissan,PRESAGE,2005,Stationwagon,25/01/2022,Waikato
Silver,Honda,FIT,2004,Hatchback,7/03/2022,Auckland City
Silver,Toyota,HILUX,2010,Utility,6/02/2022,Bay of Plenty
Red,Honda,FIT,2006,Hatchback,15/03/2022,Waikato
White,Mazda,DEMIO,2006,Hatchback,1/03/2022,Wellington
Silver,Mercedes-Benz,E350,2009,Saloon,28/03/2022,Auckland City
White,Mitsubishi,L300,2014,Light Van,15/10/2021,Counties/Manukau
Grey,Subaru,LEGACY,2011,Stationwagon,22/02/2022,Auckland City
Red,Toyota,HIACE,2014,Light Van,25/01/2022,Canterbury
Blue,Mazda,BT-50,2014,Utility,26/02/2022,Bay of Plenty
Silver,Mercedes-Benz,GL-CLASS,2014,Stationwagon,30/01/2022,Canterbury
White,Toyota,PRIUS,2009,Hatchback,9/03/2022,Wellington
Black,Honda,STREAM,2006,Stationwagon,2/11/2021,Northland
Grey,Nissan,NAVARA,2014,Utility,2/04/2022,Central
Gold,Mini,COOPER,2005,Hatchback,26/02/2022,Southern
Black,Mazda,DEMIO,2004,Hatchback,23/03/2022,Waitemata
Silver,BMW,318I,2001,Saloon,27/02/2022,Counties/Manukau
White,Nissan,TIIDA,2007,Saloon,21/12/2021,Eastern
Yellow,Toyota,HIACE,2009,Light Van,15/02/2022,Waitemata
Black,Audi,TT,2004,Saloon,19/03/2022,Canterbury
Grey,BMW,120I,2005,Hatchback,15/01/2022,Central
Black,Mitsubishi,MAGNA,1999,Saloon,27/01/2022,Auckland City
Silver,Kia,SORENTO,2014,Stationwagon,24/03/2022,Bay of Plenty
Silver,Nissan,MARCH,2004,Hatchback,24/01/2022,Central
Silver,Mitsubishi,COLT,2005,Hatchback,14/03/2022,Auckland City
Red,Subaru,FORESTER,1997,Stationwagon,11/03/2022,Southern
White,Nissan,SERENA,2004,Stationwagon,9/01/2022,Auckland City
Gold,Nissan,TIIDA,2005,Hatchback,17/02/2022,Auckland City
Silver,Toyota,MARKX,2005,Saloon,13/02/2022,Bay of Plenty
Grey,Mazda,AXELA,2005,Saloon,21/01/2022,Waikato
Silver,Mazda,DEMIO,2005,Hatchback,28/02/2022,Auckland City
Silver,Subaru,IMPREZA,1998,Stationwagon,5/04/2022,Canterbury
Black,Holden,CAPTIVA,2014,Stationwagon,28/11/2021,Canterbury
White,Ford,FALCON,2014,Saloon,10/12/2021,Southern
Silver,Nissan,PULSAR,1995,Saloon,13/12/2021,Wellington
Gold,Holden,CAPTIVA,2014,Stationwagon,17/03/2022,Counties/Manukau
Silver,Ford,COURIER,2006,Utility,13/02/2022,Bay of Plenty
Silver,Audi,A4,1998,Saloon,14/01/2022,Counties/Manukau
Blue,Mazda,AXELA,2005,Hatchback,12/01/2022,Bay of Plenty
Black,BMW,320I,2005,Saloon,10/02/2022,Auckland City
Blue,Holden,COMMODORE,2005,Saloon,11/02/2022,Waikato
White,Mazda,MPV,2006,Stationwagon,26/11/2021,Counties/Manukau
Silver,Nissan,TIIDA,2005,Hatchback,28/02/2022,Waikato
Red,Honda,XL250S,1981,Trail Bike,17/12/2021,Southern
Silver,Hyundai,I40,2014,Saloon,29/03/2022,Counties/Manukau
White,Mazda,ATENZA,2005,Saloon,25/02/2022,Wellington
Grey,BMW,525I,2006,Saloon,21/11/2021,Waikato
White,Toyota,HIACE,2007,Light Van,25/01/2022,Canterbury
Blue,Mazda,DEMIO,2004,Hatchback,13/02/2022,Counties/Manukau
Purple,Toyota,HILUX,2005,Utility,18/12/2021,Waikato
Black,Toyota,HILUX,2014,Utility,17/01/2022,Bay of Plenty
Silver,Nissan,TIIDA,2005,Hatchback,22/12/2021,Counties/Manukau
White,Nissan,ATLAS,1993,Flat Deck Truck,12/10/2021,Canterbury
Gold,Nissan,TIIDA,2005,Hatchback,17/02/2022,Eastern
Green,Toyota,LANDCRUISER,1998,Stationwagon,7/03/2022,Canterbury
Silver,Toyota,MARKX,2005,Saloon,30/03/2022,Waitemata
White,Subaru,LEGACY,2005,Stationwagon,28/02/2022,Auckland City
Blue,Mazda,DEMIO,2005,Hatchback,4/03/2022,Bay of Plenty
Silver,Mazda,AXELA,2004,Saloon,23/02/2022,Bay of Plenty
White,Subaru,IMPREZA,2000,Saloon,12/03/2022,Wellington
Purple,Mazda,DEMIO,2007,Hatchback,7/03/2022,Northland
White,Nissan,LAFESTA,2006,Stationwagon,15/01/2022,Eastern
Silver,Volkswagen,GOLF,2003,Stationwagon,18/01/2022,Northland
White,Nissan,SKYLINE,2007,Saloon,8/12/2021,Counties/Manukau
Silver,Toyota,AVENSIS,2004,Stationwagon,6/03/2022,Auckland City
Brown,Toyota,RACTIS,2006,Stationwagon,4/04/2022,Counties/Manukau
White,Mitsubishi,PAJERO,1995,Stationwagon,17/01/2022,Counties/Manukau
Silver,Nissan,ELGRAND,2004,Stationwagon,21/01/2022,Wellington
White,Toyota,MARKX,2005,Saloon,16/03/2022,Waikato
Green,Subaru,FORESTER,2005,Stationwagon,24/02/2022,Wellington
Silver,Landrover,DISCOVERY,2006,Stationwagon,19/10/2021,Southern
Blue,Subaru,IMPREZA,2006,Stationwagon,3/04/2022,Counties/Manukau
Silver,Toyota,WISH,2004,Stationwagon,25/03/2022,Northland
Silver,Nissan,NAVARA,2014,Utility,12/03/2022,Wellington
Blue,Mazda,DEMIO,2004,Stationwagon,22/03/2022,Auckland City
Silver,Nissan,TIIDA,2006,Saloon,1/02/2022,Auckland City
Silver,Audi,A4,2005,Stationwagon,29/11/2021,Waitemata
White,Toyota,HILUX,2014,Utility,1/04/2022,Central
Green,Toyota,HILUX,1997,Stationwagon,29/01/2022,Wellington
Silver,BMW,318I,2003,Saloon,5/04/2022,Counties/Manukau
White,Toyota,HIACE,2009,Light Van,10/01/2022,Canterbury
Silver,Honda,JAZZ,2014,Hatchback,19/02/2022,Wellington
Purple,Honda,ODYSSEY,2005,Stationwagon,17/11/2021,Counties/Manukau
Blue,Toyota,RAV4,2014,Stationwagon,8/02/2022,Canterbury
White,Nissan,PRESAGE,2005,Stationwagon,29/12/2021,Waikato
White,Mazda,ATENZA,2004,Stationwagon,2/04/2022,Waitemata
Silver,Nissan,PRESAGE,2005,Stationwagon,16/01/2022,Canterbury
Silver,Subaru,FORESTER,2005,Stationwagon,5/12/2021,Auckland City
Black,Jeep,GRAND CHEROKEE,2014,Stationwagon,27/01/2022,Canterbury
Silver,Mazda,DEMIO,2005,Hatchback,1/04/2022,Bay of Plenty
White,Toyota,HILUX,2014,Utility,26/03/2022,Tasman
Black,Mazda,ATENZA,2008,Stationwagon,30/10/2021,Wellington
Gold,Nissan,TEANA,2006,Saloon,24/03/2022,Auckland City
White,Volkswagen,GOLF,2011,Hatchback,1/04/2022,Auckland City
Red,Mazda,ATENZA,2003,Saloon,17/10/2021,Waikato
Red,Toyota,CAMRY,2002,Saloon,2/04/2022,Central
Blue,Peugeot,208,2014,Hatchback,1/04/2022,Waikato
Black,Toyota,BLADE,2007,Hatchback,25/12/2021,Central
Purple,Mazda,DEMIO,2005,Hatchback,23/03/2022,Wellington
Black,BMW,323I,2008,Saloon,27/01/2022,Counties/Manukau
Grey,Suzuki,SWIFT,2007,Hatchback,16/11/2021,Counties/Manukau
Black,Holden,COLORADO,2015,Utility,12/01/2022,Southern
White,Mazda,AXELA,2008,Hatchback,17/10/2021,Eastern
White,Subaru,LEGACY,2005,Stationwagon,24/10/2021,Canterbury
Silver,Holden,CRUZE,2015,Hatchback,18/11/2021,Bay of Plenty
White,Honda,INTEGRA,2001,Hatchback,5/03/2022,Counties/Manukau
White,Mitsubishi,OUTLANDER,2006,Stationwagon,6/12/2021,Canterbury
Red,Mazda,ATENZA,2007,Stationwagon,6/12/2021,Waitemata
Grey,Nissan,TIIDA,2006,Hatchback,2/03/2022,Waikato
Grey,Mazda,AXELA,2009,Hatchback,19/02/2022,Waikato
Grey,Mazda,AXELA,2009,Hatchback,24/02/2022,Waikato
Green,Ford,COURIER,2003,Utility,22/12/2021,Wellington
Silver,Mazda,FAMILIA,2003,Stationwagon,27/02/2022,Bay of Plenty
Silver,Audi,S4,2009,Saloon,26/02/2022,Counties/Manukau
Brown,Suzuki,GRAND VITARA,2007,Stationwagon,28/03/2022,Wellington
Grey,Honda,ODYSSEY,2004,Stationwagon,7/03/2022,Wellington
White,Mazda,ATENZA,2003,Stationwagon,5/04/2022,Counties/Manukau
Silver,Subaru,FORESTER,2006,Stationwagon,5/04/2022,Waitemata
Black,BMW,335I,2008,Convertible,21/11/2021,Auckland City
Grey,Mitsubishi,GALANT,2007,Saloon,12/03/2022,Wellington
White,Isuzu,F SERIES,2015,Other Truck,28/02/2022,Central
Red,Subaru,IMPREZA,2000,Stationwagon,27/10/2021,Wellington
Purple,Mazda,PREMACY,2007,Stationwagon,1/03/2022,Waitemata
Blue,Volkswagen,GOLF,2008,Hatchback,10/11/2021,Canterbury
White,Nissan,NOTE,2005,Hatchback,18/10/2021,Counties/Manukau
Grey,Suzuki,SWIFT,2005,Hatchback,16/11/2021,Auckland City
Grey,Honda,TORNEO,2001,Saloon,4/04/2022,Wellington
Black,Volkswagen,GOLF,2005,Hatchback,20/12/2021,Waitemata
White,Homebuilt,TRAILER,1974,Trailer - Heavy,23/01/2022,Canterbury
Silver,Honda,ACCORD,2006,Saloon,28/02/2022,Bay of Plenty
Blue,Ford,FALCON,1978,Light Van,10/11/2021,Tasman
Silver,Toyota,AQUA,2015,Hatchback,14/11/2021,Counties/Manukau
White,Toyota,HILUX,1996,Utility,21/12/2021,Southern
Red,Volkswagen,,1975,Saloon,17/03/2022,Counties/Manukau
Silver,Trailer,BURNETTS,1965,Trailer,18/12/2021,Canterbury
Grey,Trailer,BOAT - JET SKI,2007,Boat Trailer,14/02/2022,Waitemata
Silver,Factory Built,BRENT SMITH TRAILERS,2007,Trailer,8/02/2022,Bay of Plenty
Silver,Homebuilt,,1990,Trailer,1/12/2021,Waitemata
Silver,Trailer,BOAT,2006,Boat Trailer,27/12/2021,Central
Grey,Trailer,LOCAL,2007,Trailer - Heavy,26/11/2021,Waikato
Red,Trailer,HOMEMADE,1982,Trailer,25/01/2022,Canterbury
Silver,Trailer,PRESCOT TANDEM WHEEL,2007,Trailer - Heavy,28/01/2022,Waitemata
Silver,Trailer,HOMEBUILT,2000,Trailer,6/12/2021,Bay of Plenty
White,Caravan,COMPASS VANTAGE,1994,Caravan,29/11/2021,Auckland City
Silver,Trailer,BOX,2007,Trailer,9/03/2022,Northland
Silver,Trailer,MOTORBIKE,2007,Trailer - Heavy,7/12/2021,Waitemata
Silver,Trailer,BOAT SMARTWAVE,2007,Boat Trailer,23/11/2021,Tasman
Black,Homebuilt,,1990,Trailer,31/10/2021,Waitemata
Grey,Subaru,LEGACY,2006,Stationwagon,4/04/2022,Canterbury
White,Ford,RANGER,2007,Utility,10/03/2022,Northland
Silver,Mazda,PREMACY,2005,Stationwagon,21/03/2022,Northland
Black,Holden,COMMODORE,2012,Utility,24/02/2022,Counties/Manukau
